,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-16 09:01:06,2022-03-14,ANIK,Colleran David,"EVP, GC, Corp Sec",P - Purchase,26.65,1500,8367,+22%,39978.0,,,,,ANIK
1,,2022-03-15 09:00:49,2022-03-11,ANIK,Thompson Jeffery S,Dir,P - Purchase,24.66,2000,17121,+13%,49318.0,,,,,ANIK
2,,2022-03-14 09:01:34,2022-03-11,ANIK,Blanchard Cheryl R,"Pres, CEO, Dir",P - Purchase,25.57,8100,59992,+16%,207143.0,,,,,ANIK
3,,2022-03-14 09:00:47,2022-03-11,ANIK,Levitz Michael L,"EVP, CFO, Treasurer",P - Purchase,24.62,4000,15924,+34%,98476.0,,,,,ANIK
4,D,2022-03-11 17:36:58,2022-03-09,ANIK,Levitz Michael L,"EVP, CFO, Treasurer",M - OptEx,0.0,4438,11924,+59%,0.0,,,,,ANIK
5,D,2022-03-11 17:36:20,2022-03-09,ANIK,Finnerty Thomas,"EVP, HR",F - Tax,26.22,-748,24598,-3%,-19613.0,,,,,ANIK
6,D,2022-03-11 17:36:20,2022-03-09,ANIK,Finnerty Thomas,"EVP, HR",M - OptEx,0.0,2548,24598,+12%,0.0,,,,,ANIK
7,D,2022-03-11 17:36:01,2022-03-09,ANIK,Colleran David,"EVP, GC, Corp Sec",F - Tax,26.22,-1081,6867,-14%,-28344.0,,,,,ANIK
8,D,2022-03-11 17:36:01,2022-03-09,ANIK,Colleran David,"EVP, GC, Corp Sec",M - OptEx,0.0,3682,6867,+116%,0.0,,,,,ANIK
9,D,2022-03-11 17:35:28,2022-03-09,ANIK,Blanchard Cheryl R,"Pres, CEO, Dir",M - OptEx,0.0,14420,51892,+38%,0.0,,,,,ANIK
10,D,2022-03-07 08:00:54,2022-03-04,ANIK,Colleran David,"EVP, GC, Corp Sec",F - Tax,31.06,-734,4266,-15%,-22798.0,,,,,ANIK
11,D,2022-03-07 08:00:54,2022-03-04,ANIK,Colleran David,"EVP, GC, Corp Sec",M - OptEx,0.0,2500,4266,+142%,0.0,,,,,ANIK
12,DM,2022-02-28 16:59:22,2022-02-25,ANIK,Finnerty Thomas,"EVP, HR",F - Tax,32.13,-1713,22798,-7%,-55039.0,,,,,ANIK
13,DM,2022-02-28 16:59:22,2022-02-25,ANIK,Finnerty Thomas,"EVP, HR",M - OptEx,0.0,5834,22798,+34%,0.0,,,,,ANIK
14,,2022-02-11 18:28:30,2022-02-09,ANIK,Finnerty Thomas,"EVP, HR",A - Grant,0.0,10125,18677,+118%,0.0,,,,,ANIK
15,,2022-02-11 18:28:30,2022-02-09,ANIK,Finnerty Thomas,"EVP, HR",F - Tax,30.72,-3149,18677,-14%,-96737.0,,,,,ANIK
16,,2021-11-01 17:43:09,2021-10-28,ANIK,Conley Sheryl L,Dir,A - Grant,0.0,8179,8179,New,0.0,,,,,ANIK
17,M,2021-08-13 12:30:26,2021-08-11,ANIK,Levitz Michael L,"EVP, CFO, Treasurer",P - Purchase,40.21,3627,7486,+94%,145826.0,,,,,ANIK
18,D,2021-08-12 16:31:50,2021-08-10,ANIK,Levitz Michael L,"EVP, CFO, Treasurer",M - OptEx,0.0,3859,3859,New,0.0,,,,,ANIK
19,D,2021-07-12 16:15:29,2021-07-08,ANIK,Loerop James,EVP Business Development,F - Tax,43.24,-731,5592,-12%,-31608.0,,,,,ANIK
20,D,2021-07-12 16:15:29,2021-07-08,ANIK,Loerop James,EVP Business Development,M - OptEx,0.0,3000,5592,+116%,0.0,,,,,ANIK
21,,2021-06-21 16:20:00,2021-06-16,ANIK,Vogt Susan L N,Dir,A - Grant,0.0,4172,15824,+36%,0.0,,,,,ANIK
22,,2021-06-21 16:19:02,2021-06-16,ANIK,Thompson Jeffery S,Dir,A - Grant,0.0,4172,15121,+38%,0.0,,,,,ANIK
23,,2021-06-21 16:18:15,2021-06-16,ANIK,Richard Stephen,Dir,A - Grant,0.0,4172,13482,+45%,0.0,,,,,ANIK
24,,2021-06-21 16:17:39,2021-06-16,ANIK,Larsen Glenn R.,Dir,A - Grant,0.0,4172,15869,+36%,0.0,,,,,ANIK
25,,2021-06-21 16:16:24,2021-06-16,ANIK,Land Raymond J,Dir,A - Grant,0.0,4172,12125,+52%,0.0,,,,,ANIK
26,,2021-06-21 16:15:35,2021-06-16,ANIK,Henneman John B III,Dir,A - Grant,0.0,4172,15482,+37%,0.0,,,,,ANIK
27,D,2021-06-17 16:31:11,2021-06-15,ANIK,Blanchard Cheryl R,"Pres, CEO, Dir",M - OptEx,33.4,2994,37472,+9%,100000.0,,,,,ANIK
28,,2021-05-20 16:39:04,2021-05-18,ANIK,Henneman John B III,Dir,P - Purchase,42.86,2000,11310,+21%,85720.0,,,,,ANIK
29,,2021-05-14 16:31:12,2021-05-12,ANIK,Land Raymond J,Dir,S - Sale,42.6,-2000,7953,-20%,-85200.0,,,,,ANIK
30,D,2021-04-28 17:00:33,2021-04-26,ANIK,Blanchard Cheryl R,"Pres, CEO, Dir",M - OptEx,0.0,24575,34478,+248%,0.0,,,,,ANIK
31,D,2021-03-08 17:06:49,2021-03-04,ANIK,Colleran David,"EVP, GC, Corp Sec",M - OptEx,0.0,2500,2500,New,0.0,,,,,ANIK
32,D,2021-03-01 17:19:56,2021-02-25,ANIK,Loerop James,EVP Business Development,M - OptEx,0.0,1567,3323,+89%,0.0,,,,,ANIK
33,DM,2021-03-01 17:18:56,2021-02-25,ANIK,Finnerty Thomas,EVP HR,F - Tax,37.48,-1713,11701,-13%,-64208.0,,,,,ANIK
34,DM,2021-03-01 17:18:56,2021-02-25,ANIK,Finnerty Thomas,EVP HR,M - OptEx,0.0,5833,11701,+99%,0.0,,,,,ANIK
35,,2020-11-12 16:08:22,2020-11-10,ANIK,Land Raymond J,Dir,S - Sale,36.77,-3446,9953,-26%,-126709.0,,,,,ANIK
36,,2020-11-03 16:14:34,2020-10-30,ANIK,Finnerty Thomas,EVP HR,F - Tax,32.62,-666,7581,-8%,-21725.0,,,,,ANIK
37,,2020-09-08 18:14:13,2020-09-03,ANIK,Richard Stephen,Dir,A - Grant,0.0,9310,9310,New,0.0,,,,,ANIK
38,,2020-09-08 18:12:20,2020-09-03,ANIK,Henneman John B III,Dir,A - Grant,0.0,9310,9310,New,0.0,,,,,ANIK
39,,2020-07-10 16:06:24,2020-07-08,ANIK,Loerop James,EVP Business Development,A - Grant,0.0,3000,1756,-241%,0.0,,,,,ANIK
40,,2020-07-10 16:06:24,2020-07-09,ANIK,Loerop James,EVP Business Development,S - Sale,35.15,-1244,1756,-41%,-43727.0,,,,,ANIK
41,D,2020-04-28 18:41:06,2020-04-26,ANIK,Blanchard Cheryl R,"Pres, CEO, Dir",F - Tax,33.4,-1794,9903,-15%,-59920.0,,,,,ANIK
42,D,2020-04-28 18:41:06,2020-04-26,ANIK,Blanchard Cheryl R,"Pres, CEO, Dir",M - OptEx,0.0,4231,9903,+75%,0.0,,,,,ANIK
43,,2020-02-27 18:54:44,2020-02-25,ANIK,Land Raymond J,Dir,A - Grant,0.0,4107,13399,+44%,0.0,,,,,ANIK
44,,2020-02-27 18:54:44,2020-02-26,ANIK,Land Raymond J,Dir,S - Sale,42.68,-2700,13399,-17%,-115236.0,,,,,ANIK
45,D,2020-02-27 18:53:50,2020-02-26,ANIK,Finnerty Thomas,CHRO,A - Grant,0.0,3000,8247,+57%,0.0,,,,,ANIK
46,D,2020-02-27 18:53:50,2020-02-26,ANIK,Finnerty Thomas,CHRO,F - Tax,42.25,-881,8247,-10%,-37222.0,,,,,ANIK
47,,2020-02-27 18:52:05,2020-02-25,ANIK,Vogt Susan L N,Dir,A - Grant,0.0,4107,11652,+54%,0.0,,,,,ANIK
48,,2020-02-27 18:51:09,2020-02-25,ANIK,Larsen Glenn R.,Dir,A - Grant,0.0,4107,11697,+54%,0.0,,,,,ANIK
49,,2020-02-27 18:50:16,2020-02-25,ANIK,Bower Joseph L.,Dir,A - Grant,0.0,4107,17117,+32%,0.0,,,,,ANIK
50,D,2020-02-27 18:49:20,2020-02-26,ANIK,Cheung Sylvia,CFO,A - Grant,0.0,3000,49281,+6%,0.0,,,,,ANIK
51,D,2020-02-27 18:49:20,2020-02-26,ANIK,Cheung Sylvia,CFO,F - Tax,42.25,-881,49281,-2%,-37222.0,,,,,ANIK
52,,2020-02-27 18:47:32,2020-02-25,ANIK,Thompson Jeffery S,Dir,A - Grant,0.0,4107,10949,+60%,0.0,,,,,ANIK
53,,2020-02-06 17:12:26,2020-02-04,ANIK,Cheung Sylvia,CFO,F - Tax,40.59,-579,47162,-1%,-23502.0,,,,,ANIK
54,,2019-11-29 16:06:27,2019-11-27,ANIK,Bower Joseph L.,Dir,G - Gift,0.0,-30000,13010,-70%,-0.0,,,,,ANIK
55,D,2019-11-08 17:40:36,2019-11-06,ANIK,Cheung Sylvia,CFO,F - Tax,60.48,-3681,47741,-7%,-222627.0,,,,,ANIK
56,D,2019-11-08 17:40:36,2019-11-06,ANIK,Cheung Sylvia,CFO,M - OptEx,6.36,35000,47741,+275%,222600.0,,,,,ANIK
57,D,2019-11-08 17:40:36,2019-11-08,ANIK,Cheung Sylvia,CFO,S - Sale+OE,59.71,-20000,47741,-30%,-1194200.0,,,,,ANIK
58,,2019-11-01 16:06:50,2019-10-30,ANIK,Finnerty Thomas,EVP HR,F - Tax,69.67,-672,6128,-10%,-46818.0,,,,,ANIK
59,,2019-08-30 16:05:27,2019-08-28,ANIK,Larsen Glenn R.,Dir,S - Sale,57.21,-4355,7590,-36%,-249150.0,,,,,ANIK
60,,2019-08-22 16:05:24,2019-08-20,ANIK,Bower Joseph L.,Dir,S - Sale,55.57,-1994,43010,-4%,-110807.0,,,,,ANIK
61,,2019-08-12 16:06:16,2019-08-08,ANIK,Thompson Jeffery S,Dir,S - Sale,56.66,-4843,6842,-41%,-274404.0,,,,,ANIK
62,,2019-07-30 16:06:50,2019-07-29,ANIK,Land Raymond J,Dir,S - Sale,55.44,-3000,11992,-20%,-166320.0,,,,,ANIK
63,,2019-07-30 16:05:38,2019-07-27,ANIK,Darling Joseph G,"Pres, CEO; Dir",F - Tax,55.85,-2147,20289,-10%,-119910.0,,,,,ANIK
64,,2019-03-01 08:30:39,2019-02-28,ANIK,Darling Joseph G,"Pres, CEO; Dir",P - Purchase,33.2,1000,22436,+5%,33200.0,,,,,ANIK
65,,2019-02-28 16:36:43,2019-02-26,ANIK,Vogt Susan L N,Dir,A - Grant,0.0,3842,7545,+104%,0.0,,,,,ANIK
66,,2019-02-28 16:36:06,2019-02-26,ANIK,Thompson Jeffery S,Dir,A - Grant,0.0,3842,11685,+49%,0.0,,,,,ANIK
67,,2019-02-28 16:35:29,2019-02-26,ANIK,Larsen Glenn R.,Dir,A - Grant,0.0,3842,11945,+47%,0.0,,,,,ANIK
68,,2019-02-28 16:34:50,2019-02-26,ANIK,Land Raymond J,Dir,A - Grant,0.0,3842,14992,+34%,0.0,,,,,ANIK
69,,2019-02-28 16:34:50,2019-02-26,ANIK,Land Raymond J,Dir,S - Sale,33.06,-4000,14992,-21%,-132240.0,,,,,ANIK
70,,2019-02-28 16:31:38,2019-02-26,ANIK,Bower Joseph I,Dir,A - Grant,0.0,3842,45004,+9%,0.0,,,,,ANIK
71,,2019-02-28 16:31:01,2019-02-26,ANIK,Blanchard Cheryl R,Dir,A - Grant,0.0,3842,7466,+106%,0.0,,,,,ANIK
