,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 15:35:30,2021-11-19,APPS,Deutschman Robert M,Dir,G - Gift,0.0,-155500,588812,-21%,-0.0,,,,,APPS
1,,2022-03-15 15:35:30,2022-03-14,APPS,Deutschman Robert M,Dir,P - Purchase,31.66,15000,588812,+3%,474900.0,,,,,APPS
2,,2022-03-08 14:04:02,2022-03-07,APPS,Sterling Michelle M,Dir,P - Purchase,36.79,1000,39519,+3%,36790.0,,,,,APPS
3,D,2022-03-04 16:28:33,2022-03-02,APPS,Stone William Gordon III,CEO,F - Tax,53.34,-25882,1110305,-2%,-1380546.0,,,,,APPS
4,D,2022-03-04 16:28:33,2022-03-02,APPS,Stone William Gordon III,CEO,M - OptEx,5.89,50000,1110305,+5%,294500.0,,,,,APPS
5,D,2022-03-04 16:28:33,2022-03-02,APPS,Stone William Gordon III,CEO,S - Sale+OE,46.27,-70271,1110305,-6%,-3251602.0,,,,,APPS
6,M,2022-03-04 16:27:43,2022-01-01,APPS,Garrison J. Barrett,"EVP, CFO",F - Tax,51.51,-1174,272146,0%,-60468.0,,,,,APPS
7,,2022-02-03 20:09:37,2022-02-01,APPS,Spilman Mary,Dir,A - Grant,0.0,2022,2022,New,0.0,,,,,APPS
8,D,2021-12-17 13:44:44,2021-12-15,APPS,Garrison J. Barrett,"EVP, CFO",F - Tax,53.76,-58920,273320,-18%,-3167539.0,,,,,APPS
9,D,2021-12-17 13:44:44,2021-05-20,APPS,Garrison J. Barrett,"EVP, CFO",M - OptEx,0.0,87208,273320,+47%,0.0,,,,,APPS
10,D,2021-12-17 13:43:48,2021-12-15,APPS,Stone William Gordon III,CEO,F - Tax,53.76,-72879,1156458,-6%,-3917975.0,,,,,APPS
11,D,2021-12-17 13:43:48,2021-05-20,APPS,Stone William Gordon III,CEO,M - OptEx,0.0,145348,1156458,+14%,0.0,,,,,APPS
12,,2021-12-01 16:05:59,2021-12-01,APPS,Deutschman Robert M,Dir,P - Purchase,51.62,3000,729312,0%,154860.0,,,,,APPS
13,,2021-11-24 18:28:58,2021-11-24,APPS,Sterling Michelle M,Dir,P - Purchase,56.98,1000,38519,+3%,56980.0,,,,,APPS
14,,2021-08-24 14:36:27,2021-07-31,APPS,Karish Jeff,Dir,A - Grant,0.0,3016,311616,+1%,0.0,,,,,APPS
15,,2021-08-24 14:34:24,2021-07-31,APPS,Gyani Mohan S,Dir,A - Grant,0.0,3024,376949,+1%,0.0,,,,,APPS
16,,2021-08-24 14:29:52,2021-07-31,APPS,Groos Holyce Hess,Dir,A - Grant,0.0,2985,3371,+773%,0.0,,,,,APPS
17,,2021-08-19 15:54:27,2021-07-31,APPS,Sterling Michelle M,Dir,A - Grant,0.0,2989,37519,+9%,0.0,,,,,APPS
18,,2021-08-19 15:54:27,2021-08-18,APPS,Sterling Michelle M,Dir,P - Purchase,50.79,2000,37519,+6%,101580.0,,,,,APPS
19,,2021-08-19 13:31:41,2021-07-31,APPS,Chestnutt Roy H,Dir,A - Grant,0.0,2985,108541,+3%,0.0,,,,,APPS
20,,2021-08-19 13:31:41,2021-08-19,APPS,Chestnutt Roy H,Dir,P - Purchase,48.5,1500,108541,+1%,72750.0,,,,,APPS
21,,2021-08-19 13:04:14,2021-07-31,APPS,Deutschman Robert M,Dir,A - Grant,0.0,4513,726312,+1%,0.0,,,,,APPS
22,,2021-08-19 13:04:14,2021-08-18,APPS,Deutschman Robert M,Dir,P - Purchase,50.91,3000,726312,0%,152730.0,,,,,APPS
23,D,2021-06-16 17:52:54,2021-06-15,APPS,Collins Christine,CTO,M - OptEx,1.68,40000,0,-100%,67200.0,,,,,APPS
24,D,2021-06-16 17:52:54,2021-06-15,APPS,Collins Christine,CTO,S - Sale+OE,70.02,-40000,0,-100%,-2800800.0,,,,,APPS
25,D,2021-06-03 19:22:23,2021-06-01,APPS,Garrison J. Barrett,"EVP, CFO",A - Grant,0.0,14769,245032,+6%,0.0,,,,,APPS
26,D,2021-06-03 19:21:16,2021-06-01,APPS,Stone William Gordon III,CEO,A - Grant,0.0,48000,1083989,+5%,0.0,,,,,APPS
