,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-04 17:52:12,2022-03-02,ASO,Hicks Ken C,"COB, Pres, CEO",F - Tax,30.65,-5726,451650,-1%,-175502.0,,,,,ASO
1,D,2022-03-04 17:52:12,2022-03-02,ASO,Hicks Ken C,"COB, Pres, CEO",M - OptEx,0.0,16556,451650,+4%,0.0,,,,,ASO
2,D,2022-03-04 17:50:19,2022-03-02,ASO,Johnson Samuel J,"EVP, Retail Operations",F - Tax,30.65,-721,132442,-1%,-22099.0,,,,,ASO
3,D,2022-03-04 17:50:19,2022-03-02,ASO,Johnson Samuel J,"EVP, Retail Operations",M - OptEx,0.0,2751,132442,+2%,0.0,,,,,ASO
4,D,2022-03-04 17:48:46,2022-03-02,ASO,Lawrence Steven Paul,"EVP, CMO",F - Tax,30.65,-736,114311,-1%,-22558.0,,,,,ASO
5,D,2022-03-04 17:48:46,2022-03-02,ASO,Lawrence Steven Paul,"EVP, CMO",M - OptEx,0.0,3056,114311,+3%,0.0,,,,,ASO
6,D,2022-03-04 17:46:06,2022-03-02,ASO,Rutherford Jamey Traywick,"SVP, Omnichannel",F - Tax,30.65,-317,75811,0%,-9716.0,,,,,ASO
7,D,2022-03-04 17:46:06,2022-03-02,ASO,Rutherford Jamey Traywick,"SVP, Omnichannel",M - OptEx,0.0,1069,75811,+1%,0.0,,,,,ASO
8,D,2022-03-04 17:44:00,2022-03-02,ASO,Ennis William S.,"SVP, CHRO",F - Tax,30.65,-544,33726,-2%,-16674.0,,,,,ASO
9,D,2022-03-04 17:44:00,2022-03-02,ASO,Ennis William S.,"SVP, CHRO",M - OptEx,0.0,1834,33726,+6%,0.0,,,,,ASO
10,D,2022-03-04 17:23:48,2022-03-02,ASO,Maini Manish,"SVP, CIO",F - Tax,30.65,-517,147074,0%,-15846.0,,,,,ASO
11,D,2022-03-04 17:23:48,2022-03-02,ASO,Maini Manish,"SVP, CIO",M - OptEx,0.0,1834,147074,+1%,0.0,,,,,ASO
12,D,2022-03-04 17:20:30,2022-03-02,ASO,Casares Rene G.,"SVP, GC",F - Tax,30.65,-544,81546,-1%,-16674.0,,,,,ASO
13,D,2022-03-04 17:20:30,2022-03-02,ASO,Casares Rene G.,"SVP, GC",M - OptEx,0.0,1834,81546,+2%,0.0,,,,,ASO
14,D,2022-03-04 17:17:12,2022-03-02,ASO,Harriman Sherry L.,"SVP, Logistics, Supply Chain",F - Tax,30.65,-317,13111,-2%,-9716.0,,,,,ASO
15,D,2022-03-04 17:17:12,2022-03-02,ASO,Harriman Sherry L.,"SVP, Logistics, Supply Chain",M - OptEx,0.0,1069,13111,+9%,0.0,,,,,ASO
16,D,2022-03-04 17:13:14,2022-03-02,ASO,Davis Heather A.,See Remarks,F - Tax,30.65,-182,1693,-10%,-5578.0,,,,,ASO
17,D,2022-03-04 17:13:14,2022-03-02,ASO,Davis Heather A.,See Remarks,M - OptEx,0.0,611,1693,+56%,0.0,,,,,ASO
18,D,2022-03-04 17:10:07,2022-03-02,ASO,Mullican Michael P.,"EVP, CFO",F - Tax,30.65,-761,105017,-1%,-23325.0,,,,,ASO
19,D,2022-03-04 17:10:07,2022-03-02,ASO,Mullican Michael P.,"EVP, CFO",M - OptEx,0.0,3056,105017,+3%,0.0,,,,,ASO
20,D,2022-02-02 18:58:57,2022-02-02,ASO,Davis Heather A.,See Remarks,F - Tax,40.42,-161,1264,-11%,-6508.0,,,,,ASO
21,D,2022-02-02 18:58:57,2022-02-02,ASO,Davis Heather A.,See Remarks,M - OptEx,0.0,543,1264,+75%,0.0,,,,,ASO
22,,2022-01-14 18:07:36,2022-01-14,ASO,Hicks Ken C,"COB, Pres, CEO",P - Purchase,38.91,20000,440820,+5%,778200.0,,,,,ASO
23,,2022-01-12 18:01:48,2022-01-10,ASO,Marley Brian T,Dir,P - Purchase,39.46,10000,45801,+28%,394600.0,,,,,ASO
24,D,2021-11-19 18:47:10,2021-11-17,ASO,Lawrence Steven Paul,"EVP, CMO",M - OptEx,16.73,42026,111553,+60%,703093.0,,,,,ASO
25,D,2021-11-19 18:47:10,2021-11-17,ASO,Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,48.19,-42026,111553,-27%,-2025203.0,,,,,ASO
26,D,2021-11-19 18:45:04,2021-11-18,ASO,Ennis William S.,"SVP, CHRO",M - OptEx,16.63,95404,32108,-151%,1586780.0,,,,,ASO
27,D,2021-11-19 18:45:04,2021-11-18,ASO,Ennis William S.,"SVP, CHRO",S - Sale+OE,49.7,-95404,32108,-75%,-4741772.0,,,,,ASO
28,DM,2021-11-17 18:32:17,2021-11-15,ASO,Lawrence Steven Paul,"EVP, CMO",M - OptEx,16.8,187112,111553,-248%,3143006.0,,,,,ASO
29,DM,2021-11-17 18:32:17,2021-11-15,ASO,Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,48.07,-187112,111553,-63%,-8993717.0,,,,,ASO
30,D,2021-11-05 19:28:02,2021-11-04,ASO,Lawrence Steven Paul,"EVP, CMO",M - OptEx,16.83,4455,111553,+4%,74984.0,,,,,ASO
31,D,2021-11-05 19:28:02,2021-11-04,ASO,Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,48.02,-4455,111553,-4%,-213941.0,,,,,ASO
32,,2021-09-24 18:02:16,2021-09-23,ASO,Davis Heather A.,See Remarks,S - Sale,43.03,-4684,526,-90%,-201553.0,,,,,ASO
33,,2021-09-21 16:31:11,2021-09-17,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,43.52,-18645602,0,-100%,-811456599.0,,,,,ASO
34,,2021-09-21 16:30:43,2021-09-17,ASO,Kkr Group Partnership L.P.,10%,S - Sale,43.52,-18645602,0,-100%,-811456599.0,,,,,ASO
35,D,2021-09-17 18:28:01,2021-09-16,ASO,Davis Heather A.,See Remarks,M - OptEx,16.77,7229,5210,-358%,121209.0,,,,,ASO
36,D,2021-09-17 18:28:01,2021-09-16,ASO,Davis Heather A.,See Remarks,S - Sale+OE,46.06,-7229,5210,-58%,-332968.0,,,,,ASO
37,,2021-07-14 17:02:14,2021-07-12,ASO,Kkr Group Partnership L.P.,10%,S - Sale,38.3,-10100000,8614193,-54%,-386830000.0,,,,,ASO
38,,2021-07-14 17:00:47,2021-07-12,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,38.3,-10100000,8614193,-54%,-386830000.0,,,,,ASO
39,,2021-06-28 18:19:03,2021-06-25,ASO,Ennis William S.,"SVP, CHRO",S - Sale,42.35,-51929,31746,-62%,-2199193.0,,,,,ASO
40,,2021-06-28 18:18:01,2021-06-25,ASO,Rutherford Jamey Traywick,"SVP, Omnichannel",S - Sale,42.5,-6105,74687,-8%,-259463.0,,,,,ASO
41,,2021-06-28 18:16:32,2021-06-25,ASO,Mullican Michael P.,"EVP, CFO",S - Sale,42.52,-50000,102001,-33%,-2126000.0,,,,,ASO
