,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 11:45:57,2022-03-14,ASPS,Shepro William B,"COB, CEO",P - Purchase,9.85,5000,552920,+1%,49250.0,,,,,ASPS
1,D,2022-03-11 19:48:37,2022-03-09,ASPS,Esterman Michelle D.,CFO,F - Tax,10.62,-2541,50001,-5%,-26985.0,,,,,ASPS
2,D,2022-03-11 19:48:37,2022-03-09,ASPS,Esterman Michelle D.,CFO,M - OptEx,0.0,8445,50001,+20%,0.0,,,,,ASPS
3,D,2022-03-11 19:47:45,2022-03-09,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",F - Tax,10.62,-1338,30523,-4%,-14210.0,,,,,ASPS
4,D,2022-03-11 19:47:45,2022-03-09,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",M - OptEx,0.0,2838,30523,+10%,0.0,,,,,ASPS
5,D,2022-03-11 19:46:57,2022-03-09,ASPS,Shepro William B,"COB, CEO",F - Tax,10.62,-11039,571319,-2%,-117234.0,,,,,ASPS
6,D,2022-03-11 19:46:57,2022-03-09,ASPS,Shepro William B,"COB, CEO",G - Gift,0.0,24720,571319,-4%,0.0,,,,,ASPS
7,D,2022-03-11 19:46:57,2022-03-09,ASPS,Shepro William B,"COB, CEO",M - OptEx,0.0,23399,571319,+4%,0.0,,,,,ASPS
8,D,2022-03-01 18:36:24,2022-02-26,ASPS,Esterman Michelle D.,CFO,F - Tax,12.78,-1327,42883,-3%,-16959.0,,,,,ASPS
9,D,2022-03-01 18:36:24,2022-02-26,ASPS,Esterman Michelle D.,CFO,M - OptEx,0.0,3749,42883,+10%,0.0,,,,,ASPS
10,D,2022-03-01 18:33:57,2022-02-26,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",F - Tax,12.78,-1030,29871,-3%,-13163.0,,,,,ASPS
11,D,2022-03-01 18:33:57,2022-02-26,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",M - OptEx,0.0,2186,29871,+8%,0.0,,,,,ASPS
12,D,2022-03-01 18:31:59,2022-02-26,ASPS,Shepro William B,"COB, CEO",F - Tax,12.78,-4135,529771,-1%,-52845.0,,,,,ASPS
13,D,2022-03-01 18:31:59,2022-02-26,ASPS,Shepro William B,"COB, CEO",G - Gift,0.0,-9256,529771,+2%,-0.0,,,,,ASPS
14,D,2022-03-01 18:31:59,2022-02-26,ASPS,Shepro William B,"COB, CEO",M - OptEx,0.0,8763,529771,+2%,0.0,,,,,ASPS
15,D,2022-02-15 16:25:02,2022-02-12,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",F - Tax,11.15,-499,27028,-2%,-5564.0,,,,,ASPS
16,D,2022-02-15 16:25:02,2022-02-12,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",M - OptEx,0.0,1062,27028,+4%,0.0,,,,,ASPS
17,D,2022-02-15 16:23:07,2022-02-12,ASPS,Shepro William B,"COB, CEO",F - Tax,11.15,-11797,525143,-2%,-131537.0,,,,,ASPS
18,D,2022-02-15 16:23:07,2022-02-12,ASPS,Shepro William B,"COB, CEO",G - Gift,0.0,-26406,525143,+5%,-0.0,,,,,ASPS
19,D,2022-02-15 16:23:07,2022-02-12,ASPS,Shepro William B,"COB, CEO",M - OptEx,0.0,25000,525143,+5%,0.0,,,,,ASPS
20,D,2022-02-15 16:21:01,2022-02-12,ASPS,Esterman Michelle D.,CFO,F - Tax,11.15,-438,39572,-1%,-4884.0,,,,,ASPS
21,D,2022-02-15 16:21:01,2022-02-12,ASPS,Esterman Michelle D.,CFO,M - OptEx,0.0,1239,39572,+3%,0.0,,,,,ASPS
22,D,2022-02-01 16:03:54,2022-01-29,ASPS,Esterman Michelle D.,CFO,F - Tax,10.54,-1770,33333,-5%,-18656.0,,,,,ASPS
23,D,2022-02-01 16:03:54,2022-01-29,ASPS,Esterman Michelle D.,CFO,M - OptEx,0.0,5000,33333,+18%,0.0,,,,,ASPS
24,D,2022-01-26 16:15:45,2022-01-24,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",F - Tax,10.85,-991,25966,-4%,-10752.0,,,,,ASPS
25,D,2022-01-26 16:15:45,2022-01-24,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",M - OptEx,0.0,2106,25966,+9%,0.0,,,,,ASPS
26,D,2022-01-26 16:05:10,2022-01-24,ASPS,Esterman Michelle D.,CFO,F - Tax,10.85,-869,35103,-2%,-9429.0,,,,,ASPS
27,D,2022-01-26 16:05:10,2022-01-24,ASPS,Esterman Michelle D.,CFO,M - OptEx,0.0,2457,35103,+8%,0.0,,,,,ASPS
28,,2021-11-16 16:17:08,2021-11-13,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",F - Tax,12.57,-1762,24851,-7%,-22148.0,,,,,ASPS
29,,2021-10-05 16:06:12,2021-10-01,ASPS,Shepro William B,"COB, CEO",A - Grant,0.0,3333,511940,+1%,0.0,,,,,ASPS
30,,2021-10-05 16:06:12,2021-10-01,ASPS,Shepro William B,"COB, CEO",F - Tax,9.89,-1571,511940,0%,-15537.0,,,,,ASPS
31,,2021-10-05 16:06:12,2021-10-01,ASPS,Shepro William B,"COB, CEO",G - Gift,0.0,3524,511940,-1%,0.0,,,,,ASPS
32,,2021-10-05 16:04:08,2021-10-01,ASPS,Ritts Gregory J.,"Chief Legal, Compliance Office",A - Grant,0.0,1583,27350,+6%,0.0,,,,,ASPS
