,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-22 20:20:25,2022-03-18,ATCX,Quinn David D. Sr.,CFO,P - Purchase,0.0,18366,144824,+15%,0.0,,,,,ATCX
1,D,2022-03-22 20:18:52,2022-03-18,ATCX,Powell Walter George,Chief Accounting Officer,P - Purchase,0.0,9183,79357,+13%,0.0,,,,,ATCX
2,D,2022-03-22 20:17:14,2022-03-18,ATCX,Parnell Jonathan M.,Chief Strategy Officer,P - Purchase,0.0,13774,126432,+12%,0.0,,,,,ATCX
3,D,2022-03-22 20:15:20,2022-03-18,ATCX,Mollere John Alex,Chief Administrative Officer,P - Purchase,0.0,9183,18802,+95%,0.0,,,,,ATCX
4,D,2022-03-22 20:11:43,2022-03-18,ATCX,Jain Priya,Chief Growth Officer,P - Purchase,0.0,9183,32644,+39%,0.0,,,,,ATCX
5,D,2022-03-22 20:06:14,2022-03-18,ATCX,Burns Kenneth Jerome Jr,COO,P - Purchase,0.0,18366,36101,+104%,0.0,,,,,ATCX
6,D,2022-03-22 20:04:51,2022-03-18,ATCX,Boyer Lonnie Joe,CEO,P - Purchase,0.0,44077,224779,+24%,0.0,,,,,ATCX
7,,2021-12-15 17:36:32,2021-12-14,ATCX,Burns Kenneth Jerome Jr,COO,P - Purchase,7.84,3835,17735,+28%,30066.0,,,,,ATCX
8,M,2021-12-15 17:35:24,2021-12-14,ATCX,Lemoine Leonard Kyle,Dir,P - Purchase,7.81,19500,87756,+29%,152295.0,,,,,ATCX
9,M,2021-12-15 17:33:51,2021-12-13,ATCX,Ferraioli Brian K,Dir,P - Purchase,7.94,8000,31652,+34%,63520.0,,,,,ATCX
10,,2021-12-14 16:50:56,2021-12-13,ATCX,Parnell Jonathan M.,Chief Strategy Officer,P - Purchase,7.8,3826,112658,+4%,29843.0,,,,,ATCX
11,,2021-12-14 16:45:59,2021-12-13,ATCX,Jain Priya,Chief Growth Officer,P - Purchase,7.82,3200,23461,+16%,25024.0,,,,,ATCX
12,,2021-12-14 16:44:42,2021-12-13,ATCX,Boyer Lonnie Joe,CEO,P - Purchase,7.81,6402,180702,+4%,50000.0,,,,,ATCX
13,A,2021-11-23 20:23:26,2020-12-11,ATCX,Ferraioli Brian K,Dir,P - Purchase,6.95,3000,3000,New,20850.0,,,,,ATCX
14,A,2021-11-23 20:21:02,2021-08-26,ATCX,Ferraioli Brian K,Dir,P - Purchase,9.86,4902,7902,+163%,48334.0,,,,,ATCX
15,AM,2021-11-23 20:18:48,2021-09-13,ATCX,Ferraioli Brian K,Dir,P - Purchase,9.45,10750,18652,+136%,101610.0,,,,,ATCX
16,M,2021-11-23 20:17:10,2021-11-19,ATCX,Ferraioli Brian K,Dir,P - Purchase,10.0,5000,23652,+27%,50000.0,,,,,ATCX
17,,2021-11-22 17:42:52,2021-11-19,ATCX,Powell Walter George,Chief Accounting Officer,P - Purchase,10.13,9000,70174,+15%,91170.0,,,,,ATCX
18,,2021-09-17 16:01:40,2021-09-15,ATCX,Quinn David D. Sr.,CFO,P - Purchase,9.22,2170,126458,+2%,20007.0,,,,,ATCX
19,,2021-09-16 18:47:31,2021-09-15,ATCX,Boyer Lonnie Joe,CEO,P - Purchase,9.18,2180,174300,+1%,20002.0,,,,,ATCX
20,,2021-09-16 18:46:44,2021-09-15,ATCX,Parnell Jonathan M.,Chief Strategy Officer,P - Purchase,9.19,2136,108832,+2%,19630.0,,,,,ATCX
21,M,2021-09-15 16:53:13,2021-09-13,ATCX,Ferraioli Brian K,Dir,P - Purchase,9.45,10750,60513,+22%,101610.0,,,,,ATCX
22,,2021-08-30 16:01:39,2021-08-26,ATCX,Ferraioli Brian K,Dir,P - Purchase,9.86,4902,49763,+11%,48334.0,,,,,ATCX
23,,2021-08-26 16:01:34,2021-08-24,ATCX,Burns Kenneth Jerome Jr,COO,P - Purchase,10.41,7240,13900,+109%,75368.0,,,,,ATCX
24,M,2021-06-04 16:20:48,2021-05-28,ATCX,Jain Priya,Chief Growth Officer,P - Purchase,11.0,9000,20261,+80%,99000.0,,,,,ATCX
25,,2021-06-03 16:51:53,2021-06-01,ATCX,Cappa Gary M.,COO,S - Sale,10.25,-532000,1565750,-25%,-5453000.0,,,,,ATCX
26,M,2021-05-28 16:30:33,2021-05-26,ATCX,Mollere John Alex,Chief Administrative Officer,S - Sale,11.13,-14957,61977,-19%,-166468.0,,,,,ATCX
27,,2021-03-22 17:18:04,2021-03-18,ATCX,Bluecrest Capital Management Ltd,10%,S - Sale,10.46,-195000,1490198,-12%,-2039700.0,,,,,ATCX
28,,2020-12-16 16:30:11,2020-12-14,ATCX,Lemoine Leonard Kyle,Dir,P - Purchase,7.28,15000,56995,+36%,109185.0,,,,,ATCX
29,,2020-12-15 16:39:30,2020-12-11,ATCX,Ferraioli Brian K,Dir,P - Purchase,6.95,3000,24591,+14%,20850.0,,,,,ATCX
30,,2020-12-07 16:40:59,2020-12-03,ATCX,Lemoine Leonard Kyle,Dir,P - Purchase,6.29,30000,41995,+250%,188790.0,,,,,ATCX
31,DM,2020-12-07 16:39:36,2020-12-03,ATCX,Powell Walter George,Chief Accounting Officer,P - Purchase,6.81,28500,289276,+11%,194045.0,,,,,ATCX
32,M,2020-12-03 19:39:34,2020-12-01,ATCX,Quinn David D. Sr.,CFO,P - Purchase,5.81,75000,101766,+280%,435593.0,,,,,ATCX
33,DM,2020-12-03 18:17:17,2020-12-01,ATCX,Cappa Gary M.,COO,P - Purchase,5.71,50000,1227980,+4%,285663.0,,,,,ATCX
34,DM,2020-12-03 18:16:57,2020-12-01,ATCX,Boyer Lonnie Joe,CEO,P - Purchase,5.48,11000,724766,+2%,60330.0,,,,,ATCX
35,D,2020-08-27 17:29:31,2020-08-25,ATCX,Atlas Technical Consultants Holdings LP,10%,P - Purchase,7.47,2187500,22361483,+11%,16340625.0,,,,,ATCX
36,D,2020-08-27 13:49:15,2020-08-25,ATCX,"Pte Holdings, Inc.",10%,S - Sale+OE,7.47,-2187500,189962,-92%,-16340625.0,,,,,ATCX
37,D,2018-11-23 07:04:34,2018-11-20,BWMC,Kadenacy Stephen M,"CEO, 10%",P - Purchase,0.0,250000,250000,New,0.0,,,,,ATCX
38,D,2018-11-23 07:01:42,2018-11-20,BWMC,Boxwood Sponsor LLC,10%,P - Purchase,0.0,250000,250000,New,0.0,,,,,ATCX
39,D,2018-11-21 16:08:55,2018-11-20,BWMC,Mihi LLC,10%,P - Purchase,0.0,250000,250000,New,0.0,,,,,ATCX
