,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-03 16:03:14,2022-03-01,ATOM,Mears Robert J,CTO,M - OptEx,7.01,10000,125061,+9%,70100.0,,,,,ATOM
1,D,2022-03-03 16:03:14,2022-03-01,ATOM,Mears Robert J,CTO,S - Sale+OE,15.95,-14927,125061,-11%,-238046.0,,,,,ATOM
2,D,2022-03-03 16:01:39,2022-03-02,ATOM,Laurencio Francis,CFO,M - OptEx,3.9,2000,63519,+3%,7800.0,,,,,ATOM
3,DM,2022-03-03 16:01:39,2022-03-01,ATOM,Laurencio Francis,CFO,S - Sale+OE,15.5,-6244,63519,-9%,-96777.0,,,,,ATOM
4,,2022-03-03 16:00:34,2022-03-01,ATOM,Bibaud Scott A.,"CEO, Pres",S - Sale,15.95,-6258,287460,-2%,-99815.0,,,,,ATOM
5,D,2022-02-25 16:02:22,2022-02-23,ATOM,Bibaud Scott A.,"CEO, Pres",A - Grant,0.0,27504,293718,+10%,0.0,,,,,ATOM
6,D,2022-02-25 16:02:13,2022-02-23,ATOM,Laurencio Francis,CFO,A - Grant,0.0,12112,67763,+22%,0.0,,,,,ATOM
7,D,2022-02-25 16:02:13,2022-02-23,ATOM,Lewis Jeffrey A,"SVP, Marketing, Bus. Dev",A - Grant,0.0,8528,8528,New,0.0,,,,,ATOM
8,D,2022-02-25 16:02:11,2022-02-23,ATOM,Mears Robert J,CTO,A - Grant,0.0,13200,129988,+11%,0.0,,,,,ATOM
9,D,2021-12-03 17:08:18,2021-12-01,ATOM,Mears Robert J,CTO,M - OptEx,7.01,10000,116788,+9%,70100.0,,,,,ATOM
10,DM,2021-12-03 17:08:18,2021-12-01,ATOM,Mears Robert J,CTO,S - Sale+OE,24.29,-15000,116788,-11%,-364332.0,,,,,ATOM
11,D,2021-12-03 17:06:36,2021-12-02,ATOM,Laurencio Francis,CFO,M - OptEx,3.9,2000,55651,+4%,7800.0,,,,,ATOM
12,DM,2021-12-03 17:06:36,2021-12-01,ATOM,Laurencio Francis,CFO,S - Sale+OE,23.48,-7136,55651,-11%,-167572.0,,,,,ATOM
13,,2021-12-03 17:05:40,2021-12-01,ATOM,Bibaud Scott A.,"CEO, Pres",S - Sale,24.24,-8955,266214,-3%,-217069.0,,,,,ATOM
14,,2021-09-03 16:02:51,2021-09-01,ATOM,Bibaud Scott A.,"CEO, Pres",S - Sale,24.4,-9005,275169,-3%,-219722.0,,,,,ATOM
15,D,2021-09-03 16:02:47,2021-09-01,ATOM,Mears Robert J,CTO,M - OptEx,7.01,10000,121788,+9%,70100.0,,,,,ATOM
16,DM,2021-09-03 16:02:47,2021-09-01,ATOM,Mears Robert J,CTO,S - Sale+OE,24.27,-14876,121788,-11%,-361054.0,,,,,ATOM
17,D,2021-09-03 16:02:43,2021-09-02,ATOM,Laurencio Francis,See Remarks,M - OptEx,3.9,2000,60787,+3%,7800.0,,,,,ATOM
18,DM,2021-09-03 16:02:43,2021-09-01,ATOM,Laurencio Francis,See Remarks,S - Sale+OE,24.47,-7155,60787,-11%,-175052.0,,,,,ATOM
19,M,2021-06-03 16:06:51,2021-06-01,ATOM,Mears Robert J,CTO,S - Sale,17.71,-4067,126664,-3%,-72016.0,,,,,ATOM
20,D,2021-06-03 16:04:18,2021-06-02,ATOM,Laurencio Francis,See Remarks,M - OptEx,3.9,2000,65942,+3%,7800.0,,,,,ATOM
21,DM,2021-06-03 16:04:18,2021-06-01,ATOM,Laurencio Francis,See Remarks,S - Sale+OE,17.71,-7144,65942,-10%,-126537.0,,,,,ATOM
22,,2021-06-03 16:02:48,2021-06-01,ATOM,Bibaud Scott A.,"CEO, Pres",S - Sale,17.55,-8960,284175,-3%,-157248.0,,,,,ATOM
23,,2021-05-12 18:03:01,2021-05-12,ATOM,Shevick Steven K,Dir,A - Grant,0.0,4401,68848,+7%,0.0,,,,,ATOM
24,,2021-05-12 18:02:36,2021-05-12,ATOM,Le Duy Loan T,Dir,A - Grant,0.0,4401,55790,+9%,0.0,,,,,ATOM
