,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-02-17 16:17:56,2022-02-15,BDTX,Jones Erika,SEE REMARKS,A - Grant,0.0,5075,5075,New,0.0,,,,,BDTX
1,,2021-12-17 16:50:35,2021-12-17,BDTX,Behbahani Ali,Dir,A - Grant,5.31,2472,3454116,0%,13126.0,,,,,BDTX
2,,2021-12-17 16:12:43,2021-12-17,BDTX,Ingram Robert Alexander,Dir,A - Grant,5.31,3296,12602,+35%,17502.0,,,,,BDTX
3,,2021-09-23 17:43:57,2021-09-17,BDTX,Behbahani Ali,Dir,A - Grant,9.9,1326,3451644,0%,13127.0,,,,,BDTX
4,,2021-09-23 17:33:31,2021-09-17,BDTX,Ingram Robert Alexander,Dir,A - Grant,9.9,1869,9306,+25%,18503.0,,,,,BDTX
5,D,2021-06-22 19:18:30,2021-06-18,BDTX,Behbahani Ali,Dir,A - Grant,12.95,1014,3450318,0%,13131.0,,,,,BDTX
6,D,2021-06-22 18:13:47,2021-06-18,BDTX,Ingram Robert Alexander,Dir,A - Grant,12.95,1255,7437,+20%,16252.0,,,,,BDTX
7,D,2021-05-13 16:53:12,2021-05-12,BDTX,Hatzis-Schoch Brent,See Remarks,M - OptEx,3.2,4078,8400,+94%,13050.0,,,,,BDTX
8,D,2021-05-13 16:53:12,2021-05-12,BDTX,Hatzis-Schoch Brent,See Remarks,S - Sale+OE,27.42,-4078,8400,-33%,-111805.0,,,,,BDTX
9,D,2021-05-05 16:31:37,2021-05-03,BDTX,Roberts Christopher D.,Chief Scientific Officer,M - OptEx,10.86,2500,3200,+357%,27150.0,,,,,BDTX
10,D,2021-05-05 16:31:37,2021-05-03,BDTX,Roberts Christopher D.,Chief Scientific Officer,S - Sale+OE,26.64,-2500,3200,-44%,-66602.0,,,,,BDTX
11,D,2021-04-13 20:45:24,2021-04-12,BDTX,Hatzis-Schoch Brent,See Remarks,M - OptEx,3.2,4078,8400,+94%,13050.0,,,,,BDTX
12,D,2021-04-13 20:45:24,2021-04-12,BDTX,Hatzis-Schoch Brent,See Remarks,S - Sale+OE,25.0,-4078,8400,-33%,-101950.0,,,,,BDTX
13,D,2021-04-07 17:17:22,2021-04-05,BDTX,Roberts Christopher D.,Chief Scientific Officer,M - OptEx,10.86,2500,3200,+357%,27150.0,,,,,BDTX
14,D,2021-04-07 17:17:22,2021-04-05,BDTX,Roberts Christopher D.,Chief Scientific Officer,S - Sale+OE,25.54,-2500,3200,-44%,-63848.0,,,,,BDTX
15,,2021-03-22 20:33:00,2021-03-18,BDTX,Behbahani Ali,Dir,A - Grant,24.01,547,3449304,0%,13133.0,,,,,BDTX
