,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-09 16:38:14,2022-03-07,BLUE,Jones-Burton Charlotte,Dir,A - Grant,0.0,4663,4663,New,0.0,,,,,BLUE
1,D,2022-02-03 18:08:20,2022-02-01,BLUE,Obenshain Andrew,"Pres, CEO",A - Grant,0.0,18000,268936,+7%,0.0,,,,,BLUE
2,D,2022-02-03 18:08:06,2022-02-01,BLUE,Eggimann Anne-Virginie,Chief Regulatory Officer,A - Grant,0.0,17000,43610,+64%,0.0,,,,,BLUE
3,D,2022-02-03 18:08:02,2022-02-01,BLUE,Whitten Jessica,Chief Accounting Officer,A - Grant,0.0,7500,56913,+15%,0.0,,,,,BLUE
4,D,2022-02-03 18:07:58,2022-02-01,BLUE,Consylman Gina,CFO,A - Grant,0.0,25000,125385,+25%,0.0,,,,,BLUE
5,D,2022-02-03 18:07:45,2022-02-01,BLUE,Klima Thomas J,Chief Commercial Officer,A - Grant,0.0,25000,75192,+50%,0.0,,,,,BLUE
6,D,2022-02-03 18:07:21,2022-02-01,BLUE,Cole Jason,Chief Business Officer,A - Grant,0.0,25000,211188,+13%,0.0,,,,,BLUE
7,M,2022-01-12 21:16:12,2022-01-10,BLUE,Whitten Jessica,Chief Accounting Officer,S - Sale,9.57,-409,49413,-1%,-3913.0,,,,,BLUE
8,M,2022-01-12 21:15:40,2022-01-10,BLUE,Cole Jason,COO and,S - Sale,9.57,-4971,186188,-3%,-47553.0,,,,,BLUE
9,M,2022-01-12 21:15:29,2022-01-10,BLUE,Leschly Nick,Dir,S - Sale,9.57,-7437,450029,-2%,-71143.0,,,,,BLUE
10,M,2022-01-12 21:15:21,2022-01-10,BLUE,Obenshain Andrew,"Pres, CEO",S - Sale,9.53,-7725,246696,-3%,-73623.0,,,,,BLUE
11,,2022-01-07 16:28:33,2022-01-05,BLUE,Whitten Jessica,Chief Accounting Officer,S - Sale,10.44,-2984,49822,-6%,-31143.0,,,,,BLUE
12,,2021-12-27 17:40:06,2021-12-22,BLUE,Whitten Jessica,Chief Accounting Officer,A - Grant,0.0,9502,52806,+22%,0.0,,,,,BLUE
13,,2021-12-09 16:51:47,2021-12-07,BLUE,Obenshain Andrew,"Pres, CEO",S - Sale,10.18,-832,254421,0%,-8469.0,,,,,BLUE
14,D,2021-10-19 20:00:43,2021-10-15,BLUE,Leiderman Elisabeth,Dir,A - Grant,0.0,4663,4663,New,0.0,,,,,BLUE
15,D,2021-10-01 19:27:21,2021-09-29,BLUE,Glickman Sarah Js,Dir,A - Grant,0.0,4663,4663,New,0.0,,,,,BLUE
16,D,2021-10-01 16:42:48,2021-09-29,BLUE,Tita-Reid Najoh,Dir,A - Grant,0.0,4663,4663,New,0.0,,,,,BLUE
17,D,2021-09-09 17:08:55,2021-09-07,BLUE,Maus Marcela V.,Dir,A - Grant,0.0,4663,4663,New,0.0,,,,,BLUE
18,,2021-08-04 16:53:26,2021-08-02,BLUE,Gregory Philip D,Chief Scientific Officer,A - Grant,0.0,67853,114682,+145%,0.0,,,,,BLUE
19,,2021-08-04 16:53:20,2021-08-02,BLUE,Baird William D III,CFO,A - Grant,0.0,67169,102698,+189%,0.0,,,,,BLUE
20,,2021-08-04 16:53:05,2021-08-02,BLUE,Leschly Nick,"Pres, CEO",A - Grant,0.0,102607,577998,+22%,0.0,,,,,BLUE
21,,2021-08-04 16:52:47,2021-08-02,BLUE,Cole Jason,COO and,A - Grant,0.0,64531,112453,+135%,0.0,,,,,BLUE
22,D,2021-08-04 16:52:47,2021-08-02,BLUE,Obenshain Andrew,Pres of SGD,A - Grant,0.0,100000,139597,+253%,0.0,,,,,BLUE
23,D,2021-06-17 16:10:25,2021-06-15,BLUE,Torres Denice,Dir,A - Grant,0.0,3109,5859,+113%,0.0,,,,,BLUE
24,D,2021-06-17 16:10:16,2021-06-15,BLUE,Vachon Mark,Dir,A - Grant,0.0,3109,6766,+85%,0.0,,,,,BLUE
25,D,2021-06-17 16:10:07,2021-06-15,BLUE,Sellers William R.,Dir,A - Grant,0.0,3109,6721,+86%,0.0,,,,,BLUE
26,D,2021-06-17 16:09:46,2021-06-15,BLUE,Ibrahim Ramy,Dir,A - Grant,0.0,3109,5359,+138%,0.0,,,,,BLUE
27,D,2021-06-17 16:09:23,2021-06-15,BLUE,Dixon Wendy L,Dir,A - Grant,0.0,3109,8762,+55%,0.0,,,,,BLUE
28,D,2021-06-17 16:08:56,2021-06-15,BLUE,Agwunobi John O,Dir,A - Grant,0.0,3109,9433,+49%,0.0,,,,,BLUE
29,D,2021-06-17 16:08:31,2021-06-15,BLUE,Lynch Daniel,Dir,A - Grant,0.0,4353,12312,+55%,0.0,,,,,BLUE
30,,2021-06-08 16:26:07,2021-06-04,BLUE,Obenshain Andrew,Pres of SGD,S - Sale,30.75,-511,39597,-1%,-15715.0,,,,,BLUE
31,D,2021-06-02 16:16:37,2021-06-01,BLUE,Klima Thomas J,"Chief Commercial Officer, SGD",A - Grant,31.11,25000,25000,New,777750.0,,,,,BLUE
32,,2021-05-13 16:57:29,2021-05-12,BLUE,Leschly Nick,"Pres, CEO",G - Gift,0.0,-246000,475391,+107%,-0.0,,,,,BLUE
33,,2021-05-05 16:46:04,2021-05-03,BLUE,Obenshain Andrew,Pres of SGD,S - Sale,30.15,-29,40108,0%,-874.0,,,,,BLUE
34,,2021-05-05 16:45:20,2021-05-03,BLUE,Gregory Philip D,Chief Scientific Officer,S - Sale,30.15,-39,46829,0%,-1176.0,,,,,BLUE
35,,2021-05-05 16:44:15,2021-05-03,BLUE,Leschly Nick,"Pres, CEO",S - Sale,30.15,-444,475391,0%,-13387.0,,,,,BLUE
36,,2021-05-05 16:43:41,2021-05-03,BLUE,Cole Jason,COO and,S - Sale,30.15,-38,47922,0%,-1146.0,,,,,BLUE
37,,2021-04-07 16:43:49,2021-04-05,BLUE,Obenshain Andrew,Pres of SGD,S - Sale,30.21,-29,40137,0%,-876.0,,,,,BLUE
38,,2021-04-07 16:43:37,2021-04-05,BLUE,Leschly Nick,"Pres, CEO",S - Sale,30.21,-444,475835,0%,-13411.0,,,,,BLUE
39,,2021-04-07 16:43:18,2021-04-05,BLUE,Gregory Philip D,Chief Scientific Officer,S - Sale,30.21,-39,46868,0%,-1178.0,,,,,BLUE
40,,2021-04-07 16:42:58,2021-04-05,BLUE,Cole Jason,COO and,S - Sale,30.21,-37,47960,0%,-1118.0,,,,,BLUE
41,,2021-04-07 16:42:47,2021-04-05,BLUE,Davidson David,Chief Medical Officer,S - Sale,30.21,-42,47787,0%,-1269.0,,,,,BLUE
