,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 15:55:17,2022-03-10,CCBG,Barron Thomas A,Treasurer,S - Sale,27.02,-5000,191007,-3%,-135080.0,,,,,CCBG
1,,2022-03-02 13:58:06,2022-03-01,CCBG,Bense Allan G,Dir,P - Purchase,26.76,10000,90356,+12%,267600.0,,,,,CCBG
2,,2022-02-28 17:29:53,2021-09-14,CCBG,Johnson Laura L,Dir,P - Purchase,22.85,1000,26590,+4%,22850.0,,,,,CCBG
3,,2022-01-25 09:43:48,2022-01-24,CCBG,Butler William F,Dir,P - Purchase,24.03,416,1416,+42%,9996.0,,,,,CCBG
4,,2021-12-06 16:47:12,2021-12-03,CCBG,Johnson Laura L,Dir,P - Purchase,26.49,1000,23438,+4%,26489.0,,,,,CCBG
5,,2021-09-13 12:33:12,2021-09-10,CCBG,Bense Allan G,Dir,P - Purchase,22.84,5416,78894,+7%,123691.0,,,,,CCBG
6,,2021-09-10 13:51:03,2021-09-09,CCBG,Bense Allan G,Dir,P - Purchase,22.89,4584,73478,+7%,104928.0,,,,,CCBG
7,,2021-09-10 13:45:03,2021-09-09,CCBG,Criser Marshall M III,Dir,P - Purchase,22.76,2205,14400,+18%,50184.0,,,,,CCBG
8,,2021-05-27 14:48:32,2021-05-27,CCBG,Johnson Laura L,Dir,P - Purchase,25.75,1000,21472,+5%,25750.0,,,,,CCBG
9,A,2021-02-23 16:49:24,2020-04-27,CCBG,Criser Marshall M III,Dir,P - Purchase,19.6,4000,11042,+57%,78400.0,,,,,CCBG
10,A,2021-02-23 16:47:28,2019-12-12,CCBG,Criser Marshall M III,Dir,P - Purchase,29.41,1695,5960,+40%,49850.0,,,,,CCBG
11,A,2021-02-23 16:45:43,2019-02-07,CCBG,Criser Marshall M III,Dir,P - Purchase,24.3,2500,3309,+309%,60750.0,,,,,CCBG
12,AM,2021-02-22 16:51:21,2020-05-12,CCBG,Bense Allan G,Dir,P - Purchase,17.82,5000,63729,+9%,89111.0,,,,,CCBG
13,,2021-02-16 12:55:04,2021-02-11,CCBG,Grant William E,Dir,P - Purchase,22.64,1090,16007,+7%,24672.0,,,,,CCBG
14,,2020-05-18 10:46:54,2020-05-14,CCBG,Johnson Laura L,Dir,P - Purchase,17.0,1000,16512,+6%,17000.0,,,,,CCBG
15,,2020-05-14 12:07:31,2020-05-13,CCBG,Grant William E,Dir,P - Purchase,17.37,4315,12984,+50%,74952.0,,,,,CCBG
16,,2020-05-14 11:32:49,2020-05-13,CCBG,Connally Stan W,Dir,P - Purchase,17.19,2895,12984,+29%,49765.0,,,,,CCBG
17,M,2020-05-13 20:34:59,2020-05-12,CCBG,Bense Allan G,Dir,P - Purchase,17.82,5000,63729,+9%,89111.0,,,,,CCBG
18,,2020-05-06 16:44:22,2020-05-04,CCBG,Johnson Laura L,Dir,P - Purchase,20.45,1500,15512,+11%,30674.0,,,,,CCBG
19,,2020-05-06 11:47:03,2020-05-06,CCBG,Sample John G Jr,Dir,P - Purchase,19.9,1000,14827,+7%,19900.0,,,,,CCBG
20,,2020-04-29 16:18:18,2020-04-27,CCBG,Criser Marshall M III,Dir,P - Purchase,19.6,4000,11042,+57%,78400.0,,,,,CCBG
21,,2020-04-29 08:18:44,2020-04-28,CCBG,Connally Stan W,Dir,P - Purchase,21.5,2315,10089,+30%,49773.0,,,,,CCBG
22,,2019-12-13 07:55:54,2019-12-12,CCBG,Criser Marshall M III,Dir,P - Purchase,29.41,1695,5960,+40%,49850.0,,,,,CCBG
23,,2019-12-12 12:28:02,2019-12-11,CCBG,Johnson Laura L,Dir,P - Purchase,28.94,1500,12357,+14%,43407.0,,,,,CCBG
24,,2019-03-18 12:46:19,2019-03-15,CCBG,Barron Thomas A,Treasurer,S - Sale,23.53,-5000,175159,-3%,-117640.0,,,,,CCBG
25,,2019-03-08 16:57:14,2019-03-08,CCBG,Bense Allan G,Dir,P - Purchase,22.75,832,55515,+2%,18928.0,,,,,CCBG
26,,2019-03-06 15:36:10,2019-03-01,CCBG,Johnson Laura L,Dir,P - Purchase,24.97,2500,9013,+38%,62413.0,,,,,CCBG
27,,2019-02-08 08:23:46,2019-02-07,CCBG,Criser Marshall M III,Dir,P - Purchase,24.3,2500,3309,+309%,60750.0,,,,,CCBG
28,,2018-12-12 16:37:35,2018-12-10,CCBG,Smith Douglas Williams,10%,S - Sale,24.75,-324441,1581107,-17%,-8029915.0,,,,,CCBG
29,,2018-12-12 16:36:13,2018-12-10,CCBG,Mitchell E Drew,10%,S - Sale,24.75,-324441,1577200,-17%,-8029915.0,,,,,CCBG
30,M,2018-11-16 15:51:57,2018-11-15,CCBG,Barron Thomas A,Treasurer,S - Sale,25.07,-4312,166117,-3%,-108106.0,,,,,CCBG
31,M,2018-09-13 08:17:01,2018-09-11,CCBG,Barron Thomas A,Treasurer,S - Sale,23.99,-5000,170429,-3%,-119936.0,,,,,CCBG
32,,2018-05-23 10:19:40,2018-05-22,CCBG,Barron Thomas A,Treasurer,S - Sale,23.27,-5000,176429,-3%,-116370.0,,,,,CCBG
33,,2018-05-15 15:42:26,2018-05-03,CCBG,Johnson Laura L,Dir,P - Purchase,22.97,500,4092,+14%,11485.0,,,,,CCBG
