,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-02-26 17:34:41,2021-02-24,CVLG,Kramer D Michael,Dir,P - Purchase,18.45,300,5665,+6%,5535.0,,,,,CVLG
1,M,2020-11-03 17:06:54,2020-10-30,CVTI,Bunn Paul,"EVP, CFO, Secretary",P - Purchase,13.43,2500,77147,+3%,33575.0,,,,,CVLG
2,,2020-11-03 17:03:13,2020-10-30,CVLG,Parker David Ray,"COB, CEO, 10%",P - Purchase,13.66,36300,4707631,+1%,495843.0,,,,,CVLG
3,M,2020-11-02 18:01:27,2020-10-29,CVLG,Tweed John A,"Co-Pres, COO",P - Purchase,14.08,97688,334442,+41%,1375363.0,,,,,CVLG
4,,2020-03-03 17:16:09,2020-02-28,CVTI,Bosworth Robert E,Dir,P - Purchase,11.93,3000,101619,+3%,35781.0,,,,,CVLG
5,,2019-11-01 11:18:12,2019-10-30,CVTI,Brower James F Jr,"EVP, COO of Subsidiary",S - Sale,15.58,-6000,58581,-9%,-93498.0,,,,,CVLG
6,,2019-06-04 17:59:00,2019-05-31,CVTI,Bosworth Robert E,Dir,P - Purchase,15.0,5000,98619,+5%,75000.0,,,,,CVLG
7,,2018-12-06 17:10:01,2018-12-04,CVTI,Tweed John A,Pres of Subsidiary,P - Purchase,21.0,21341,51250,+71%,448223.0,,,,,CVLG
8,M,2018-11-14 17:42:24,2018-11-12,CVTI,Tweed John A,Pres of Subsidiary,P - Purchase,23.57,18659,29909,+166%,439706.0,,,,,CVLG
9,,2018-08-31 17:44:00,2018-08-29,CVTI,Hogan Joey B,Pres,S - Sale,30.01,-7300,172242,-4%,-219051.0,,,,,CVLG
10,,2018-08-24 16:30:56,2018-08-22,CVTI,Hogan Joey B,Pres,S - Sale,30.45,-200,179504,0%,-6090.0,,,,,CVLG
11,,2018-08-08 16:24:09,2018-08-06,CVTI,Alt William Thomas,Dir,S - Sale,29.75,-1709,15580,-10%,-50840.0,,,,,CVLG
12,,2018-06-15 13:41:20,2018-06-13,CVTI,Lovin Ralph H Jr,"EVP, Secretary",S - Sale,34.85,-3000,39571,-7%,-104561.0,,,,,CVLG
13,M,2018-06-13 18:03:01,2018-06-11,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,32.96,-145439,5070901,-3%,-4792970.0,,,,,CVLG
14,M,2018-06-08 17:39:50,2018-06-06,CVTI,Parker David Ray,"COB, CEO, 10%",S - Sale,32.52,-51417,5216426,-1%,-1672090.0,,,,,CVLG
