,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2019-04-15 16:25:52,2019-04-11,DARE,Hawley Roger,Dir,P - Purchase,1.1,454545,1084956,+72%,500000.0,,,,,DARE
1,,2018-06-12 18:30:49,2018-06-11,DARE,Hawley Roger,Dir,P - Purchase,1.45,140000,630411,+29%,203378.0,,,,,DARE
2,,2017-07-25 16:20:28,2017-07-19,DARE,Johnson Sabrina Martucci,"CEO, 10%",A - Grant,0.0,962062,962062,New,0.0,,,,,DARE
3,,2017-07-21 17:12:34,2017-07-19,DARE,Walters-Hoffert Lisa,CFO,A - Grant,0.0,443512,443512,New,0.0,,,,,DARE
4,D,2017-07-21 17:03:29,2017-07-19,DARE,Steele Robin Joan,Dir,A - Grant,0.0,246171,246171,New,0.0,,,,,DARE
5,D,2017-07-21 16:09:53,2017-07-19,DARE,Hawley Roger,Dir,A - Grant,0.0,490411,673108,+268%,0.0,,,,,DARE
6,,2017-04-05 16:33:05,2017-04-03,CERU,Friedman Paul A,Dir,A - Grant,0.73,10273,18819,+120%,7499.0,2.0,-4.0,-34.0,,DARE
7,,2017-01-05 16:25:21,2017-01-03,CERU,Walt David R,Dir,A - Grant,0.77,14935,193700,+8%,11500.0,0.0,-3.0,60.0,,DARE
8,,2017-01-05 16:24:18,2017-01-03,CERU,Rastetter William H,Dir,A - Grant,0.77,24350,103039,+31%,18750.0,0.0,-3.0,60.0,,DARE
9,,2017-01-05 16:23:43,2017-01-03,CERU,Parkinson David Ross,Dir,A - Grant,0.77,16234,28488,+132%,12500.0,0.0,-3.0,60.0,,DARE
10,,2017-01-05 16:22:34,2017-01-03,CERU,McKee William,Dir,A - Grant,0.77,1948,3418,+133%,1500.0,0.0,-3.0,60.0,,DARE
11,,2017-01-05 16:21:36,2016-12-31,CERU,Guiffre Christopherd T,CEO,A - Grant,0.6,5733,12489,+85%,3440.0,0.0,-3.0,60.0,,DARE
12,,2017-01-05 16:20:10,2017-01-03,CERU,Friedman Paul A,Dir,A - Grant,0.77,4870,8546,+132%,3750.0,0.0,-3.0,60.0,,DARE
13,,2017-01-05 16:19:02,2017-01-03,CERU,Arbuckle Stuart A,Dir,A - Grant,0.77,7467,13104,+132%,5750.0,0.0,-3.0,60.0,,DARE
14,,2016-10-20 19:02:48,2016-10-03,CERU,Walt David R,Dir,A - Grant,1.02,11274,178765,+7%,11499.0,3.0,-6.0,-15.0,-29.0,DARE
15,,2016-10-20 19:01:41,2016-10-03,CERU,Rastetter William H,Dir,A - Grant,1.02,18382,78689,+30%,18750.0,3.0,-6.0,-15.0,-29.0,DARE
16,,2016-10-20 19:00:43,2016-10-03,CERU,Parkinson David Ross,Dir,A - Grant,1.02,12254,12254,New,12499.0,3.0,-6.0,-15.0,-29.0,DARE
17,,2016-10-20 18:59:18,2016-10-03,CERU,McKee William,Dir,A - Grant,1.02,1470,1470,New,1499.0,3.0,-6.0,-15.0,-29.0,DARE
18,,2016-10-20 18:57:29,2016-10-03,CERU,Friedman Paul A,Dir,A - Grant,1.02,3676,3676,New,3750.0,3.0,-6.0,-15.0,-29.0,DARE
19,,2016-10-20 18:56:18,2016-10-03,CERU,Arbuckle Stuart A,Dir,A - Grant,1.02,5637,5637,New,5750.0,3.0,-6.0,-15.0,-29.0,DARE
20,,2016-07-08 16:11:08,2016-06-30,CERU,Guiffre Christopherd T,CEO,A - Grant,1.8,3999,6756,+145%,7206.0,-3.0,-7.0,25.0,-64.0,DARE
21,,2016-05-27 18:44:08,2015-12-31,CERU,Oneill James E,Principal Accounting Officer,A - Grant,2.38,1098,2098,+110%,2613.0,2.0,3.0,-15.0,-68.0,DARE
