,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-01-03 17:01:00,2022-01-01,DSKE,Garbers Grant Edward,Dir,M - OptEx,0.0,6906,6906,New,0.0,,,,,DSKE
1,D,2022-01-03 17:00:56,2022-01-01,DSKE,Koschel Williams Ena,Dir,M - OptEx,0.0,6906,53741,+15%,0.0,,,,,DSKE
2,D,2022-01-03 17:00:49,2022-01-01,DSKE,Serianni Charles F,Dir,M - OptEx,0.0,6906,41741,+20%,0.0,,,,,DSKE
3,D,2022-01-03 17:00:30,2022-01-01,DSKE,Bonner Brian,Dir,M - OptEx,0.0,6906,501372,+1%,0.0,,,,,DSKE
4,D,2022-01-03 17:00:24,2022-01-01,DSKE,Daseke Don R,"Dir, 10%",M - OptEx,0.0,6906,18008747,0%,0.0,,,,,DSKE
5,D,2022-01-03 17:00:21,2022-01-01,DSKE,Ellingsen Catharine D,Dir,M - OptEx,0.0,4711,4711,New,0.0,,,,,DSKE
6,M,2021-10-12 16:01:20,2021-10-07,DSKE,Williams Rick Alan,"EVP, COO",S - Sale,9.95,-49505,0,-100%,-492575.0,,,,,DSKE
7,,2021-09-09 17:00:18,2021-09-07,DSKE,Williams Rick Alan,"EVP, COO",S - Sale,9.13,-250000,49505,-83%,-2282500.0,,,,,DSKE
8,D,2021-09-08 17:49:23,2021-09-06,DSKE,Bonner Brian,Dir,F - Tax,9.65,-95992,494466,-16%,-926323.0,,,,,DSKE
9,D,2021-09-08 17:49:23,2021-09-06,DSKE,Bonner Brian,Dir,M - OptEx,0.0,250000,494466,+102%,0.0,,,,,DSKE
10,DM,2021-06-02 17:45:08,2020-09-06,DSKE,Shepko Jonathan,Interim CEO,M - OptEx,0.0,132369,268079,+98%,0.0,,,,,DSKE
11,D,2021-06-02 17:43:36,2021-06-01,DSKE,Serianni Charles F,Dir,M - OptEx,0.0,18083,34835,+108%,0.0,,,,,DSKE
12,D,2021-06-02 17:40:41,2021-06-01,DSKE,Koschel Williams Ena,Dir,M - OptEx,0.0,18083,46835,+63%,0.0,,,,,DSKE
13,D,2021-06-02 17:38:28,2021-06-01,DSKE,Hennessy Daniel J,Dir,M - OptEx,0.0,18083,675907,+3%,0.0,,,,,DSKE
14,D,2020-06-03 18:39:28,2020-06-01,DSKE,Koschel Williams Ena,Dir,M - OptEx,0.0,6752,28752,+31%,0.0,,,,,DSKE
15,D,2020-06-03 18:39:24,2020-06-01,DSKE,Warmbier Kimberly,Dir,M - OptEx,0.0,6752,13002,+108%,0.0,,,,,DSKE
16,D,2020-06-03 18:39:21,2020-06-01,DSKE,Shepko Jonathan,Dir,M - OptEx,0.0,11574,135710,+9%,0.0,,,,,DSKE
17,D,2020-06-03 18:39:17,2020-06-01,DSKE,Serianni Charles F,Dir,M - OptEx,0.0,6752,16752,+68%,0.0,,,,,DSKE
18,D,2020-06-03 18:39:12,2020-06-01,DSKE,Hennessy Daniel J,Dir,M - OptEx,0.0,11574,657824,+2%,0.0,,,,,DSKE
19,D,2020-06-03 18:39:08,2020-06-01,DSKE,Charlton Kevin M.,Dir,M - OptEx,0.0,11574,169650,+7%,0.0,,,,,DSKE
20,D,2020-06-03 18:39:04,2020-06-01,DSKE,Bonner Brian,Dir,M - OptEx,0.0,11574,173199,+7%,0.0,,,,,DSKE
21,,2020-05-15 16:20:19,2020-05-15,DSKE,Charlton Kevin M.,Dir,P - Purchase,1.65,14000,158076,+10%,23078.0,,,,,DSKE
22,M,2020-05-15 07:47:30,2020-05-13,DSKE,Shepko Jonathan,Dir,P - Purchase,1.54,108610,124136,+700%,166833.0,,,,,DSKE
23,,2020-05-14 18:37:42,2020-05-12,DSKE,Warmbier Kimberly,Dir,P - Purchase,1.59,6250,6250,New,9918.0,,,,,DSKE
24,M,2020-05-14 17:20:20,2020-05-12,DSKE,Bonner Brian,Dir,P - Purchase,1.61,100000,161625,+162%,161015.0,,,,,DSKE
25,,2019-09-17 18:38:15,2019-09-13,DSKE,Serianni Charles F,Dir,P - Purchase,3.43,10000,10000,New,34300.0,,,,,DSKE
26,,2019-09-13 18:58:25,2019-09-13,DSKE,Williams Ena,Dir,P - Purchase,3.36,22000,22000,New,74019.0,,,,,DSKE
27,,2019-08-09 19:25:21,2019-08-07,DSKE,Sinclair Mark,Dir,P - Purchase,2.25,15000,35252,+74%,33750.0,,,,,DSKE
28,,2019-08-08 17:19:22,2019-08-07,DSKE,Easter Christopher R.,COO,P - Purchase,2.17,20000,20000,New,43360.0,,,,,DSKE
29,D,2019-06-04 18:17:39,2019-06-01,DSKE,Shepko Jonathan,Dir,M - OptEx,0.0,5252,15526,+51%,0.0,,,,,DSKE
30,D,2019-06-04 17:54:28,2019-06-01,DSKE,Sinclair Mark,Dir,M - OptEx,0.0,5252,20252,+35%,0.0,,,,,DSKE
31,D,2019-06-04 17:53:17,2019-06-01,DSKE,Bonner Brian,Dir,M - OptEx,0.0,5252,61625,+9%,0.0,,,,,DSKE
32,D,2019-06-04 17:50:08,2019-06-01,DSKE,Charlton Kevin M.,Dir,M - OptEx,0.0,5252,144076,+4%,0.0,,,,,DSKE
33,D,2019-06-04 17:50:03,2019-06-01,DSKE,Gafford Ronald J,Dir,M - OptEx,0.0,5252,83750,+7%,0.0,,,,,DSKE
34,D,2019-06-04 17:39:57,2019-06-01,DSKE,Hennessy Daniel J,Dir,M - OptEx,0.0,5252,646250,+1%,0.0,,,,,DSKE
35,,2018-12-13 19:37:17,2018-12-13,DSKE,Daseke Don R,"CEO, 10%",P - Purchase,3.39,76000,18001769,0%,257974.0,,,,,DSKE
36,,2018-12-12 19:46:37,2018-12-12,DSKE,Gafford Ronald J,Dir,P - Purchase,3.54,5000,78498,+7%,17691.0,,,,,DSKE
37,,2018-12-07 18:07:28,2018-12-04,DSKE,Sinclair Mark,Dir,P - Purchase,3.77,10000,15000,+200%,37665.0,,,,,DSKE
38,,2018-06-05 21:35:19,2018-06-01,DSKE,Gafford Ronald J,Dir,A - Grant,0.0,10816,73498,+17%,0.0,,,,,DSKE
39,,2018-06-05 21:11:18,2018-06-01,DSKE,Bonner Brian,Dir,A - Grant,0.0,8112,56373,+17%,0.0,,,,,DSKE
40,,2018-06-05 21:10:14,2018-06-01,DSKE,Moss Angie J.,"SVP, CAO, Controller, Ast Sec",A - Grant,0.0,5111,32366,+19%,0.0,,,,,DSKE
41,,2018-06-05 21:10:07,2018-06-01,DSKE,Shepko Jonathan,Dir,A - Grant,0.0,6490,15142,+75%,0.0,,,,,DSKE
42,,2018-06-05 21:10:03,2018-06-01,DSKE,Daseke Don R,"CEO, 10%",A - Grant,0.0,2830504,17925769,+19%,0.0,,,,,DSKE
43,,2018-06-05 21:08:57,2018-06-01,DSKE,Wheeler Ronald Scott,"Pres, CFO",A - Grant,0.0,25552,166825,+18%,0.0,,,,,DSKE
44,M,2018-05-22 18:22:55,2018-05-18,DSKE,Wheeler Ronald Scott,"Pres, CFO",P - Purchase,9.48,5000,141273,+4%,47391.0,,,,,DSKE
45,,2018-05-21 17:25:54,2018-05-18,DSKE,Gafford Ronald J,Dir,P - Purchase,9.27,5000,62682,+9%,46350.0,,,,,DSKE
46,,2018-05-21 17:25:40,2018-05-18,DSKE,Hennessy Daniel J,Dir,P - Purchase,9.46,15000,640998,+2%,141843.0,,,,,DSKE
