,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-14 16:35:28,2022-03-10,EQIX,Van Camp Peter,Exec COB,M - OptEx,0.0,424,7131,+6%,0.0,,,,,EQIX
1,D,2022-03-14 16:35:28,2022-03-11,EQIX,Van Camp Peter,Exec COB,S - Sale+OE,702.71,-424,7131,-6%,-297951.0,,,,,EQIX
2,D,2022-03-14 16:34:16,2022-03-10,EQIX,Taylor Keith D,CFO,M - OptEx,0.0,1058,22120,+5%,0.0,,,,,EQIX
3,D,2022-03-14 16:34:16,2022-03-11,EQIX,Taylor Keith D,CFO,S - Sale+OE,701.78,-1058,22120,-5%,-742486.0,,,,,EQIX
4,D,2022-03-14 16:32:39,2022-03-10,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",M - OptEx,0.0,898,17246,+5%,0.0,,,,,EQIX
5,D,2022-03-14 16:32:39,2022-03-11,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale+OE,700.96,-898,17246,-5%,-629458.0,,,,,EQIX
6,D,2022-03-14 16:31:21,2022-03-10,EQIX,Miller Simon,Chief Accounting Officer,M - OptEx,0.0,318,3645,+10%,0.0,,,,,EQIX
7,D,2022-03-14 16:31:21,2022-03-11,EQIX,Miller Simon,Chief Accounting Officer,S - Sale+OE,702.37,-318,3645,-8%,-223352.0,,,,,EQIX
8,D,2022-03-14 16:25:32,2022-03-10,EQIX,Meyers Charles J,"CEO, Pres",M - OptEx,0.0,2229,19683,+13%,0.0,,,,,EQIX
9,D,2022-03-14 16:25:32,2022-03-11,EQIX,Meyers Charles J,"CEO, Pres",S - Sale+OE,701.19,-2229,19683,-10%,-1562959.0,,,,,EQIX
10,D,2022-03-14 16:23:20,2022-03-10,EQIX,Lin Jonathan,"EVP, GM, Data Center Services",M - OptEx,0.0,401,4985,+9%,0.0,,,,,EQIX
11,D,2022-03-14 16:23:20,2022-03-11,EQIX,Lin Jonathan,"EVP, GM, Data Center Services",S - Sale+OE,702.25,-123,4985,-2%,-86377.0,,,,,EQIX
12,D,2022-03-14 16:21:36,2022-03-10,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",M - OptEx,0.0,877,21640,+4%,0.0,,,,,EQIX
13,D,2022-03-14 16:21:36,2022-03-11,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale+OE,700.99,-877,21640,-4%,-614771.0,,,,,EQIX
14,D,2022-03-14 16:20:11,2022-03-10,EQIX,Campbell Michael Earl,Chief Sales Officer,M - OptEx,0.0,671,12044,+6%,0.0,,,,,EQIX
15,D,2022-03-14 16:20:11,2022-03-11,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale+OE,701.64,-671,12044,-5%,-470803.0,,,,,EQIX
16,,2022-03-09 21:37:49,2022-03-08,EQIX,Van Camp Peter,Exec COB,S - Sale,688.05,-1000,7131,-12%,-688050.0,,,,,EQIX
17,D,2022-03-03 16:33:54,2022-03-01,EQIX,Taylor Keith D,CFO,M - OptEx,0.0,159,22120,+1%,0.0,,,,,EQIX
18,D,2022-03-03 16:33:54,2022-03-02,EQIX,Taylor Keith D,CFO,S - Sale+OE,705.42,-81,22120,0%,-57139.0,,,,,EQIX
19,D,2022-03-03 16:30:35,2022-03-01,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",M - OptEx,0.0,132,17246,+1%,0.0,,,,,EQIX
20,D,2022-03-03 16:30:35,2022-03-02,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale+OE,705.68,-57,17246,0%,-40224.0,,,,,EQIX
21,D,2022-03-03 16:27:17,2022-03-01,EQIX,Miller Simon,Chief Accounting Officer,M - OptEx,0.0,1104,3645,+43%,0.0,,,,,EQIX
22,D,2022-03-03 16:27:17,2022-03-02,EQIX,Miller Simon,Chief Accounting Officer,S - Sale+OE,704.35,-370,3645,-9%,-260609.0,,,,,EQIX
23,D,2022-03-03 16:23:25,2022-03-01,EQIX,Meyers Charles J,"CEO, Pres",M - OptEx,0.0,661,19683,+3%,0.0,,,,,EQIX
24,D,2022-03-03 16:23:25,2022-03-02,EQIX,Meyers Charles J,"CEO, Pres",S - Sale+OE,705.22,-1744,19683,-8%,-1229904.0,,,,,EQIX
25,D,2022-03-03 16:21:57,2022-03-01,EQIX,Lin Jonathan,"EVP, GM, Data Center Services",M - OptEx,0.0,869,4707,+23%,0.0,,,,,EQIX
26,D,2022-03-03 16:21:57,2022-03-02,EQIX,Lin Jonathan,"EVP, GM, Data Center Services",S - Sale+OE,704.34,-251,4707,-5%,-176790.0,,,,,EQIX
27,D,2022-03-03 16:19:56,2022-03-01,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",M - OptEx,0.0,132,21640,+1%,0.0,,,,,EQIX
28,D,2022-03-03 16:19:56,2022-03-02,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale+OE,705.98,-67,21640,0%,-47300.0,,,,,EQIX
29,D,2022-03-03 16:18:31,2022-03-01,EQIX,Campbell Michael Earl,Chief Sales Officer,M - OptEx,0.0,132,12044,+1%,0.0,,,,,EQIX
30,D,2022-03-03 16:18:31,2022-03-02,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale+OE,705.1,-67,12044,-1%,-47242.0,,,,,EQIX
31,,2022-02-28 17:58:24,2022-02-25,EQIX,Van Camp Peter,Exec COB,S - Sale,699.2,-165,8131,-2%,-115369.0,,,,,EQIX
32,,2022-02-28 17:57:21,2022-02-25,EQIX,Taylor Keith D,CFO,S - Sale,701.42,-1158,22042,-5%,-812241.0,,,,,EQIX
33,,2022-02-28 17:55:27,2022-02-25,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale,701.47,-936,17171,-5%,-656578.0,,,,,EQIX
34,,2022-02-28 17:53:30,2022-02-25,EQIX,Meyers Charles J,"CEO, Pres",S - Sale,701.51,-2879,20766,-12%,-2019659.0,,,,,EQIX
35,,2022-02-28 17:51:31,2022-02-25,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",S - Sale,701.49,-878,21575,-4%,-615906.0,,,,,EQIX
36,,2022-02-28 17:49:33,2022-02-25,EQIX,Campbell Michael Earl,Chief Sales Officer,S - Sale,700.49,-738,11979,-6%,-516958.0,,,,,EQIX
37,D,2022-02-25 16:40:16,2022-02-24,EQIX,Van Camp Peter,Exec COB,M - OptEx,0.0,320,8296,+4%,0.0,,,,,EQIX
38,D,2022-02-25 16:39:00,2022-02-24,EQIX,Taylor Keith D,CFO,M - OptEx,0.0,2263,23200,+11%,0.0,,,,,EQIX
39,D,2022-02-25 16:35:04,2022-02-24,EQIX,Meyers Charles J,"CEO, Pres",M - OptEx,0.0,6399,23645,+37%,0.0,,,,,EQIX
40,D,2022-02-25 16:31:36,2022-02-24,EQIX,Morandi Brandi Galvin,"Chief Legal, HR Officer",M - OptEx,0.0,1715,22453,+8%,0.0,,,,,EQIX
41,M,2022-02-22 20:31:03,2022-02-17,EQIX,Meyers Charles J,"CEO, Pres",S - Sale,689.16,-5996,17246,-26%,-4132193.0,,,,,EQIX
42,,2022-02-17 16:58:19,2022-02-16,EQIX,Paisley Christopher B,Dir,S - Sale,677.64,-50,18458,0%,-33882.0,,,,,EQIX
43,D,2022-02-17 16:41:39,2022-02-15,EQIX,Taylor Keith D,CFO,M - OptEx,0.0,2455,20937,+13%,0.0,,,,,EQIX
44,D,2022-02-17 16:41:39,2022-02-16,EQIX,Taylor Keith D,CFO,S - Sale+OE,668.82,-1228,20937,-6%,-821306.0,,,,,EQIX
45,D,2022-02-17 16:37:36,2022-02-15,EQIX,Van Camp Peter,Exec COB,M - OptEx,0.0,672,7976,+9%,0.0,,,,,EQIX
46,D,2022-02-17 16:37:36,2022-02-16,EQIX,Van Camp Peter,Exec COB,S - Sale+OE,669.82,-335,7976,-4%,-224390.0,,,,,EQIX
47,D,2022-02-17 16:36:30,2022-02-15,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",M - OptEx,0.0,1952,15954,+14%,0.0,,,,,EQIX
48,D,2022-02-17 16:36:30,2022-02-16,EQIX,Strohmeyer Karl,"Chief Customer, Rev Officer",S - Sale+OE,669.17,-823,15954,-5%,-550728.0,,,,,EQIX
49,D,2022-02-17 16:35:03,2022-02-15,EQIX,Meyers Charles J,"CEO, Pres",M - OptEx,0.0,6230,23242,+37%,0.0,,,,,EQIX
