,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-18 17:05:26,2022-03-16,EXLS,Ayyappan Ajay,"SVP, GC, Corp. Sec'y.",P - Purchase,136.04,1263,5365,+31%,171819.0,,,,,EXLS
1,,2022-03-18 17:04:53,2022-03-16,EXLS,Mahon Anita,"EVP, Chief Growth Officer",P - Purchase,138.05,1150,4061,+40%,158758.0,,,,,EXLS
2,M,2022-03-15 17:01:40,2022-03-11,EXLS,Kini Narasimha,"EVP, Emerging Bus Unit Leader",P - Purchase,124.75,1000,23907,+4%,124750.0,,,,,EXLS
3,,2022-03-15 17:01:11,2022-03-14,EXLS,Nicolelli Maurizio,"EVP, CFO",P - Purchase,124.5,1200,7527,+19%,149400.0,,,,,EXLS
4,,2021-12-16 17:20:07,2021-12-14,EXLS,Ayyappan Ajay,"SVP, GC, Corp. Sec'y.",S - Sale,132.76,-251,1360,-16%,-33323.0,,,,,EXLS
5,,2021-11-09 19:59:05,2021-11-05,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,134.75,-5048,587883,-1%,-680218.0,,,,,EXLS
6,,2021-11-08 17:27:44,2021-11-04,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,133.62,-40017,592931,-6%,-5347096.0,,,,,EXLS
7,,2021-11-05 18:07:06,2021-11-03,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,131.75,-14935,632948,-2%,-1967686.0,,,,,EXLS
8,,2021-11-04 19:34:10,2021-11-02,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,127.75,-25231,647883,-4%,-3223260.0,,,,,EXLS
9,,2021-10-19 18:06:58,2021-10-15,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,126.32,-14769,673114,-2%,-1865598.0,,,,,EXLS
10,,2021-10-18 17:50:22,2021-10-14,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,124.75,-20000,687883,-3%,-2495000.0,,,,,EXLS
11,,2021-10-05 17:39:24,2021-10-01,EXLS,Bhalla Vikas,"EVP, Head of Outsourcing",S - Sale,123.11,-2661,7486,-26%,-327596.0,,,,,EXLS
12,,2021-07-19 17:23:16,2021-07-15,EXLS,Staglin Garen K,Dir,P - Purchase,108.79,2500,33253,+8%,271975.0,,,,,EXLS
13,,2021-07-12 17:35:05,2021-07-08,EXLS,Staglin Garen K,Dir,P - Purchase,107.04,2500,31253,+9%,267600.0,,,,,EXLS
14,,2021-07-06 18:24:02,2021-07-01,EXLS,Staglin Garen K,Dir,P - Purchase,107.12,2500,28753,+10%,267800.0,,,,,EXLS
15,,2021-06-28 17:13:20,2021-06-24,EXLS,Staglin Garen K,Dir,P - Purchase,106.83,2500,26253,+11%,267075.0,,,,,EXLS
16,,2021-06-14 17:00:49,2021-06-10,EXLS,Studenmund Jaynie M,Dir,P - Purchase,103.38,1425,3645,+64%,147317.0,,,,,EXLS
17,,2021-05-24 17:21:50,2021-05-20,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,99.03,-21000,708088,-3%,-2079630.0,,,,,EXLS
18,D,2021-05-10 17:46:48,2021-05-06,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,97.5,-1000,41573,-2%,-97500.0,,,,,EXLS
19,D,2021-04-27 21:43:20,2021-04-23,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,96.5,-900,41573,-2%,-86850.0,,,,,EXLS
20,D,2021-04-20 20:54:33,2021-04-16,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,95.59,-1100,41573,-3%,-105150.0,,,,,EXLS
21,D,2021-04-16 17:02:55,2021-04-14,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,94.5,-1000,41573,-2%,-94500.0,,,,,EXLS
22,,2021-04-14 17:03:53,2021-04-12,EXLS,Bhalla Vikas,"EVP, Head of Outsourcing",S - Sale,92.33,-3483,10147,-26%,-321592.0,,,,,EXLS
23,,2021-04-14 17:01:39,2021-04-12,EXLS,Bagai Pavan,"Pres, COO",S - Sale,92.32,-19275,36663,-34%,-1779406.0,,,,,EXLS
24,,2021-04-13 17:16:57,2021-04-09,EXLS,Mittal Som,Dir,S - Sale,92.31,-5657,0,-100%,-522212.0,,,,,EXLS
25,,2021-03-29 17:00:40,2021-03-25,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,90.21,-46841,729618,-6%,-4225500.0,,,,,EXLS
26,,2021-03-16 17:00:30,2021-03-12,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,89.98,-2304,776459,0%,-207314.0,,,,,EXLS
27,,2021-03-15 17:01:29,2021-03-11,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,89.96,-21554,778763,-3%,-1939080.0,,,,,EXLS
28,,2021-03-12 17:02:27,2021-03-10,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,89.96,-1305,800317,0%,-117398.0,,,,,EXLS
29,,2021-03-10 17:00:25,2021-03-08,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,89.95,-2996,801622,0%,-269490.0,,,,,EXLS
30,D,2021-03-09 17:00:23,2021-03-05,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,88.57,-2500,41573,-6%,-221425.0,,,,,EXLS
31,D,2021-02-25 17:48:51,2021-02-23,EXLS,Ayyappan Ajay,"SVP, GC, corp sect'y",S - Sale+OE,79.33,-308,1320,-19%,-24434.0,,,,,EXLS
32,D,2021-02-25 17:47:56,2021-02-23,EXLS,Miglani Nalin Kumar,"EVP, CHRO",S - Sale+OE,79.33,-972,4426,-18%,-77109.0,,,,,EXLS
33,D,2021-02-24 17:38:25,2021-02-22,EXLS,Miglani Nalin Kumar,"EVP, CHRO",S - Sale+OE,79.58,-540,4305,-11%,-42973.0,,,,,EXLS
34,D,2021-02-24 17:36:01,2021-02-22,EXLS,Ayyappan Ajay,"SVP, GC, corp sect'y",S - Sale+OE,79.58,-195,1209,-14%,-15518.0,,,,,EXLS
35,,2021-02-04 17:00:33,2021-02-02,EXLS,Miglani Nalin Kumar,"EVP, CHRO",S - Sale,79.11,-1825,1824,-50%,-144376.0,,,,,EXLS
36,,2021-01-06 17:01:58,2021-01-04,EXLS,Ayyappan Ajay,"SVP, GC, Corp. Sec'y.",S - Sale,85.38,-162,400,-29%,-13832.0,,,,,EXLS
37,,2020-12-21 17:08:26,2020-12-17,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,85.49,-42700,747776,-5%,-3650605.0,,,,,EXLS
38,,2020-12-18 17:00:29,2020-12-16,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,84.96,-12177,790476,-2%,-1034558.0,,,,,EXLS
39,,2020-12-17 17:02:54,2020-12-15,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,84.96,-14537,802653,-2%,-1235125.0,,,,,EXLS
40,,2020-12-16 17:00:25,2020-12-14,EXLS,Meckey Samuel,EVP,S - Sale,83.83,-1476,2350,-39%,-123733.0,,,,,EXLS
41,D,2020-12-14 17:00:52,2020-12-10,EXLS,Kelso David B,Dir,S - Sale+OE,83.71,-5138,5507,-48%,-430102.0,,,,,EXLS
42,,2020-12-11 17:00:47,2020-12-09,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,84.96,-2500,817190,0%,-212412.0,,,,,EXLS
43,,2020-12-08 18:10:55,2020-12-04,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,84.95,-1867,819810,0%,-158602.0,,,,,EXLS
44,D,2020-12-08 18:10:01,2020-12-04,EXLS,Ostler Clyde W,Dir,S - Sale+OE,83.97,-2281,20913,-10%,-191536.0,,,,,EXLS
45,D,2020-12-07 17:00:37,2020-12-03,EXLS,Ostler Clyde W,Dir,S - Sale+OE,84.09,-2278,19562,-10%,-191557.0,,,,,EXLS
46,D,2020-12-03 17:01:49,2020-12-01,EXLS,Staglin Garen K,Dir,S - Sale+OE,84.09,-4758,22405,-18%,-400103.0,,,,,EXLS
47,,2020-12-03 17:00:41,2020-12-01,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,84.96,-814,821677,0%,-69155.0,,,,,EXLS
48,,2020-11-12 17:00:18,2020-11-09,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,84.95,-405,822491,0%,-34405.0,,,,,EXLS
49,D,2020-11-06 17:00:37,2020-11-04,EXLS,Staglin Garen K,Dir,S - Sale+OE,79.73,-2500,22405,-10%,-199320.0,,,,,EXLS
50,,2020-11-05 17:00:12,2020-11-03,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,77.86,-66840,822896,-8%,-5203848.0,,,,,EXLS
51,,2020-11-04 17:01:14,2020-11-02,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,76.95,-8160,889736,-1%,-627949.0,,,,,EXLS
52,,2020-10-13 17:00:30,2020-10-09,EXLS,Bhalla Vikas,"EVP, Head of Outsourcing.",S - Sale,69.9,-2000,6146,-25%,-139800.0,,,,,EXLS
53,,2020-09-04 17:00:13,2020-09-03,EXLS,Nicolelli Maurizio,"EVP, CFO",P - Purchase,63.69,1500,1500,New,95535.0,,,,,EXLS
54,D,2020-08-13 17:00:52,2020-08-11,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,68.5,-1316,38220,-3%,-90146.0,,,,,EXLS
55,D,2020-08-10 17:00:54,2020-08-06,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,67.2,-3004,38220,-7%,-201874.0,,,,,EXLS
56,,2020-02-27 17:00:57,2020-02-25,EXLS,Ayyappan Ajay,"SVP, GC, Corp. Sec'y.",S - Sale,75.45,-1204,239,-83%,-90842.0,,,,,EXLS
57,D,2020-02-25 20:40:54,2020-02-21,EXLS,Miglani Nalin Kumar,"EVP, CHRO",S - Sale+OE,78.2,-953,2094,-31%,-74525.0,,,,,EXLS
58,,2020-01-30 17:16:38,2020-01-28,EXLS,Miglani Nalin Kumar,"EVP, CHRO",S - Sale,74.13,-5006,0,-100%,-371094.0,,,,,EXLS
59,D,2020-01-24 17:00:33,2020-01-22,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,72.91,-19672,829890,-2%,-1434286.0,,,,,EXLS
60,D,2020-01-23 17:04:03,2020-01-21,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,72.51,-4289,840721,-1%,-310995.0,,,,,EXLS
61,D,2020-01-22 17:00:45,2020-01-17,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,72.68,-14469,843017,-2%,-1051607.0,,,,,EXLS
62,D,2020-01-21 17:00:28,2020-01-16,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,72.52,-9070,850270,-1%,-657756.0,,,,,EXLS
63,D,2020-01-15 17:01:46,2020-01-13,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.9,-16456,854890,-2%,-1166730.0,,,,,EXLS
64,D,2020-01-15 17:01:27,2020-01-13,EXLS,Jetley Vivek,"EVP, Head of Analytics",S - Sale+OE,71.8,-2000,33633,-6%,-143600.0,,,,,EXLS
65,,2020-01-15 17:00:53,2020-01-13,EXLS,Bagai Pavan,"Pres, COO",S - Sale,71.02,-3790,29966,-11%,-269166.0,,,,,EXLS
66,,2020-01-14 17:02:29,2020-01-10,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,70.9,-189,864587,0%,-13400.0,,,,,EXLS
67,D,2020-01-07 17:00:31,2020-01-03,EXLS,Staglin Garen K,Dir,S - Sale+OE,70.1,-821,20703,-4%,-57556.0,,,,,EXLS
68,D,2020-01-06 17:01:05,2020-01-02,EXLS,Staglin Garen K,Dir,S - Sale+OE,70.01,-7752,20703,-27%,-542718.0,,,,,EXLS
69,D,2019-12-27 17:00:57,2019-12-23,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.9,-1850,864776,0%,-131165.0,,,,,EXLS
70,,2019-12-26 17:01:05,2019-12-20,EXLS,Bagai Pavan,"Pres, COO",S - Sale,71.02,-1360,33756,-4%,-96587.0,,,,,EXLS
71,D,2019-12-26 17:00:46,2019-12-20,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.9,-15307,865875,-2%,-1085324.0,,,,,EXLS
72,D,2019-12-23 17:00:33,2019-12-19,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.9,-1376,871674,0%,-97558.0,,,,,EXLS
73,D,2019-12-19 17:00:32,2019-12-17,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.91,-8339,872250,-1%,-591318.0,,,,,EXLS
74,,2019-12-18 17:01:02,2019-12-16,EXLS,Ayyappan Ajay,"SVP, GC, Corp. Sec'y.",S - Sale,70.89,-581,0,-100%,-41187.0,,,,,EXLS
75,D,2019-12-18 17:00:29,2019-12-16,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.9,-383,876507,0%,-27155.0,,,,,EXLS
76,D,2019-12-09 17:00:29,2019-12-05,EXLS,Ostler Clyde W,Dir,S - Sale+OE,69.42,-2707,17983,-13%,-187920.0,,,,,EXLS
77,D,2019-12-06 17:00:44,2019-12-04,EXLS,Ostler Clyde W,Dir,S - Sale+OE,69.03,-2712,16408,-14%,-187209.0,,,,,EXLS
78,D,2019-12-02 17:00:10,2019-11-27,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale+OE,70.9,-6100,876790,-1%,-432490.0,,,,,EXLS
79,,2019-11-29 17:00:18,2019-11-26,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.9,-189,879890,0%,-13211.0,,,,,EXLS
80,,2019-11-27 17:01:09,2019-11-25,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.9,-10909,880439,-1%,-762539.0,,,,,EXLS
81,,2019-11-22 17:04:42,2019-11-20,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.91,-5605,891348,-1%,-391819.0,,,,,EXLS
82,,2019-11-21 17:00:14,2019-11-19,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.91,-7005,896953,-1%,-489720.0,,,,,EXLS
83,,2019-11-07 17:00:39,2019-11-05,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.9,-2634,906458,0%,-184117.0,,,,,EXLS
84,,2019-11-06 17:00:22,2019-11-04,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.9,-1,909092,0%,-70.0,,,,,EXLS
85,,2019-11-05 17:00:14,2019-11-01,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.9,-142,909093,0%,-9926.0,,,,,EXLS
86,,2019-11-04 17:00:55,2019-10-31,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.95,-6859,909235,-1%,-479787.0,,,,,EXLS
87,,2019-11-01 17:01:05,2019-10-30,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.98,-19156,916094,-2%,-1340537.0,,,,,EXLS
88,,2019-11-01 17:00:43,2019-10-30,EXLS,Bagai Pavan,"Pres, COO",S - Sale,70.02,-5150,35116,-13%,-360603.0,,,,,EXLS
89,,2019-10-31 17:03:20,2019-10-29,EXLS,Bagai Pavan,"Pres, COO",S - Sale,68.52,-10346,40266,-20%,-708885.0,,,,,EXLS
90,,2019-10-31 17:02:51,2019-10-29,EXLS,Kapoor Rohit,"CEO, Vice COB",S - Sale,69.06,-50000,935250,-5%,-3453005.0,,,,,EXLS
91,,2019-06-26 17:01:01,2019-06-24,EXLS,Bhalla Vikas,"EVP, Head of Outsourcing.",S - Sale,66.35,-10000,920,-92%,-663500.0,,,,,EXLS
92,,2019-06-20 17:00:46,2019-06-18,EXLS,Ayyappan Ajay,"SVP, GC, Corp. Sec'y.",S - Sale,63.5,-1892,0,-100%,-120142.0,,,,,EXLS
