,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2018-08-03 16:21:23,2018-04-20,FFKT,Crawford Michael J.,Dir,P - Purchase,48.94,10000,41258,+32%,489400.0,,,,,FFKT
1,,2018-07-24 14:37:31,2018-07-23,FFKT,Worth Judy,Dir,A - Grant,0.0,29,2198,+1%,0.0,,,,,FFKT
2,,2018-07-24 14:36:06,2018-07-23,FFKT,Sutterlin Charles Frederick,Dir,A - Grant,0.0,29,2656,+1%,0.0,,,,,FFKT
3,,2018-07-24 14:34:35,2018-07-23,FFKT,Strong Marvin E Jr,Dir,A - Grant,0.0,29,4415,+1%,0.0,,,,,FFKT
4,,2018-07-24 14:32:54,2018-07-23,FFKT,Roach John C,Dir,A - Grant,0.0,29,3018,+1%,0.0,,,,,FFKT
5,,2018-07-24 14:31:19,2018-07-23,FFKT,Phelps David Young,Dir,A - Grant,0.0,29,8924,0%,0.0,,,,,FFKT
6,,2018-07-24 14:29:57,2018-07-23,FFKT,Parker Fred N,Dir,A - Grant,0.0,29,32629,0%,0.0,,,,,FFKT
7,,2018-07-24 14:27:11,2018-07-23,FFKT,O'Bryan David R.,Dir,A - Grant,0.0,29,3849,+1%,0.0,,,,,FFKT
8,,2018-07-24 14:25:39,2018-07-23,FFKT,Nash William C.,Dir,A - Grant,0.0,29,6586,0%,0.0,,,,,FFKT
9,,2018-07-24 14:24:02,2018-07-23,FFKT,Crawford Michael J.,Dir,A - Grant,0.0,29,31258,0%,0.0,,,,,FFKT
10,,2018-07-24 14:22:05,2018-07-23,FFKT,Bennett Raymond Terry,Dir,A - Grant,0.0,34,19051,0%,0.0,,,,,FFKT
11,,2018-07-24 14:20:47,2018-07-23,FFKT,Banker J Barry,Dir,A - Grant,0.0,29,11452,0%,0.0,,,,,FFKT
12,,2018-04-24 13:29:04,2018-04-23,FFKT,Worth Judy,Dir,A - Grant,0.0,33,2166,+2%,0.0,,,,,FFKT
13,,2018-04-24 13:27:57,2018-04-23,FFKT,Sutterlin Charles Frederick,Dir,A - Grant,0.0,33,2623,+1%,0.0,,,,,FFKT
14,,2018-04-24 13:26:46,2018-04-23,FFKT,Strong Marvin E Jr,Dir,A - Grant,0.0,33,4386,+1%,0.0,,,,,FFKT
15,,2018-04-24 13:25:01,2018-04-23,FFKT,Roach John C,Dir,A - Grant,0.0,33,2988,+1%,0.0,,,,,FFKT
16,,2018-04-24 13:23:54,2018-04-23,FFKT,Phelps David Young,Dir,A - Grant,0.0,33,8894,0%,0.0,,,,,FFKT
17,,2018-04-24 13:22:32,2018-04-23,FFKT,Parker Fred N,Dir,A - Grant,0.0,33,32599,0%,0.0,,,,,FFKT
18,,2018-04-24 13:21:08,2018-04-23,FFKT,O'Bryan David R.,Dir,A - Grant,0.0,33,3819,+1%,0.0,,,,,FFKT
19,,2018-04-24 13:19:55,2018-04-23,FFKT,Nash William C.,Dir,A - Grant,0.0,33,6556,+1%,0.0,,,,,FFKT
