,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-09 18:16:03,2022-03-07,FNWB,Zaccardo Jennifer,Dir,A - Grant,22.6,885,34763,+3%,20001.0,,,,,FNWB
1,,2022-03-09 18:10:20,2022-03-07,FNWB,Tonina Norman J. Jr.,Dir,A - Grant,22.6,885,33427,+3%,20001.0,,,,,FNWB
2,,2022-03-09 18:01:46,2022-03-07,FNWB,Oliver Stephen E.,Dir,A - Grant,22.6,885,26017,+4%,20001.0,,,,,FNWB
3,,2022-03-09 17:54:41,2022-03-07,FNWB,Galanda Gabriel Steven,Dir,A - Grant,22.6,885,3713,+31%,20001.0,,,,,FNWB
4,,2022-03-09 17:48:31,2022-03-07,FNWB,Finnie Cindy H.,Dir,A - Grant,22.6,885,32063,+3%,20001.0,,,,,FNWB
5,,2022-03-09 17:30:46,2022-03-07,FNWB,Curtis Craig Alan,Dir,A - Grant,22.6,885,25821,+4%,20001.0,,,,,FNWB
6,,2022-03-09 17:23:20,2022-03-07,FNWB,Behar Dana D.,Dir,A - Grant,22.6,885,26480,+3%,20001.0,,,,,FNWB
7,,2022-03-09 17:16:07,2022-03-07,FNWB,Anderson Sherilyn G,Dir,A - Grant,22.6,885,6941,+15%,20001.0,,,,,FNWB
8,,2022-03-09 17:08:16,2022-03-07,FNWB,Brown Derek J,"EVP, Chief HR, Marketing Offic",A - Grant,22.6,1668,31748,+6%,37697.0,,,,,FNWB
9,,2022-03-09 17:08:16,2022-03-07,FNWB,Brown Derek J,"EVP, Chief HR, Marketing Offic",F - Tax,22.35,-388,31748,-1%,-8672.0,,,,,FNWB
10,,2022-03-09 17:04:18,2022-03-07,FNWB,Bullard Geraldine L.,"EVP, CFO, Principal Acc't Offi",A - Grant,22.6,1974,23250,+9%,44612.0,,,,,FNWB
11,,2022-03-09 17:04:18,2022-03-07,FNWB,Bullard Geraldine L.,"EVP, CFO, Principal Acc't Offi",F - Tax,22.35,-760,23250,-3%,-16986.0,,,,,FNWB
12,,2022-03-09 17:02:13,2022-03-07,FNWB,Anderson Terry A,"EVP, CCO",A - Grant,22.6,2007,33594,+6%,45358.0,,,,,FNWB
13,,2022-03-09 17:02:13,2022-03-07,FNWB,Anderson Terry A,"EVP, CCO",F - Tax,22.35,-467,33594,-1%,-10437.0,,,,,FNWB
14,,2022-03-09 16:59:17,2022-03-07,FNWB,Riffle Christopher J,"EVP, COO, GC",A - Grant,22.6,2115,36871,+6%,47799.0,,,,,FNWB
