,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-16 17:41:29,2021-12-15,FTHM,Giuggio Samantha,Chief Broker Officer,P - Purchase,17.29,582,41988,+1%,10065.0,,,,,FTHM
1,D,2021-12-15 18:21:48,2021-12-15,FTHM,Bennett Christopher D.,Dir,P - Purchase,17.73,1100,1100,New,19503.0,,,,,FTHM
2,D,2021-12-15 18:04:54,2021-12-15,FTHM,Venable Jennifer B.,Dir,P - Purchase,17.13,581,581,New,9952.0,,,,,FTHM
3,D,2021-12-08 17:56:07,2021-12-07,FTHM,Sampson Glenn A.,Dir,S - Sale+OE,20.97,-4843,1544086,0%,-101558.0,,,,,FTHM
4,,2021-11-23 17:07:13,2021-11-22,FTHM,Harley Joshua,"CEO, 10%",S - Sale,24.13,-200000,5000067,-4%,-4825000.0,,,,,FTHM
5,,2021-11-23 16:30:35,2021-11-22,FTHM,Fregenal Marco,CFO,S - Sale,24.13,-150000,1265294,-11%,-3618750.0,,,,,FTHM
6,DM,2021-11-12 16:53:45,2021-11-09,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,26.77,-3667,1548929,0%,-98183.0,,,,,FTHM
7,M,2021-10-12 16:25:57,2021-10-08,FTHM,Harley Joshua,"CEO, 10%",S - Sale,23.32,-6398,5200067,0%,-149210.0,,,,,FTHM
8,M,2021-10-07 16:35:40,2021-10-05,FTHM,Harley Joshua,"CEO, 10%",S - Sale,25.22,-15137,5206465,0%,-381821.0,,,,,FTHM
9,D,2021-10-06 17:50:19,2021-10-05,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,25.65,-3887,1552596,0%,-99702.0,,,,,FTHM
10,M,2021-09-10 16:48:30,2021-09-08,FTHM,Fregenal Marco,CFO,S - Sale,28.62,-7660,1415294,-1%,-219213.0,,,,,FTHM
11,D,2021-09-08 16:32:43,2021-09-07,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,28.73,-3439,1556483,0%,-98802.0,,,,,FTHM
12,,2021-09-08 16:14:56,2021-09-07,FTHM,Harley Joshua,"CEO, 10%",S - Sale,28.63,-6581,5221602,0%,-188414.0,,,,,FTHM
13,M,2021-09-03 16:34:56,2021-09-01,FTHM,Harley Joshua,"CEO, 10%",S - Sale,29.24,-14413,5228183,0%,-421396.0,,,,,FTHM
14,M,2021-08-20 16:55:49,2021-08-18,FTHM,Fregenal Marco,CFO,S - Sale,26.5,-15180,1422954,-1%,-402232.0,,,,,FTHM
15,M,2021-08-18 18:32:43,2021-08-16,FTHM,Harley Joshua,"CEO, 10%",S - Sale,26.24,-5505,5242596,0%,-144443.0,,,,,FTHM
16,M,2021-08-13 17:47:15,2021-08-11,FTHM,Harley Joshua,"CEO, 10%",S - Sale,33.12,-26351,5248101,0%,-872726.0,,,,,FTHM
17,D,2021-08-04 16:08:03,2021-08-03,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,26.03,-3801,1559922,0%,-98940.0,,,,,FTHM
18,M,2021-07-21 17:31:54,2021-07-19,FTHM,Harley Joshua,"CEO, 10%",S - Sale,27.1,-11400,4911420,0%,-308897.0,,,,,FTHM
19,M,2021-07-16 16:42:57,2021-07-14,FTHM,Harley Joshua,"CEO, 10%",S - Sale,26.97,-8857,4922820,0%,-238853.0,,,,,FTHM
20,M,2021-07-09 16:45:03,2021-07-07,FTHM,Fregenal Marco,CFO,S - Sale,31.97,-12542,1438134,-1%,-400944.0,,,,,FTHM
21,D,2021-06-30 16:00:55,2021-06-29,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,33.89,-2877,2289787,0%,-97494.0,,,,,FTHM
22,D,2021-06-16 16:49:13,2021-06-15,FTHM,Hood David C.,Dir,S - Sale+OE,33.72,-4043,4443,-48%,-136330.0,,,,,FTHM
23,DM,2021-06-10 17:50:57,2021-06-08,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,32.28,-7725,2292664,0%,-249328.0,,,,,FTHM
24,M,2021-06-10 17:25:13,2021-06-08,FTHM,Harley Joshua,"CEO, 10%",S - Sale,32.27,-18880,4931677,0%,-609303.0,,,,,FTHM
25,M,2021-06-04 16:11:10,2021-06-02,FTHM,Fregenal Marco,CFO,S - Sale,32.73,-12172,1450676,-1%,-398336.0,,,,,FTHM
26,D,2021-05-28 16:01:32,2021-05-26,FTHM,Coats Jeffrey H,Dir,S - Sale+OE,30.83,-8486,0,-100%,-261623.0,,,,,FTHM
27,M,2021-05-27 17:04:00,2021-05-25,FTHM,Fregenal Marco,CFO,S - Sale,31.01,-13190,1462848,-1%,-409076.0,,,,,FTHM
28,M,2021-05-27 16:36:30,2021-05-25,FTHM,Harley Joshua,"CEO, 10%",S - Sale,31.01,-19151,4950557,0%,-593859.0,,,,,FTHM
29,DM,2021-05-21 17:25:28,2021-05-19,FTHM,Sampson Glenn A.,"Dir, 10%",S - Sale+OE,32.07,-51141,2300389,-2%,-1640126.0,,,,,FTHM
