,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-06-16 13:17:04,2021-06-15,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.25,-529772,6521802,-8%,-4368742.0,,,,,GTX
1,,2021-06-15 12:50:37,2021-06-14,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.38,-141378,7051574,-2%,-1185132.0,,,,,GTX
2,,2021-06-14 11:16:10,2021-06-11,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.4,-41508,7192952,-1%,-348767.0,,,,,GTX
3,M,2021-06-11 11:33:50,2021-06-09,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,7.78,-78916,2619556,-3%,-614151.0,,,,,GTX
4,,2021-06-09 10:23:12,2021-06-08,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.37,-64902,7313376,-1%,-543089.0,,,,,GTX
5,,2021-06-08 12:36:32,2021-06-07,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.08,-101400,7378278,-1%,-819206.0,,,,,GTX
6,,2021-06-07 11:30:07,2021-06-04,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.53,-94761,7479678,-1%,-808760.0,,,,,GTX
7,M,2021-06-04 13:04:56,2021-06-02,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.55,-99392,7574439,-1%,-849889.0,,,,,GTX
8,,2021-06-02 12:25:38,2021-06-01,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.45,-55443,2892527,-2%,-468471.0,,,,,GTX
9,,2021-06-01 11:52:50,2021-05-28,GTXMQ,"Attestor Value Master Fund, LP",10%,S - Sale,8.56,-257700,7729274,-3%,-2206545.0,,,,,GTX
10,,2021-05-20 18:25:18,2021-05-19,GTX,Ninivaggi Daniel A,Dir,P - Purchase,6.22,20000,20000,New,124400.0,,,,,GTX
11,,2021-05-19 16:57:43,2021-05-17,GTX,Spenninck Fabrice,"SVP, Chief Human Res. Officer",P - Purchase,6.25,5000,10000,+100%,31250.0,,,,,GTX
12,,2021-05-19 16:54:15,2021-05-17,GTX,Maironi Jerome,"SVP, GC, Corp. Secretary",P - Purchase,6.35,4000,4000,New,25400.0,,,,,GTX
13,,2021-05-19 16:52:05,2021-05-18,GTX,Rabiller Olivier,"Pres, CEO",P - Purchase,6.6,25000,146800,+21%,165000.0,,,,,GTX
14,M,2021-05-18 17:08:31,2021-05-14,GTX,Rabiller Olivier,"Pres, CEO",P - Purchase,5.87,1800,121800,+2%,10569.0,,,,,GTX
15,,2021-05-18 17:06:17,2021-05-12,GTX,Spenninck Fabrice,"SVP, Chief Human Res. Officer",P - Purchase,5.95,5000,5000,New,29750.0,,,,,GTX
16,M,2021-05-14 16:59:18,2021-05-12,GTX,Rabiller Olivier,"Pres, CEO",P - Purchase,5.85,40000,120000,+50%,233800.0,,,,,GTX
17,M,2021-05-12 17:04:06,2021-05-10,GTX,Rabiller Olivier,"Pres, CEO",P - Purchase,5.91,40000,80000,+100%,236386.0,,,,,GTX
18,,2021-05-11 16:41:20,2021-05-07,GTX,Rabiller Olivier,"Pres, CEO",P - Purchase,5.87,10000,40000,+33%,58700.0,,,,,GTX
19,M,2021-05-07 16:50:29,2021-05-05,GTX,Rabiller Olivier,"Pres, CEO",P - Purchase,5.93,30000,30000,New,177963.0,,,,,GTX
20,M,2021-01-11 21:10:11,2021-01-04,GTX,"Newtyn Management, LLC",Member of 10% owner group,P - Purchase,4.58,207207,1802095,+13%,949431.0,,,,,GTX
21,,2021-01-11 21:10:11,2021-01-04,GTX,"Newtyn Management, LLC",Member of 10% owner group,S - Sale,4.4,-60112,1802095,-3%,-264433.0,,,,,GTX
22,,2020-12-22 10:04:37,2020-12-21,GTX,Fin Capital Partners LP,Member of 10% owner group,P - Purchase,4.6,40266,445000,+10%,185224.0,,,,,GTX
23,M,2020-12-21 21:20:07,2020-12-17,GTX.G,Honeywell International Inc,May be a member of 10% group,P - Purchase,4.2,19000,2896116,+1%,79800.0,,,,,GTX
24,,2020-12-21 09:32:34,2020-12-18,GTX,Fin Capital Partners LP,Member of 10% owner group,P - Purchase,4.68,24734,404734,+7%,115755.0,,,,,GTX
25,M,2020-11-25 12:21:34,2020-11-19,GTX.G,"Attestor Value Master Fund, LP",Member of 10% owner group,P - Purchase,4.37,486000,3147970,+18%,2122800.0,,,,,GTX
26,,2020-11-17 21:40:37,2020-11-13,GTX.G,Honeywell International Inc,May be a member of 10% group,P - Purchase,4.18,17100,2877116,+1%,71478.0,,,,,GTX
27,M,2020-11-12 21:41:46,2020-11-09,GTX.G,Honeywell International Inc,May be a member of 10% group,P - Purchase,4.18,290800,2860016,+11%,1216755.0,,,,,GTX
28,M,2020-11-06 21:40:16,2020-11-04,GTX.G,Honeywell International Inc,May be a member of 10% group,P - Purchase,4.04,153667,2569216,+6%,621331.0,,,,,GTX
29,M,2020-11-02 21:52:09,2020-10-29,GTX,Honeywell International Inc,May be a member of 10% group,P - Purchase,3.76,1948349,2415549,+417%,7331957.0,,,,,GTX
30,,2020-11-02 15:55:32,2020-10-30,GTX,Fin Capital Partners LP,Member of 10% owner group,P - Purchase,3.77,10000,380000,+3%,37700.0,,,,,GTX
31,M,2020-10-28 21:43:59,2020-10-26,GTX,Honeywell International Inc,May be a member of 10% group,P - Purchase,3.58,414600,467200,+788%,1485994.0,,,,,GTX
32,M,2020-10-23 18:27:00,2020-10-21,GTX,Hawk Ridge Capital Management LP,Member of 10% owner group,P - Purchase,2.8,224800,2336564,+11%,629440.0,,,,,GTX
33,,2020-10-06 20:44:42,2020-09-25,GTX,"Cyrus Capital Partners, L.P.",10%,P - Purchase,1.56,514550,10220254,+5%,801566.0,,,,,GTX
34,,2020-03-05 20:56:07,2020-03-03,GTX,Rabiller Olivier,"Pres, CEO",S - Sale,6.56,-44000,704569,-6%,-288640.0,,,,,GTX
35,,2020-03-05 20:55:52,2020-03-03,GTX,Mabru Thierry,"SVP, Integrated Supply Chain",S - Sale,6.56,-10000,199280,-5%,-65600.0,,,,,GTX
36,,2020-03-05 20:51:51,2020-03-03,GTX,Spenninck Fabrice,"SVP, Chief Human Res. Officer",S - Sale,6.56,-4831,129503,-4%,-31691.0,,,,,GTX
37,,2019-12-05 16:11:47,2019-12-03,GTX,Mabru Thierry,"SVP, Integrated Supply Chain",S - Sale,11.59,-42297,172836,-20%,-490222.0,,,,,GTX
38,,2019-12-05 16:10:37,2019-12-03,GTX,Spenninck Fabrice,"SVP, Chief Human Res. Officer",S - Sale,11.92,-6012,114014,-5%,-71663.0,,,,,GTX
