,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-02-18 16:06:55,2021-02-16,HEPA,Wijngaard Peter,Dir,P - Purchase,2.2,10000,30000,+50%,22000.0,,,,,HEPA
1,,2021-02-18 16:05:53,2021-02-18,HEPA,Foster Robert T,"CEO, Dir",P - Purchase,2.0,20000,45259,+79%,40000.0,,,,,HEPA
2,,2021-02-18 16:05:28,2021-02-18,HEPA,Cavan John T,CFO,P - Purchase,2.0,10000,14800,+208%,20000.0,,,,,HEPA
3,,2020-12-21 09:17:57,2020-12-18,HEPA,Wijngaard Peter,Dir,P - Purchase,1.91,20000,20000,New,38200.0,,,,,HEPA
4,,2020-12-08 13:56:11,2020-12-08,HEPA,Foster Robert T,"CEO, Dir",P - Purchase,1.58,25000,25259,>999%,39418.0,,,,,HEPA
5,,2020-12-02 18:05:24,2020-12-02,HEPA,Brancaccio John P,Dir,P - Purchase,1.53,7000,7008,>999%,10710.0,,,,,HEPA
6,,2020-12-01 19:53:08,2020-12-01,HEPA,Jacob Gary S,Dir,P - Purchase,1.66,12000,12059,>999%,19920.0,,,,,HEPA
7,,2020-11-30 16:53:23,2020-11-25,HEPA,Cavan John T,CFO,P - Purchase,1.62,4500,4800,>999%,7290.0,,,,,HEPA
8,,2018-01-05 13:09:52,2018-01-03,CTRV,Cavan John T,CFO,A - Grant,0.0,101221,167947,+152%,0.0,,,,,HEPA
9,,2018-01-05 13:09:23,2018-01-03,CTRV,Sapirstein James,CEO,A - Grant,0.0,322092,492819,+189%,0.0,,,,,HEPA
10,,2018-01-05 13:08:53,2018-01-03,CTRV,Foster Robert T,Chief Scientific Officer,A - Grant,0.0,100654,144736,+228%,0.0,,,,,HEPA
11,,2017-07-07 17:01:27,2017-07-06,CTRV,Cavan John T,CFO,A - Grant,0.0,46726,66726,+234%,0.0,,,,,HEPA
12,,2017-07-07 17:01:12,2017-07-06,CTRV,Sapirstein James,CEO,A - Grant,0.0,141061,170727,+475%,0.0,,,,,HEPA
13,,2017-07-07 17:00:57,2017-07-06,CTRV,Sullivan-Bolyai John Z,Chief Medical Officer,A - Grant,0.0,58681,58681,New,0.0,,,,,HEPA
14,,2017-07-07 17:00:43,2017-07-06,CTRV,Foster Robert T,Chief Scientific Officer,A - Grant,0.0,44082,44082,New,0.0,,,,,HEPA
15,,2017-06-22 09:00:25,2017-06-20,CTRV,Cavan John T,CFO,P - Purchase,0.65,20000,20000,New,13000.0,,,,,HEPA
16,D,2016-10-31 17:39:58,2016-10-27,CTRV,Sapirstein James,CEO,M - OptEx,1.5,16666,29666,+128%,24999.0,2.0,-3.0,3.0,-62.0,HEPA
17,,2016-02-18 11:10:58,2016-02-18,CTRV,Sapirstein James,CEO,P - Purchase,1.0,10000,13000,+333%,10000.0,4.0,-2.0,14.0,7.0,HEPA
18,,2015-12-01 16:05:47,2015-11-30,CTRV,Sapirstein James,CEO,P - Purchase,2.15,500,3000,+20%,1075.0,-2.0,-10.0,-37.0,-68.0,HEPA
19,,2015-11-24 16:15:55,2015-11-23,CTRV,Sapirstein James,CEO,P - Purchase,1.64,2500,2500,New,4100.0,1.0,26.0,-17.0,-59.0,HEPA
20,,2014-03-07 07:29:46,2014-03-04,CTRV,Brancaccio John P,Dir,P - Purchase,1.49,4393,6408,+218%,6546.0,5.0,28.0,25.0,-32.0,HEPA
