,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-04-08 17:30:17,2022-04-06,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,72.0,61,683325,0%,4392.0,,,,,INDT
1,M,2022-03-29 17:30:13,2022-03-25,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,73.12,5200,9357,+125%,380228.0,,,,,INDT
2,M,2022-03-25 17:30:33,2022-03-23,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,71.99,11112,9321,-620%,799920.0,,,,,INDT
3,M,2022-03-16 17:30:14,2022-03-14,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,71.98,17324,9245,-214%,1246958.0,,,,,INDT
4,,2022-03-14 17:30:26,2022-03-10,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,72.0,227,9125,+3%,16344.0,,,,,INDT
5,M,2022-03-09 17:30:16,2022-03-07,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,71.58,8044,9123,+746%,575783.0,,,,,INDT
6,M,2022-03-02 17:31:13,2022-02-28,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.9,2732,9067,+43%,207369.0,,,,,INDT
7,M,2022-02-25 17:30:56,2022-02-23,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.83,20731,9048,-177%,1571946.0,,,,,INDT
8,M,2022-02-23 17:30:33,2022-02-18,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.96,7313,8906,+459%,555520.0,,,,,INDT
9,M,2022-02-15 17:30:17,2022-02-11,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.91,90492,8855,-111%,6869060.0,,,,,INDT
10,M,2022-02-09 17:30:19,2022-02-07,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.97,3207,8097,+66%,243640.0,,,,,INDT
11,,2022-02-01 16:30:30,2022-01-28,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.11,40654,589792,+7%,3053701.0,,,,,INDT
12,AM,2022-01-26 20:07:43,2022-01-13,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,79.91,10177,7106,-331%,813235.0,,,,,INDT
13,A,2022-01-26 20:02:14,2022-01-12,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,79.98,5814,513857,+1%,465022.0,,,,,INDT
14,,2022-01-26 17:54:48,2022-01-24,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,75.76,100000,569325,+21%,7575740.0,,,,,INDT
15,M,2022-01-18 17:24:13,2022-01-13,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,79.91,10177,7106,-331%,813235.0,,,,,INDT
16,,2022-01-14 21:21:15,2022-01-12,INDT,"Ccp Sbs Gp, LLC",10%,P - Purchase,79.98,5813,513857,+1%,464942.0,,,,,INDT
17,,2021-10-12 16:09:53,2021-10-08,INDT,Conversant Capital LLC,10%,P - Purchase,66.0,200000,1049088,+24%,13200000.0,,,,,INDT
18,D,2021-09-20 10:28:05,2021-09-16,INDT,Lescalleet Thomas M.,Exec. Vice President,S - Sale+OE,67.5,-1387,1387,-50%,-93623.0,,,,,INDT
