,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-02-23 20:06:32,2021-02-19,INPX,Loundermon Wendy,CFO,A - Grant,0.0,750000,750002,>999%,0.0,,,,,INPX
1,,2021-02-23 20:05:40,2021-02-19,INPX,Hoffman Tyler,Chief Revenue Officer,A - Grant,0.0,450000,450000,New,0.0,,,,,INPX
2,,2021-02-23 20:05:02,2021-02-19,INPX,Das Soumya,See Remarks,A - Grant,0.0,750000,750001,>999%,0.0,,,,,INPX
3,,2021-02-23 20:03:43,2021-02-19,INPX,Ali Nadir,CEO,A - Grant,0.0,1500000,1500004,>999%,0.0,,,,,INPX
4,,2017-07-07 17:50:02,2017-06-30,INPX,Oppenheim Leonard A,Dir,A - Grant,0.0,334,7486,+5%,0.0,,,,,INPX
5,,2017-07-07 17:49:09,2017-06-30,INPX,Khader Tanveer,Dir,A - Grant,0.0,334,148542,0%,0.0,,,,,INPX
6,,2017-07-07 17:48:20,2017-06-30,INPX,Irfan Kareem M,Dir,A - Grant,0.0,334,4007,+9%,0.0,,,,,INPX
7,,2017-05-26 14:50:42,2017-03-31,INPX,Oppenheim Leonard A,Dir,A - Grant,0.0,334,7152,+5%,0.0,,,,,INPX
8,,2017-05-26 14:43:35,2017-03-31,INPX,Khader Tanveer,Dir,A - Grant,0.0,334,148208,0%,0.0,,,,,INPX
9,,2017-05-26 14:41:12,2017-03-31,INPX,Irfan Kareem M,Dir,A - Grant,0.0,334,3673,+10%,0.0,,,,,INPX
10,D,2017-02-07 15:33:52,2017-02-03,SYRX,Oppenheim Leonard A,Dir,A - Grant,0.0,10000,102183,+11%,0.0,-2.0,-12.0,,,INPX
11,D,2017-02-07 15:31:11,2017-02-03,SYRX,Irfan Kareem M,Dir,A - Grant,0.0,10000,50000,+25%,0.0,-2.0,-12.0,,,INPX
12,D,2017-02-07 15:28:47,2017-02-03,SYRX,Khader Tanveer,Dir,A - Grant,0.0,10000,2218018,0%,0.0,-2.0,-12.0,,,INPX
13,,2016-08-22 08:56:22,2016-08-19,SYRX,Harris Kevin Roy,CFO,P - Purchase,0.43,10000,25000,+67%,4299.0,5.0,7.0,-12.0,-47.0,INPX
