,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,A,2017-04-12 15:00:48,2015-10-19,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,120.0,16000,1922517,+1%,1920000.0,0,-5,-6,,ISRL
1,AM,2017-04-12 15:00:48,2016-12-07,ISRL,"Naphtha Holding, Ltd",10%,S - Sale,121.72,-7804,1922517,0%,-949891.0,0,-5,-6,,ISRL
2,,2016-12-22 13:41:49,2016-12-20,ISRL,"Naphtha Holding, Ltd",10%,S - Sale,121.88,-5390,1906517,0%,-656941.0,0,2,6,,ISRL
3,M,2016-12-12 16:45:05,2016-12-08,ISRL,"Naphtha Holding, Ltd",10%,S - Sale,122.4,-803,1911907,0%,-98287.0,1,0,5,,ISRL
4,,2016-12-09 15:36:57,2016-12-07,ISRL,"Naphtha Holding, Ltd",10%,S - Sale,120.83,-1611,1912710,0%,-194663.0,-1,-2,5,,ISRL
5,A,2016-02-03 16:34:42,2015-10-13,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,102.0,76,1914321,0%,7752.0,0,-10,-6,-4.0,ISRL
6,,2015-10-21 16:40:01,2015-10-19,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,120.0,16000,1938549,+1%,1920000.0,-1,0,10,7.0,ISRL
7,,2015-10-15 14:14:26,2015-10-13,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,101.67,750,1922549,0%,76250.0,-2,0,2,4.0,ISRL
8,,2015-10-14 14:40:46,2015-10-12,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,102.0,424,1921799,0%,43248.0,2,-2,13,0.0,ISRL
9,,2015-10-08 16:44:44,2015-10-06,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,97.0,250,1921375,0%,24250.0,0,-13,0,-22.0,ISRL
10,M,2015-09-29 16:54:57,2015-09-25,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,105.32,1611,1921125,0%,169671.0,2,-2,-9,-12.0,ISRL
11,,2015-09-17 11:42:13,2015-09-15,ISRL,"Naphtha Holding, Ltd",10%,P - Purchase,120.0,55000,1919514,+3%,6600000.0,3,-13,-29,-34.0,ISRL
