,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 07:02:38,2022-03-10,JRVR,Sherman Ollie L. Jr.,Dir,P - Purchase,21.49,4800,13236,+57%,103152.0,,,,,JRVR
1,,2022-03-11 16:32:43,2022-03-11,JRVR,Roberts Patricia H,Dir,P - Purchase,22.18,1105,10887,+11%,24507.0,,,,,JRVR
2,,2022-03-10 16:38:54,2022-03-10,JRVR,Cowell Janet Raye,Dir,P - Purchase,21.76,915,10141,+10%,19910.0,,,,,JRVR
3,,2022-03-07 17:21:35,2022-03-04,JRVR,Doran Sarah C.,CFO,P - Purchase,20.16,4800,74568,+7%,96779.0,,,,,JRVR
4,,2022-03-07 06:43:45,2022-03-04,JRVR,Schmitzer Richard,"Pres, CEO - E, S Lines Sgmt",P - Purchase,20.31,12450,234480,+6%,252878.0,,,,,JRVR
5,,2022-03-07 06:33:32,2022-03-04,JRVR,Brown Thomas Lynn,Dir,P - Purchase,19.98,2000,7439,+37%,39959.0,,,,,JRVR
6,,2022-03-04 18:01:31,2022-03-02,JRVR,Schmitzer Richard,"Pres, CEO - E, S Lines Sgmt",A - Grant,0.0,31336,222030,+16%,0.0,,,,,JRVR
7,,2022-03-04 17:47:47,2022-03-04,JRVR,Romann Gould Kirstin,Dir,P - Purchase,20.4,4150,6589,+170%,84646.0,,,,,JRVR
8,,2022-03-04 17:16:25,2022-03-02,JRVR,McCafferty Terence M.,"Pres, CEO- Sp Adm Ins Sgmt",A - Grant,0.0,19512,43029,+83%,0.0,,,,,JRVR
9,,2022-03-04 17:11:03,2022-03-02,JRVR,Hoffmann Michael J.,SVP Chief Underwriting Officer,A - Grant,0.0,17560,17560,New,0.0,,,,,JRVR
10,,2022-03-04 17:06:20,2022-03-02,JRVR,Doran Sarah C.,CFO,A - Grant,0.0,28792,69768,+70%,0.0,,,,,JRVR
11,,2022-03-04 17:00:08,2022-03-02,JRVR,Crow Michael E,Principal Accounting Officer,A - Grant,0.0,15474,58790,+36%,0.0,,,,,JRVR
12,,2022-03-04 16:52:46,2022-03-02,JRVR,Masters Jerry R,Dir,A - Grant,0.0,2439,26592,+10%,0.0,,,,,JRVR
13,M,2022-03-04 16:38:35,2022-03-03,JRVR,Srinivasan Sundar,Dir,P - Purchase,20.32,12500,18270,+217%,254059.0,,,,,JRVR
14,,2022-03-04 16:31:35,2022-03-02,JRVR,Cowell Janet Raye,Dir,A - Grant,0.0,2439,9226,+36%,0.0,,,,,JRVR
15,,2022-03-04 16:17:42,2022-03-02,JRVR,Brown Thomas Lynn,Dir,A - Grant,0.0,2439,5439,+81%,0.0,,,,,JRVR
