,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-30 17:21:12,2022-03-28,KALU,Gerard Leo Wilfred,Dir,S - Sale,92.48,-663,2941,-18%,-61316.0,,,,,KALU
1,,2022-03-22 17:00:25,2022-03-18,KALU,Hockema Jack A,Dir,S - Sale,91.71,-750,34104,-2%,-68783.0,,,,,KALU
2,A,2022-03-08 17:34:48,2021-08-18,KALU,Hockema Jack A,Dir,S - Sale,122.26,-3000,36500,-8%,-366778.0,,,,,KALU
3,,2022-02-11 16:41:09,2022-02-10,KALU,West Neal E,"EVP, CFO",S - Sale,96.53,-400,20650,-2%,-38612.0,,,,,KALU
4,,2022-01-14 19:13:29,2022-01-14,KALU,Hockema Jack A,Dir,S - Sale,105.36,-1000,35702,-3%,-105363.0,,,,,KALU
5,,2022-01-12 16:35:09,2022-01-10,KALU,West Neal E,"EVP, CFO",S - Sale,100.25,-400,21050,-2%,-40100.0,,,,,KALU
6,,2021-12-14 16:50:51,2021-12-10,KALU,West Neal E,"EVP, CFO",S - Sale,92.94,-400,21450,-2%,-37176.0,,,,,KALU
7,,2021-11-19 16:36:35,2021-11-18,KALU,Hockema Jack A,Dir,S - Sale,102.11,-750,36702,-2%,-76580.0,,,,,KALU
8,,2021-11-12 16:45:56,2021-11-10,KALU,West Neal E,"EVP, CFO",S - Sale,106.02,-400,21850,-2%,-42408.0,,,,,KALU
9,,2021-11-10 16:47:01,2021-11-08,KALU,Harvey Keith,"Pres, CEO",S - Sale,110.0,-500,59886,-1%,-55000.0,,,,,KALU
10,,2021-11-05 17:28:20,2021-11-05,KALU,Harvey Keith,"Pres, CEO",S - Sale,105.0,-500,60386,-1%,-52500.0,,,,,KALU
11,,2021-10-13 19:22:43,2021-10-11,KALU,West Neal E,"EVP, CFO",S - Sale,111.44,-400,22250,-2%,-44576.0,,,,,KALU
12,,2021-10-01 16:52:47,2021-10-01,KALU,Harvey Keith,"Pres, CEO",S - Sale,109.74,-1000,60886,-2%,-109740.0,,,,,KALU
