,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-04-02 16:12:30,2020-03-31,KFFB,Hulette Teresa K,EVP --First Fed. of Kentucky,P - Purchase,6.04,3000,66053,+5%,18116.0,,,,,KFFB
1,,2020-04-02 16:12:25,2020-03-31,KFFB,Hulette R Clay,"VP, CFO, Treasurer",P - Purchase,6.04,3000,66053,+5%,18116.0,,,,,KFFB
2,,2019-11-22 15:35:02,2019-11-22,KFFB,Davenport C Michael,Dir,P - Purchase,7.71,1000,40606,+3%,7710.0,,,,,KFFB
3,,2019-09-23 12:46:23,2019-09-19,KFFB,Jennings Don D,"Pres, CEO",P - Purchase,7.74,6000,73225,+9%,46440.0,,,,,KFFB
4,,2019-09-10 15:43:32,2019-09-09,KFFB,Whitaker Tony D,Dir,P - Purchase,7.5,1550,117124,+1%,11626.0,,,,,KFFB
5,,2018-05-16 16:06:44,2018-05-14,KFFB,Farler Lou Ella,"Pres, CEO--First Federal",S - Sale,8.61,-2500,30994,-7%,-21525.0,,,,,KFFB
6,,2017-06-06 15:41:37,2017-06-02,KFFB,Jennings Don D,"Pres, COO",P - Purchase,9.62,8000,63925,+14%,76960.0,,,,,KFFB
7,,2016-04-01 15:56:08,2016-03-31,KFFB,Hulette R Clay,"VP, CFO",S - Sale,8.78,-1000,53612,-2%,-8780.0,0.0,2.0,6.0,-2.0,KFFB
8,,2014-09-05 15:30:32,2014-03-03,KFFB,Johnson William H,VP,S - Sale,8.37,-3500,42070,-8%,-29295.0,0.0,1.0,-1.0,0.0,KFFB
9,,2013-01-03 13:45:48,2012-12-31,KFFB,Johnson William H,VP,A - Grant,0.0,45067,45567,>999%,0.0,-3.0,-1.0,8.0,14.0,KFFB
10,,2011-12-05 15:08:07,2011-12-02,KFFB,Jennings Don D,"Pres, COO",P - Purchase,9.25,4500,55925,+9%,41625.0,-2.0,-1.0,-3.0,-8.0,KFFB
11,D,2010-05-10 14:37:22,2010-05-07,KFFB,Hulette R Clay,"VP, CFO",P - Purchase,9.07,1000,20688,+5%,9070.0,10.0,6.0,3.0,3.0,KFFB
12,D,2010-03-04 14:02:06,2010-03-02,KFFB,Hulette R Clay,"VP, CFO",S - Sale+OE,12.26,-3000,19688,-13%,-36780.0,1.0,0.0,-11.0,-15.0,KFFB
13,D,2010-01-11 12:27:54,2010-01-08,KFFB,Gorman William D,Dir,M - OptEx,10.1,5000,40000,+14%,50500.0,-6.0,-7.0,-13.0,-27.0,KFFB
