,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 16:15:53,2022-03-14,KOPN,Baker Paul Christopher,Strategic Business Officer,D - Sale to issuer,0.0,-37409,144883,-21%,-0.0,,,,,KOPN
1,,2022-03-15 16:15:52,2022-03-14,KOPN,Choi Hong K,CTO,D - Sale to issuer,0.0,-37409,120621,-24%,-0.0,,,,,KOPN
2,,2022-03-15 16:15:47,2022-03-14,KOPN,Sneider Richard,CFO,D - Sale to issuer,0.0,-34709,252675,-12%,-0.0,,,,,KOPN
3,,2022-03-15 16:15:47,2022-03-14,KOPN,Fan John C C,"CEO, Pres",D - Sale to issuer,0.0,-63503,5513406,-1%,-0.0,,,,,KOPN
4,,2022-03-15 16:15:37,2022-03-14,KOPN,Tsaur Bor Yeu,EVP,D - Sale to issuer,0.0,-7500,194711,-4%,-0.0,,,,,KOPN
5,,2021-12-17 17:29:54,2021-12-15,KOPN,Tsaur Bor Yeu,EVP,A - Grant,4.4,32300,202211,+19%,142120.0,,,,,KOPN
6,,2021-12-17 17:29:34,2021-12-15,KOPN,Sneider Richard,CFO,A - Grant,4.4,32300,290384,+13%,142120.0,,,,,KOPN
7,,2021-12-17 17:29:18,2021-12-15,KOPN,Choi Hong K,CTO,A - Grant,4.4,32300,158030,+26%,142120.0,,,,,KOPN
8,,2021-12-17 17:29:15,2021-12-15,KOPN,Fan John C C,"CEO, Pres",A - Grant,4.4,30600,5576909,+1%,134640.0,,,,,KOPN
9,,2021-12-17 17:28:38,2021-12-15,KOPN,Baker Paul Christopher,Strategic Business Officer,A - Grant,4.4,32300,182292,+22%,142120.0,,,,,KOPN
10,,2021-12-13 16:15:32,2021-12-10,KOPN,Baker Paul Christopher,Strategic Business Officer,F - Tax,4.54,-12508,149992,-8%,-56786.0,,,,,KOPN
11,,2021-12-13 16:15:28,2021-12-10,KOPN,Choi Hong K,CTO,F - Tax,4.54,-6148,125730,-5%,-27912.0,,,,,KOPN
12,,2021-12-13 16:15:16,2021-12-10,KOPN,Tsaur Bor Yeu,EVP,F - Tax,4.54,-9292,169911,-5%,-42186.0,,,,,KOPN
13,,2021-12-13 16:15:16,2021-12-10,KOPN,Sneider Richard,CFO,F - Tax,4.54,-9540,258084,-4%,-43312.0,,,,,KOPN
14,,2021-12-08 16:15:32,2021-12-07,KOPN,Collins Morton,Dir,S - Sale,5.05,-20000,164500,-11%,-101034.0,,,,,KOPN
15,,2021-11-05 16:15:48,2021-11-05,KOPN,Baker Paul Christopher,Strategic Business Officer,S - Sale,7.0,-19977,162500,-11%,-139839.0,,,,,KOPN
16,,2021-08-25 16:15:46,2021-08-24,KOPN,Fan John C C,"CEO, Pres",P - Purchase,5.45,50000,5546309,+1%,272500.0,,,,,KOPN
17,,2021-08-11 16:16:36,2021-08-09,KOPN,Baker Paul Christopher,Strategic Business Officer,S - Sale,5.93,-7500,182477,-4%,-44475.0,,,,,KOPN
18,,2021-06-16 16:17:46,2021-05-26,KOPN,Avery Jill Janice,Dir,A - Grant,0.0,10000,10000,New,0.0,,,,,KOPN
19,,2021-05-27 16:59:11,2020-06-01,KOPN,Brook David,Dir,A - Grant,0.0,10000,20000,+100%,0.0,,,,,KOPN
20,,2021-05-27 16:55:00,2021-05-26,KOPN,Hsieh Chi Chia Dr,Dir,A - Grant,0.0,10000,236000,+4%,0.0,,,,,KOPN
21,,2021-05-27 16:54:17,2020-06-01,KOPN,Brewington James K,Dir,A - Grant,0.0,10000,100000,+11%,0.0,,,,,KOPN
22,,2021-05-27 16:51:54,2021-05-26,KOPN,Anchin Scott L,Dir,A - Grant,0.0,10000,30000,+50%,0.0,,,,,KOPN
23,,2021-05-27 16:50:37,2021-05-21,KOPN,Collins Morton,Dir,A - Grant,0.0,10000,184500,+6%,0.0,,,,,KOPN
24,A,2021-03-22 17:11:43,2021-03-08,KOPN,Baker Paul Christopher,Strategic Business Officer,S - Sale,8.01,-15000,191359,-7%,-120150.0,,,,,KOPN
25,,2021-03-19 16:15:52,2021-03-17,KOPN,Brook David,Dir,S - Sale,9.57,-299260,10000,-97%,-2863918.0,,,,,KOPN
