,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-02 20:22:15,2022-02-28,KPLT,Towers Christopher,Chief Accounting Officer,F - Tax,2.36,-8213,14191,-37%,-19383.0,,,,,KPLT
1,D,2022-03-02 20:22:15,2022-02-28,KPLT,Towers Christopher,Chief Accounting Officer,M - OptEx,0.0,19654,14191,-360%,0.0,,,,,KPLT
2,,2022-02-11 17:19:40,2022-02-09,KPLT,Phillips Joyce Ann,Dir,A - Grant,0.0,123967,123967,New,0.0,,,,,KPLT
3,,2022-02-11 17:17:53,2022-02-09,KPLT,Thompson Jane J.,Dir,A - Grant,0.0,123967,123967,New,0.0,,,,,KPLT
4,,2021-12-16 16:21:55,2021-12-14,KPLT,Sun Fangqui,Chief of Decision Science,S - Sale,4.1,-5000,675300,-1%,-20500.0,,,,,KPLT
5,M,2021-12-14 17:57:08,2021-12-10,KPLT,Sun Fangqui,Chief of Decision Science,S - Sale,3.76,-33500,680300,-5%,-126124.0,,,,,KPLT
6,M,2021-12-13 21:11:16,2021-12-09,KPLT,Curo Financial Technologies Corp.,"Dir, 10%",P - Purchase,3.74,2648500,24541364,+12%,9893790.0,,,,,KPLT
7,M,2021-12-13 20:44:45,2021-12-09,KPLT,Gayhardt Donald,"Dir, 10%",P - Purchase,3.74,2648500,24541364,+12%,9893790.0,,,,,KPLT
8,M,2021-12-13 20:43:39,2021-12-09,KPLT,Masto Christopher A,"Dir, 10%",P - Purchase,3.74,2648500,24541364,+12%,9893790.0,,,,,KPLT
9,,2021-12-07 16:21:22,2021-12-03,KPLT,Hirsch Brian,Dir,P - Purchase,3.08,60000,85000,+240%,184590.0,,,,,KPLT
10,D,2021-11-22 16:33:32,2021-11-18,KPLT,Sun Fangqui,Chief of Decision Science,M - OptEx,0.85,44334,713800,+7%,37684.0,,,,,KPLT
11,D,2021-08-30 16:30:09,2021-08-26,KPLT,Sun Fangqui,Chief Risk Officer,M - OptEx,0.85,95000,669466,+17%,80750.0,,,,,KPLT
12,D,2021-08-23 16:05:40,2021-08-19,KPLT,Sun Fangqui,Chief Risk Officer,M - OptEx,0.19,274887,574466,+92%,52229.0,,,,,KPLT
13,,2021-08-19 12:19:14,2021-08-17,KPLT,Zayas Orlando,CEO,P - Purchase,3.4,25000,1563251,+2%,85110.0,,,,,KPLT
14,D,2021-08-18 17:11:40,2021-08-16,KPLT,Sun Fangqui,Chief Risk Officer,M - OptEx,0.19,100000,272579,+58%,19000.0,,,,,KPLT
15,,2021-08-16 21:06:50,2021-08-13,KPLT,Towers Christopher,CHIEF ACCOUNTING OFFICER,P - Purchase,3.66,2750,2750,New,10062.0,,,,,KPLT
16,,2021-08-13 11:13:16,2021-08-11,KPLT,Zayas Orlando,CEO,P - Purchase,4.42,25000,1538251,+2%,110400.0,,,,,KPLT
17,,2021-08-13 11:12:55,2021-08-11,KPLT,Medlin Derek,COO,P - Purchase,4.3,12000,275482,+5%,51599.0,,,,,KPLT
18,,2021-08-13 11:12:24,2021-08-11,KPLT,Tahmineh Maloney,GC,P - Purchase,4.2,5000,5000,New,20975.0,,,,,KPLT
19,,2021-08-13 11:12:04,2021-08-11,KPLT,Einbinder Lee,Dir,P - Purchase,3.89,25000,1415694,+2%,97300.0,,,,,KPLT
20,,2021-08-13 11:11:45,2021-08-11,KPLT,Cupito Karissa,CFO,P - Purchase,4.41,12000,273803,+5%,52920.0,,,,,KPLT
21,,2021-08-13 11:10:56,2021-08-11,KPLT,Hirsch Brian,Dir,P - Purchase,3.91,25000,4633069,+1%,97800.0,,,,,KPLT
