,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-11 16:20:41,2022-03-09,LTRPA,Rosenthaler Albert E,Chief Corp. Dev. Officer,A - Grant,0.0,10370,41562,+33%,0.0,,,,,LTRPA
1,,2022-03-11 16:20:39,2022-03-09,LTRPA,Maffei Gregory B,"Pres, CEO, 10%",A - Grant,0.0,154321,3226148,+5%,0.0,,,,,LTRPA
2,,2022-03-11 16:20:37,2022-03-09,LTRPA,Wilm Renee L,"Chief Legal, Admin Officer",A - Grant,0.0,10370,19441,+114%,0.0,,,,,LTRPA
3,,2022-03-11 16:20:33,2022-03-09,LTRPA,Wendling Brian J,"CFO, SVP",A - Grant,0.0,5741,12386,+86%,0.0,,,,,LTRPA
4,D,2021-12-09 16:37:26,2021-12-07,LTRPA,Mueller Chris,Dir,M - OptEx,0.0,63035,82803,+319%,0.0,,,,,LTRPA
5,D,2021-12-09 16:37:22,2021-12-07,LTRPA,Malone Michael J,Dir,M - OptEx,0.0,63035,63035,New,0.0,,,,,LTRPA
6,D,2021-12-09 16:37:10,2021-12-07,LTRPA,Certares Ltrip LLC,Dir,M - OptEx,0.0,31518,69634,+83%,0.0,,,,,LTRPA
7,,2021-04-08 16:55:34,2021-04-06,LTRPA,Certares Ltrip LLC,Dir,D - Sale to issuer,2714.29,-10665,187414,-5%,-28947903.0,,,,,LTRPA
8,,2021-03-31 17:48:01,2021-03-29,LTRPA,Certares Ltrip LLC,Dir,D - Sale to issuer,2714.29,-126921,198079,-39%,-344500401.0,,,,,LTRPA
9,,2021-03-17 17:28:31,2021-03-15,LTRPA,Wendling Brian J,"CFO, SVP",F - Tax,6.79,-2577,6645,-28%,-17498.0,,,,,LTRPA
10,,2021-03-17 17:28:31,2021-03-15,LTRPA,Wendling Brian J,"CFO, SVP",A - Grant,0.0,7535,6645,-847%,0.0,,,,,LTRPA
11,,2021-03-17 17:28:24,2021-03-15,LTRPA,Maffei Gregory B,"Pres, CEO, 10%",A - Grant,0.0,242382,3071827,+9%,0.0,,,,,LTRPA
12,,2021-03-17 17:28:22,2021-03-15,LTRPA,Rosenthaler Albert E,Chief Corp. Dev. Officer,F - Tax,6.79,-5306,31192,-15%,-36028.0,,,,,LTRPA
13,,2021-03-17 17:28:22,2021-03-15,LTRPA,Rosenthaler Albert E,Chief Corp. Dev. Officer,A - Grant,0.0,15512,31192,+99%,0.0,,,,,LTRPA
14,,2021-03-17 17:28:13,2021-03-15,LTRPA,Wilm Renee L,"Chief Legal, Admin Officer",A - Grant,0.0,12465,9071,-367%,0.0,,,,,LTRPA
15,,2021-03-17 17:28:13,2021-03-15,LTRPA,Wilm Renee L,"Chief Legal, Admin Officer",F - Tax,6.79,-4264,9071,-32%,-28953.0,,,,,LTRPA
16,D,2020-12-14 17:55:22,2020-12-10,LTRPA,Maffei Gregory B,"Pres, CEO, 10%",M - OptEx,0.0,30110,2829445,+1%,0.0,,,,,LTRPA
17,D,2020-12-14 17:55:22,2020-12-10,LTRPA,Maffei Gregory B,"Pres, CEO, 10%",F - Tax,4.58,-9014,2829445,0%,-41284.0,,,,,LTRPA
18,D,2020-12-14 17:55:18,2020-12-10,LTRPA,Wargo J David,Dir,M - OptEx,0.0,8641,9477,>999%,0.0,,,,,LTRPA
19,D,2020-12-14 17:55:09,2020-12-10,LTRPA,Certares Ltrip LLC,Dir,M - OptEx,0.0,38116,38116,New,0.0,,,,,LTRPA
20,D,2020-12-14 17:55:05,2020-12-10,LTRPA,Mueller Chris,Dir,M - OptEx,0.0,12962,19768,+190%,0.0,,,,,LTRPA
21,,2020-11-13 16:54:19,2020-11-11,LTRPA,Wendling Brian J,"CFO, SVP",S - Sale,2.53,-10271,1687,-86%,-25946.0,,,,,LTRPA
22,,2020-08-28 17:00:59,2020-08-26,LTRPA,Wargo J David,Dir,S - Sale,2.84,-125472,836,-99%,-356554.0,,,,,LTRPA
23,,2020-03-17 16:21:06,2020-03-15,LTRPA,Wilm Renee L,GC,F - Tax,1.52,-455,870,-34%,-692.0,,,,,LTRPA
24,,2020-03-17 16:21:06,2020-03-15,LTRPA,Wilm Renee L,GC,A - Grant,0.0,1325,870,-291%,0.0,,,,,LTRPA
25,,2020-03-17 16:21:02,2020-03-15,LTRPA,Wendling Brian J,"CFO, SVP",F - Tax,1.52,-495,11958,-4%,-752.0,,,,,LTRPA
26,,2020-03-17 16:21:02,2020-03-15,LTRPA,Wendling Brian J,"CFO, SVP",A - Grant,0.0,1442,11958,+14%,0.0,,,,,LTRPA
27,,2020-03-17 16:20:58,2020-03-15,LTRPA,Rosenthaler Albert E,Chief Corp. Dev. Officer,F - Tax,1.52,-1128,20986,-5%,-1715.0,,,,,LTRPA
28,,2020-03-17 16:20:58,2020-03-15,LTRPA,Rosenthaler Albert E,Chief Corp. Dev. Officer,A - Grant,0.0,3290,20986,+19%,0.0,,,,,LTRPA
29,,2020-03-17 16:20:54,2020-03-15,LTRPA,Maffei Gregory B,"Pres, CEO, 10%",F - Tax,1.52,-12085,2808349,0%,-18369.0,,,,,LTRPA
