,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-02-28 19:41:36,2022-02-24,MTTR,Pittman Raymond J,CEO,P - Purchase,6.8,40000,1249426,+3%,272130.0,,,,,MTTR
1,,2022-02-28 19:41:23,2022-02-24,MTTR,Hebert Peter,Dir,P - Purchase,6.38,20000,229793,+10%,127500.0,,,,,MTTR
2,D,2022-02-04 18:15:23,2022-02-01,MTTR,Krikorian Jason,Dir,C - Converted deriv,0.0,2204400,22062456,-9%,0.0,,,,,MTTR
3,D,2022-02-04 17:46:20,2021-07-22,MTTR,Gustafson Michael B,Dir,A - Grant,0.0,29724,176680,+20%,0.0,,,,,MTTR
4,D,2022-02-04 17:46:20,2022-02-01,MTTR,Gustafson Michael B,Dir,C - Converted deriv,0.0,65197,176680,-27%,0.0,,,,,MTTR
5,D,2022-02-03 21:57:41,2022-02-01,MTTR,Fay James Daniel,CFO,C - Converted deriv,0.0,239154,611350,-28%,0.0,,,,,MTTR
6,D,2022-02-03 21:57:41,2022-02-01,MTTR,Fay James Daniel,CFO,F - Tax,9.59,-93370,611350,-13%,-895418.0,,,,,MTTR
7,D,2022-02-03 21:57:39,2022-02-01,MTTR,Pittman Raymond J,CEO,C - Converted deriv,0.0,1442984,1209426,-54%,0.0,,,,,MTTR
8,D,2022-02-03 21:57:39,2022-02-01,MTTR,Pittman Raymond J,CEO,F - Tax,9.59,-715432,1209426,-37%,-6860993.0,,,,,MTTR
9,D,2022-02-03 21:57:24,2022-02-01,MTTR,Remley Jay,Chief Revenue Officer,C - Converted deriv,0.0,226121,306590,-42%,0.0,,,,,MTTR
10,D,2022-02-03 21:57:24,2022-02-01,MTTR,Remley Jay,Chief Revenue Officer,F - Tax,9.59,-88979,306590,-22%,-853309.0,,,,,MTTR
11,D,2022-02-03 21:57:09,2022-02-01,MTTR,Tulsi Japjit,CTO,C - Converted deriv,0.0,320091,294704,-52%,0.0,,,,,MTTR
12,D,2022-02-03 21:57:09,2022-02-01,MTTR,Tulsi Japjit,CTO,F - Tax,9.59,-151243,294704,-34%,-1450420.0,,,,,MTTR
13,D,2022-01-20 17:17:29,2022-01-18,MTTR,Remley Jay,Chief Revenue Officer,F - Tax,12.89,-91629,169448,-35%,-1181098.0,,,,,MTTR
14,DM,2022-01-20 17:17:29,2021-10-15,MTTR,Remley Jay,Chief Revenue Officer,M - OptEx,0.0,261077,169448,-285%,0.0,,,,,MTTR
15,D,2022-01-20 17:14:59,2022-01-18,MTTR,Pittman Raymond J,CEO,F - Tax,12.89,-452029,481874,-48%,-5826654.0,,,,,MTTR
16,DM,2022-01-20 17:14:59,2021-10-15,MTTR,Pittman Raymond J,CEO,M - OptEx,0.0,933903,481874,-207%,0.0,,,,,MTTR
17,D,2022-01-20 17:12:47,2022-01-18,MTTR,Fay James Daniel,CFO,F - Tax,12.89,-160124,465566,-26%,-2063998.0,,,,,MTTR
18,D,2022-01-20 17:12:47,2022-01-15,MTTR,Fay James Daniel,CFO,M - OptEx,0.0,217565,465566,+88%,0.0,,,,,MTTR
19,D,2022-01-20 17:12:42,2022-01-18,MTTR,Tulsi Japjit,CTO,F - Tax,12.89,-91708,125856,-42%,-1182116.0,,,,,MTTR
20,DM,2022-01-20 17:12:42,2021-10-15,MTTR,Tulsi Japjit,CTO,M - OptEx,0.0,217564,125856,-237%,0.0,,,,,MTTR
21,DM,2022-01-04 21:28:30,2021-10-15,MTTR,Fay James Daniel,CFO,M - OptEx,0.21,391236,408125,>999%,80511.0,,,,,MTTR
22,D,2021-07-26 21:57:28,2021-07-22,MTTR,Gustafson Michael B,Dir,A - Grant,0.0,81759,81759,New,0.0,,,,,MTTR
23,D,2021-07-26 21:56:07,2021-07-22,MTTR,Fay James Daniel,CFO,A - Grant,0.0,16889,16889,New,0.0,,,,,MTTR
24,,2021-07-26 21:54:31,2021-07-22,MTTR,Krikorian Jason,Dir,A - Grant,0.0,19858065,19858065,New,0.0,,,,,MTTR
25,,2021-07-26 19:08:11,2021-07-22,MTTR,Stone Mark,CEO,A - Grant,10.0,36300,36300,New,363000.0,,,,,MTTR
26,,2021-07-26 19:03:17,2021-07-22,MTTR,McBride Andrew,"CFO, Secretary",A - Grant,10.0,2234,2234,New,22340.0,,,,,MTTR
27,D,2021-07-26 19:00:35,2021-07-22,MTTR,Gores Sponsor VI LLC,"Dir, 10%",A - Grant,10.0,3758459,537997,-117%,37584590.0,,,,,MTTR
28,D,2021-07-26 19:00:35,2021-07-22,MTTR,Gores Sponsor VI LLC,"Dir, 10%",M - OptEx,0.0,8550000,537997,-107%,0.0,,,,,MTTR
29,D,2021-07-26 18:59:19,2021-07-22,MTTR,Marcellino Elizabeth,Dir,M - OptEx,0.0,25000,25000,New,0.0,,,,,MTTR
30,D,2021-07-26 18:58:47,2021-07-22,MTTR,Tellem Nancy,Dir,A - Grant,10.0,15000,40000,+60%,150000.0,,,,,MTTR
31,D,2021-07-26 18:58:47,2021-07-22,MTTR,Tellem Nancy,Dir,M - OptEx,0.0,25000,40000,+167%,0.0,,,,,MTTR
32,D,2021-07-26 18:54:51,2021-07-22,MTTR,Bort Randy,Dir,M - OptEx,0.0,25000,25000,New,0.0,,,,,MTTR
