,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-02-25 17:19:28,2021-02-25,NHLD,Mullen Michael A,"CEO, COB",D - Sale to issuer,3.25,-127035,0,-100%,-412864.0,,,,,NHLD
1,A,2021-02-18 16:02:32,2021-01-03,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,78125,441205,+22%,0.0,,,,,NHLD
2,,2021-01-07 16:04:44,2020-12-31,NHLD,Desena John C.,COO,F - Tax,1.79,-6777,75626,-8%,-12131.0,,,,,NHLD
3,,2021-01-07 16:04:16,2020-12-31,NHLD,Worman Glenn C.,"Pres, CFO",F - Tax,1.79,-11294,118502,-9%,-20216.0,,,,,NHLD
4,,2021-01-07 16:03:49,2020-12-31,NHLD,Mullen Michael A,"CEO, COB",F - Tax,1.79,-16264,363080,-4%,-29113.0,,,,,NHLD
5,D,2021-01-06 16:02:29,2021-01-03,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,78125,457469,+21%,0.0,,,,,NHLD
6,M,2020-12-29 16:45:57,2020-12-24,NHLD,Asher Daniel,10%,P - Purchase,2.69,18458,3027841,+1%,49599.0,,,,,NHLD
7,,2020-12-18 16:44:28,2020-12-16,NHLD,Asher Daniel,10%,P - Purchase,2.7,1621,3009383,0%,4376.0,,,,,NHLD
8,M,2020-12-10 16:23:56,2020-12-08,NHLD,Asher Daniel,10%,P - Purchase,2.63,136854,3007762,+5%,360406.0,,,,,NHLD
9,,2020-11-19 16:38:45,2020-11-17,NHLD,Asher Daniel,10%,P - Purchase,2.69,20769,2871270,+1%,55879.0,,,,,NHLD
10,M,2020-11-17 16:36:49,2020-11-13,NHLD,Asher Daniel,10%,P - Purchase,2.55,194051,2850501,+7%,494147.0,,,,,NHLD
11,D,2020-11-02 16:03:51,2020-11-01,NHLD,Worman Glenn C.,"Pres, CFO",M - OptEx,0.0,37212,129796,+40%,0.0,,,,,NHLD
12,D,2020-11-02 16:03:22,2020-11-01,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,53585,379344,+16%,0.0,,,,,NHLD
13,D,2020-11-02 16:02:58,2020-11-01,NHLD,Desena John C.,COO,M - OptEx,0.0,22327,82403,+37%,0.0,,,,,NHLD
14,,2020-09-09 11:13:28,2020-09-04,NHLD,Asher Daniel,10%,P - Purchase,2.2,1830,2656450,0%,4026.0,,,,,NHLD
15,M,2020-09-03 16:49:36,2020-09-01,NHLD,Asher Daniel,10%,P - Purchase,2.19,3312,2654620,0%,7268.0,,,,,NHLD
16,,2020-09-02 16:06:35,2020-08-31,NHLD,Desena John C.,COO,F - Tax,1.97,-3185,60076,-5%,-6274.0,,,,,NHLD
17,,2020-09-02 16:05:45,2020-08-31,NHLD,Worman Glenn C.,"Pres, CFO",F - Tax,1.97,-5308,92584,-5%,-10457.0,,,,,NHLD
18,M,2020-08-31 16:47:04,2020-08-27,NHLD,Asher Daniel,10%,P - Purchase,2.29,58219,2651308,+2%,133206.0,,,,,NHLD
19,D,2020-07-21 16:03:31,2020-07-19,NHLD,Desena John C.,COO,M - OptEx,0.0,9375,63261,+17%,0.0,,,,,NHLD
20,D,2020-07-21 16:02:54,2020-07-19,NHLD,Worman Glenn C.,"Pres, CFO",M - OptEx,0.0,15625,97892,+19%,0.0,,,,,NHLD
21,M,2020-07-02 17:14:27,2020-06-29,NHLD,Asher Daniel,10%,P - Purchase,2.0,365,2593089,0%,730.0,,,,,NHLD
22,M,2020-06-23 15:41:33,2020-06-19,NHLD,Asher Daniel,10%,P - Purchase,2.04,8307,2592724,0%,16917.0,,,,,NHLD
23,D,2020-06-15 17:39:04,2020-06-11,NHLD,Michas Athanassios,Dir,M - OptEx,0.0,16667,33334,+100%,0.0,,,,,NHLD
24,,2020-05-27 17:01:12,2020-05-22,NHLD,Desena John C.,COO,F - Tax,1.42,-5824,53886,-10%,-8269.0,,,,,NHLD
25,,2020-05-27 17:00:52,2020-05-22,NHLD,Mullen Michael A,"CEO, COB",F - Tax,1.42,-13977,325759,-4%,-19846.0,,,,,NHLD
26,,2020-05-27 17:00:32,2020-05-22,NHLD,Worman Glenn C.,"Pres, CFO",F - Tax,1.42,-7765,82267,-9%,-11026.0,,,,,NHLD
27,M,2020-05-06 16:41:11,2020-05-05,NHLD,Asher Daniel,10%,P - Purchase,1.8,77911,3847402,+2%,140598.0,,,,,NHLD
28,,2020-05-05 15:08:02,2020-05-04,NHLD,Asher Daniel,10%,P - Purchase,1.75,21600,2486406,+1%,37800.0,,,,,NHLD
29,D,2020-04-14 16:04:38,2020-04-10,NHLD,Desena John C.,COO,M - OptEx,0.0,17143,59710,+40%,0.0,,,,,NHLD
30,D,2020-04-14 16:04:06,2020-04-10,NHLD,Worman Glenn C.,"Pres, CFO",M - OptEx,0.0,22857,90032,+34%,0.0,,,,,NHLD
31,D,2020-04-14 16:03:31,2020-04-10,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,41143,339736,+14%,0.0,,,,,NHLD
32,,2020-03-12 16:02:24,2020-03-11,NHLD,Mullen Michael A,"CEO, COB",P - Purchase,2.14,35000,298593,+13%,74855.0,,,,,NHLD
33,,2020-02-24 21:22:50,2020-02-21,NHLD,Mullen Michael A,"CEO, COB",F - Tax,2.53,-26540,263593,-9%,-67146.0,,,,,NHLD
34,,2020-02-24 21:22:06,2020-02-21,NHLD,Singer Michael Evan,Dir,F - Tax,2.86,-11191,33397,-25%,-31967.0,,,,,NHLD
35,DM,2020-02-14 19:19:40,2020-02-12,NHLD,Fagenson Robert B,Dir,M - OptEx,0.0,33656,407010,+9%,0.0,,,,,NHLD
36,D,2020-02-14 19:18:29,2020-02-13,NHLD,Creagh Barbara,Dir,M - OptEx,0.0,16667,16667,New,0.0,,,,,NHLD
37,DM,2020-02-14 19:18:08,2020-02-12,NHLD,Hume Daniel,Dir,M - OptEx,0.0,33656,62151,+118%,0.0,,,,,NHLD
38,D,2020-02-14 19:17:18,2020-02-13,NHLD,Gary Jeff,Dir,M - OptEx,0.0,16667,16667,New,0.0,,,,,NHLD
39,D,2020-02-14 19:16:36,2020-02-12,NHLD,Singer Michael Evan,Dir,M - OptEx,0.0,28496,44588,+177%,0.0,,,,,NHLD
40,D,2020-01-03 17:59:32,2019-12-23,NHLD,Mullen Michael A,"CEO, COB",F - Tax,2.66,-18203,290133,-6%,-48420.0,,,,,NHLD
41,D,2020-01-03 17:59:32,2020-01-03,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,78125,290133,+37%,0.0,,,,,NHLD
42,,2020-01-03 17:58:59,2019-12-23,NHLD,Desena John C.,COO,F - Tax,2.66,-7585,42567,-15%,-20176.0,,,,,NHLD
43,,2020-01-03 17:58:23,2019-12-23,NHLD,Worman Glenn C.,"Pres, CFO",F - Tax,2.66,-12641,67175,-16%,-33625.0,,,,,NHLD
44,D,2019-11-05 16:56:39,2019-11-01,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,53585,230211,+30%,0.0,,,,,NHLD
45,D,2019-11-05 16:56:02,2019-11-01,NHLD,Worman Glenn C.,"Pres, CFO",M - OptEx,0.0,37212,79816,+87%,0.0,,,,,NHLD
46,D,2019-11-05 16:55:30,2019-11-01,NHLD,Desena John C.,COO,M - OptEx,0.0,22327,50152,+80%,0.0,,,,,NHLD
47,,2019-08-27 16:48:39,2019-08-23,NHLD,Worman Glenn C.,"Pres, CFO",F - Tax,2.79,-5308,42604,-11%,-14809.0,,,,,NHLD
48,,2019-08-27 16:48:28,2019-08-23,NHLD,Desena John C.,COO,F - Tax,2.79,-3185,27825,-10%,-8886.0,,,,,NHLD
49,D,2019-07-22 16:44:25,2019-07-19,NHLD,Desena John C.,COO,M - OptEx,0.0,9375,31010,+43%,0.0,,,,,NHLD
50,D,2019-07-22 16:44:09,2019-07-19,NHLD,Worman Glenn C.,"Pres, CFO",M - OptEx,0.0,15625,47912,+48%,0.0,,,,,NHLD
51,D,2019-06-28 17:24:28,2019-05-30,NHLD,Mullen Michael A,"CEO, COB",F - Tax,2.91,-13977,176626,-7%,-40673.0,,,,,NHLD
52,D,2019-06-28 17:24:28,2019-04-10,NHLD,Mullen Michael A,"CEO, COB",M - OptEx,0.0,41143,176626,+30%,0.0,,,,,NHLD
53,D,2019-06-28 17:23:22,2019-05-30,NHLD,Desena John C.,COO,F - Tax,2.91,-5824,21635,-21%,-16948.0,,,,,NHLD
54,D,2019-06-28 17:23:22,2019-04-10,NHLD,Desena John C.,COO,M - OptEx,0.0,17143,21635,+382%,0.0,,,,,NHLD
55,D,2019-06-28 17:22:29,2019-06-27,NHLD,Michas Athanassios,Dir,M - OptEx,0.0,16667,16667,New,0.0,,,,,NHLD
56,D,2019-06-28 17:21:52,2019-05-30,NHLD,Worman Glenn C.,"Pres, CFO",F - Tax,2.91,-7765,32287,-19%,-22596.0,,,,,NHLD
57,D,2019-06-28 17:21:52,2019-04-10,NHLD,Worman Glenn C.,"Pres, CFO",M - OptEx,0.0,22857,32287,+242%,0.0,,,,,NHLD
58,,2019-03-06 19:48:27,2019-02-28,NHLD,Mullen Michael A,"CEO, COB",F - Tax,2.75,-26540,149460,-15%,-72985.0,,,,,NHLD
59,D,2019-03-06 19:48:17,2019-02-12,NHLD,Singer Michael Evan,Dir,F - Tax,3.13,-12403,16092,-44%,-38821.0,,,,,NHLD
