,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-03 16:17:12,2022-03-02,PCH,Covey Michael J,Dir,S - Sale,55.27,-61448,131168,-32%,-3396280.0,,,,,PCH
1,M,2022-02-16 16:15:57,2022-02-14,PCH,Wasechek Wayne,Controller,S - Sale,53.88,-2917,10044,-23%,-157165.0,,,,,PCH
2,M,2022-02-16 16:14:48,2022-02-14,PCH,Schwartz Robert L.,"VP, HR",S - Sale,53.87,-4907,33560,-13%,-264348.0,,,,,PCH
3,M,2022-02-16 16:14:10,2022-02-14,PCH,Richards Jerald W,"VP, CFO",S - Sale,53.88,-8915,57819,-13%,-480298.0,,,,,PCH
4,M,2022-02-16 16:13:05,2022-02-14,PCH,Dereu William R,VP Real Estate,S - Sale,53.87,-4968,48165,-9%,-267619.0,,,,,PCH
5,M,2022-02-16 16:12:27,2022-02-14,PCH,Cremers Eric J,"Pres, CEO",S - Sale,53.86,-14191,173619,-8%,-764323.0,,,,,PCH
6,M,2022-02-16 16:11:37,2022-02-14,PCH,Covey Michael J,Dir,S - Sale,53.83,-36204,192616,-16%,-1948913.0,,,,,PCH
7,M,2022-02-16 16:10:55,2022-02-14,PCH,Ball Darin Robert,VP- Timberlands,S - Sale,53.89,-5491,31224,-15%,-295909.0,,,,,PCH
8,,2021-08-27 18:11:28,2021-08-27,PCH,Tyler Michele,"VP, GC Corp Sec",S - Sale,51.65,-262,8185,-3%,-13531.0,,,,,PCH
9,,2021-05-07 16:19:10,2021-05-06,PCH,Driscoll William Lindeke,Dir,S - Sale,60.38,-18333,350454,-5%,-1106895.0,,,,,PCH
10,M,2021-05-05 18:37:24,2021-05-04,PCH,Covey Michael J,Dir,S - Sale,59.97,-60771,176387,-26%,-3644350.0,,,,,PCH
11,M,2021-04-30 20:37:51,2021-04-29,PCH,Covey Michael J,Dir,S - Sale,60.09,-79741,237158,-25%,-4791928.0,,,,,PCH
12,,2021-04-30 16:17:03,2021-04-29,PCH,Cremers Eric J,"Pres, CEO",S - Sale,60.72,-20000,144934,-12%,-1214408.0,,,,,PCH
