,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,AD,2022-03-04 16:20:33,2022-02-28,PODD,Petrovic Shacey,"Pres, CEO",A - Grant,0.0,6347,101170,+7%,0.0,,,,,PODD
1,D,2022-03-02 16:47:04,2022-02-28,PODD,Spears Michael P,"SVP, RA, Compliance",A - Grant,0.0,661,16160,+4%,0.0,,,,,PODD
2,D,2022-03-02 16:44:55,2022-02-28,PODD,Petrovic Shacey,"Pres, CEO",A - Grant,0.0,7933,102756,+8%,0.0,,,,,PODD
3,D,2022-03-02 16:43:22,2022-03-01,PODD,McMillan Wayde D.,"EVP, CFO",F - Tax,260.84,-3134,22809,-12%,-817473.0,,,,,PODD
4,D,2022-03-02 16:43:22,2022-02-28,PODD,McMillan Wayde D.,"EVP, CFO",A - Grant,0.0,2361,22809,+12%,0.0,,,,,PODD
5,D,2022-03-02 16:41:35,2022-02-28,PODD,Manea Dan,"SVP, CHRO",A - Grant,0.0,708,3504,+25%,0.0,,,,,PODD
6,D,2022-03-02 16:39:57,2022-02-28,PODD,Kapples John W.,"SVP, GC",A - Grant,0.0,1369,14108,+11%,0.0,,,,,PODD
7,D,2022-03-02 16:38:11,2022-02-28,PODD,Budden Lauren,"Group VP, CAO, Controller",A - Grant,0.0,1369,5873,+30%,0.0,,,,,PODD
8,D,2022-03-02 16:34:11,2022-02-28,PODD,Christensen Bret,"EVP, CCO",A - Grant,0.0,2361,22363,+12%,0.0,,,,,PODD
9,D,2022-03-02 16:32:36,2022-02-28,PODD,Benjamin Eric,"SVP, Innovation, Strategy",A - Grant,0.0,1511,14888,+11%,0.0,,,,,PODD
10,D,2022-03-02 16:30:38,2022-02-28,PODD,Alpuche Charles,"EVP, COO",A - Grant,0.0,2361,49811,+5%,0.0,,,,,PODD
11,,2022-02-28 16:19:29,2022-02-26,PODD,Petrovic Shacey,"Pres, CEO",F - Tax,262.37,-1124,94823,-1%,-294904.0,,,,,PODD
12,,2022-02-28 16:17:51,2022-02-26,PODD,McMillan Wayde D.,"EVP, CFO",F - Tax,262.37,-522,23582,-2%,-136957.0,,,,,PODD
13,,2022-02-28 16:16:40,2022-02-26,PODD,Christensen Bret,"EVP, CCO",F - Tax,262.37,-542,20002,-3%,-142205.0,,,,,PODD
14,,2022-02-28 16:14:56,2022-02-26,PODD,Alpuche Charles,"EVP, COO",F - Tax,262.37,-903,47450,-2%,-236920.0,,,,,PODD
15,,2022-02-22 16:36:02,2022-02-18,PODD,Spears Michael P,"SVP, RA, Compliance",F - Tax,234.18,-1247,15801,-7%,-292022.0,,,,,PODD
16,,2022-02-22 16:36:02,2022-02-18,PODD,Spears Michael P,"SVP, RA, Compliance",A - Grant,0.0,4072,15801,+35%,0.0,,,,,PODD
17,,2022-02-22 16:34:26,2022-02-18,PODD,Petrovic Shacey,"Pres, CEO",F - Tax,234.18,-10112,95947,-10%,-2368028.0,,,,,PODD
18,,2022-02-22 16:34:26,2022-02-18,PODD,Petrovic Shacey,"Pres, CEO",A - Grant,0.0,22799,95947,+31%,0.0,,,,,PODD
19,,2022-02-22 16:32:41,2022-02-18,PODD,McMillan Wayde D.,"EVP, CFO",F - Tax,234.18,-2673,24104,-10%,-625963.0,,,,,PODD
20,,2022-02-22 16:32:41,2022-02-18,PODD,McMillan Wayde D.,"EVP, CFO",A - Grant,0.0,7057,24104,+41%,0.0,,,,,PODD
21,,2022-02-22 16:31:00,2022-02-18,PODD,Kapples John W.,"SVP, GC",A - Grant,0.0,3930,12739,+45%,0.0,,,,,PODD
22,,2022-02-22 16:31:00,2022-02-18,PODD,Kapples John W.,"SVP, GC",F - Tax,234.18,-1220,12739,-9%,-285700.0,,,,,PODD
23,,2022-02-22 16:29:52,2022-02-18,PODD,Christensen Bret,"EVP, CCO",A - Grant,0.0,7329,20544,+55%,0.0,,,,,PODD
24,,2022-02-22 16:29:52,2022-02-18,PODD,Christensen Bret,"EVP, CCO",F - Tax,234.18,-2787,20544,-12%,-652660.0,,,,,PODD
25,,2022-02-22 16:28:34,2022-02-18,PODD,Budden Lauren,"VP, CAO, Controller",A - Grant,0.0,1040,4504,+30%,0.0,,,,,PODD
26,,2022-02-22 16:28:34,2022-02-18,PODD,Budden Lauren,"VP, CAO, Controller",F - Tax,234.18,-317,4504,-7%,-74235.0,,,,,PODD
27,,2022-02-22 16:27:22,2022-02-18,PODD,Benjamin Eric,"SVP, Innovation, Strategy",A - Grant,0.0,2308,13377,+21%,0.0,,,,,PODD
28,,2022-02-22 16:26:04,2022-02-18,PODD,Alpuche Charles,"EVP, COO",A - Grant,0.0,12214,48353,+34%,0.0,,,,,PODD
29,,2022-02-22 16:26:04,2022-02-18,PODD,Alpuche Charles,"EVP, COO",F - Tax,234.18,-4989,48353,-9%,-1168324.0,,,,,PODD
30,,2022-02-18 16:31:31,2022-02-17,PODD,Spears Michael P,"SVP, RA, Compliance",F - Tax,240.81,-63,12976,0%,-15171.0,,,,,PODD
31,,2022-02-18 16:29:59,2022-02-17,PODD,Petrovic Shacey,"Pres, CEO",F - Tax,240.81,-846,83260,-1%,-203725.0,,,,,PODD
32,,2022-02-18 16:28:34,2022-02-17,PODD,McMillan Wayde D.,"EVP, CFO",F - Tax,240.81,-153,19720,-1%,-36844.0,,,,,PODD
33,,2022-02-18 16:27:14,2022-02-17,PODD,Manea Dan,"SVP, CHRO",F - Tax,240.81,-73,2796,-3%,-17579.0,,,,,PODD
34,,2022-02-18 16:26:05,2022-02-17,PODD,Kapples John W.,"SVP, GC",F - Tax,240.81,-108,10029,-1%,-26007.0,,,,,PODD
35,,2022-02-18 16:25:00,2022-02-17,PODD,Christensen Bret,"EVP, CCO",F - Tax,240.81,-153,16002,-1%,-36844.0,,,,,PODD
36,,2022-02-18 16:23:43,2022-02-17,PODD,Budden Lauren,"VP, CAO, Controller",F - Tax,240.81,-29,3781,-1%,-6983.0,,,,,PODD
37,,2022-02-18 16:22:26,2022-02-17,PODD,Alpuche Charles,"EVP, COO",F - Tax,240.81,-171,41128,0%,-41179.0,,,,,PODD
38,,2022-02-11 16:16:28,2022-02-10,PODD,Kapples John W.,"SVP, GC",F - Tax,252.81,-129,10137,-1%,-32612.0,,,,,PODD
39,,2022-02-11 16:15:00,2022-02-10,PODD,Christensen Bret,"EVP, CCO",F - Tax,252.81,-199,16155,-1%,-50309.0,,,,,PODD
40,,2022-02-11 16:11:55,2022-02-10,PODD,Alpuche Charles,"EVP, COO",F - Tax,252.81,-228,41299,-1%,-57641.0,,,,,PODD
41,,2022-02-07 16:15:15,2022-02-04,PODD,Weatherman Elizabeth H,Dir,A - Grant,0.0,1232,1232,New,0.0,,,,,PODD
42,D,2022-01-07 16:15:17,2022-01-05,PODD,Petrovic Shacey,"Pres, CEO",M - OptEx,29.26,15000,84909,+21%,438900.0,,,,,PODD
43,D,2022-01-07 16:15:17,2022-01-05,PODD,Petrovic Shacey,"Pres, CEO",S - Sale+OE,264.97,-15000,84909,-15%,-3974550.0,,,,,PODD
44,,2022-01-05 16:10:07,2022-01-03,PODD,Petrovic Shacey,"Pres, CEO",F - Tax,275.7,-693,84909,-1%,-191060.0,,,,,PODD
45,,2022-01-04 16:19:53,2021-12-31,PODD,McMillan Wayde D.,"EVP, CFO",S - Sale,268.98,-1855,20078,-8%,-498956.0,,,,,PODD
46,D,2021-12-17 16:02:50,2021-12-13,PODD,Petrovic Shacey,"Pres, CEO",G - Gift,0.0,-7640,85602,-8%,-0.0,,,,,PODD
47,D,2021-12-17 16:02:50,2021-12-16,PODD,Petrovic Shacey,"Pres, CEO",M - OptEx,46.22,2163,85602,+3%,99974.0,,,,,PODD
48,D,2021-12-08 16:38:25,2021-12-06,PODD,Spears Michael P,"SVP, RA, Compliance",F - Tax,257.6,-266,13146,-2%,-68522.0,,,,,PODD
49,D,2021-12-08 16:38:25,2021-12-06,PODD,Spears Michael P,"SVP, RA, Compliance",M - OptEx,29.26,2350,13146,+22%,68761.0,,,,,PODD
50,D,2021-11-12 16:06:54,2021-11-11,PODD,Lemoine David A,Dir,M - OptEx,33.64,8822,10756,+456%,296767.0,,,,,PODD
