,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-03-18 18:00:53,2020-03-17,RARX,Ricardo Alonso,See Remarks,S - Sale,44.25,-2288,0,-100%,-101244.0,,,,,RARX
1,D,2020-03-18 18:00:26,2020-03-16,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
2,D,2020-03-18 18:00:26,2020-03-16,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,45.16,-10595,7132,-60%,-478521.0,,,,,RARX
3,D,2020-02-20 18:52:49,2020-02-18,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
4,D,2020-02-20 18:52:49,2020-02-18,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,46.61,-10595,7132,-60%,-493850.0,,,,,RARX
5,,2020-01-21 18:32:03,2020-01-17,RARX,Ricardo Alonso,See Remarks,S - Sale,47.02,-2285,2288,-50%,-107441.0,,,,,RARX
6,D,2020-01-16 18:01:59,2020-01-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
7,D,2020-01-16 18:01:59,2020-01-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,46.95,-10595,7132,-60%,-497441.0,,,,,RARX
8,,2019-12-18 18:01:44,2019-12-17,RARX,Ricardo Alonso,See Remarks,S - Sale,47.08,-2285,4573,-33%,-107568.0,,,,,RARX
9,D,2019-12-18 18:01:13,2019-12-17,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
10,D,2019-12-18 18:01:13,2019-12-17,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,47.08,-10000,6234,-62%,-470821.0,,,,,RARX
11,D,2019-12-18 18:00:44,2019-12-16,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
12,D,2019-12-18 18:00:44,2019-12-16,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,47.23,-10595,7132,-60%,-500351.0,,,,,RARX
13,D,2019-11-18 17:08:11,2019-11-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
14,D,2019-11-18 17:08:11,2019-11-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,46.66,-10595,7132,-60%,-494319.0,,,,,RARX
15,D,2019-11-18 17:07:41,2019-11-14,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
16,D,2019-11-18 17:07:41,2019-11-14,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,46.68,-10000,6234,-62%,-466808.0,,,,,RARX
17,,2019-10-17 20:11:09,2019-10-17,RARX,Ricardo Alonso,See Remarks,S - Sale,46.7,-2285,6858,-25%,-106710.0,,,,,RARX
18,D,2019-10-17 19:00:40,2019-10-16,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
19,D,2019-10-17 19:00:40,2019-10-16,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,46.87,-10000,6234,-62%,-468726.0,,,,,RARX
20,D,2019-10-17 19:00:27,2019-10-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
21,D,2019-10-17 19:00:27,2019-10-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,46.89,-10595,7132,-60%,-496769.0,,,,,RARX
22,D,2019-09-16 18:44:08,2019-09-16,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
23,D,2019-09-16 18:44:08,2019-09-16,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,25.26,-10595,7132,-60%,-267675.0,,,,,RARX
24,D,2019-09-16 18:43:38,2019-09-12,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
25,D,2019-09-16 18:43:38,2019-09-12,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,25.41,-10000,6234,-62%,-254050.0,,,,,RARX
26,D,2019-08-27 18:01:34,2019-08-23,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
27,D,2019-08-27 18:01:34,2019-08-23,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,27.77,-10000,6234,-62%,-277703.0,,,,,RARX
28,D,2019-08-27 18:01:19,2019-08-23,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
29,D,2019-08-27 18:01:19,2019-08-23,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,27.77,-10595,7132,-60%,-294226.0,,,,,RARX
30,,2019-08-27 18:00:49,2019-08-23,RARX,Ricardo Alonso,See Remarks,S - Sale,27.89,-2285,9143,-20%,-63740.0,,,,,RARX
31,D,2019-07-18 19:04:22,2019-07-17,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
32,D,2019-07-18 19:04:22,2019-07-17,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,32.95,-10000,6234,-62%,-329479.0,,,,,RARX
33,D,2019-07-16 19:15:18,2019-07-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
34,D,2019-07-16 19:15:18,2019-07-15,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,33.1,-10595,7132,-60%,-350647.0,,,,,RARX
35,,2019-06-25 16:16:37,2019-06-21,RARX,Ricardo Alonso,See Remarks,S - Sale,23.72,-2857,11428,-20%,-67782.0,,,,,RARX
36,D,2019-06-19 21:03:43,2019-06-18,RARX,Read Simon,Chief Scientific Officer,M - OptEx,2.87,10000,6234,-266%,28700.0,,,,,RARX
37,D,2019-06-19 21:03:43,2019-06-18,RARX,Read Simon,Chief Scientific Officer,S - Sale+OE,22.25,-10000,6234,-62%,-222467.0,,,,,RARX
38,D,2019-06-19 21:03:13,2019-06-17,RARX,Farzaneh-Far Ramin,Chief Medical Officer,M - OptEx,5.6,10595,7132,-306%,59332.0,,,,,RARX
39,D,2019-06-19 21:03:13,2019-06-17,RARX,Farzaneh-Far Ramin,Chief Medical Officer,S - Sale+OE,21.84,-10595,7132,-60%,-231384.0,,,,,RARX
40,D,2019-04-18 17:55:16,2019-04-16,RARX,King John C,Chief Commercial Officer,F - Tax,21.93,-4506,10823,-29%,-98817.0,,,,,RARX
41,D,2019-04-18 17:55:16,2019-04-16,RARX,King John C,Chief Commercial Officer,M - OptEx,0.0,15329,10823,-340%,0.0,,,,,RARX
