,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-11 17:15:55,2022-03-09,RMNI,Salaets Steven,"CIO, EVP Glob. Shared Services",S - Sale,5.96,-10630,105526,-9%,-63369.0,,,,,RMNI
1,,2022-03-11 17:12:08,2022-03-09,RMNI,Ravin Seth A.,"CEO, COB, 10%",S - Sale,6.0,-2415,11486048,0%,-14490.0,,,,,RMNI
2,D,2022-03-09 17:51:16,2022-03-08,RMNI,Slepko Brian,"EVP, Global Service Delivery",M - OptEx,1.19,211132,896343,+31%,252218.0,,,,,RMNI
3,D,2022-03-04 21:01:57,2022-02-23,RMNI,Salaets Steven,"CIO, EVP Glob. Shared Services",M - OptEx,0.0,8333,116156,+8%,0.0,,,,,RMNI
4,D,2022-03-04 21:01:57,2022-02-23,RMNI,Salaets Steven,"CIO, EVP Glob. Shared Services",S - Sale+OE,4.36,-3415,116156,-3%,-14889.0,,,,,RMNI
5,D,2022-03-04 20:51:38,2022-02-23,RMNI,Slepko Brian,"EVP, Global Service Delivery",M - OptEx,0.0,8333,685211,+1%,0.0,,,,,RMNI
6,D,2022-03-04 20:51:38,2022-02-23,RMNI,Slepko Brian,"EVP, Global Service Delivery",S - Sale+OE,4.36,-3415,685211,0%,-14889.0,,,,,RMNI
7,D,2022-03-04 20:41:32,2022-02-23,RMNI,Rowe David W.,"EVP, Global Transformation",M - OptEx,0.0,8333,287538,+3%,0.0,,,,,RMNI
8,D,2022-03-04 20:41:32,2022-02-23,RMNI,Rowe David W.,"EVP, Global Transformation",S - Sale+OE,0.0,-3415,287538,-1%,-0.0,,,,,RMNI
9,D,2022-03-04 20:32:03,2022-02-23,RMNI,Perica Michael L.,"EVP, CFO",M - OptEx,0.0,8333,29443,+39%,0.0,,,,,RMNI
10,D,2022-03-04 20:32:03,2022-02-23,RMNI,Perica Michael L.,"EVP, CFO",S - Sale+OE,4.36,-3758,29443,-11%,-16385.0,,,,,RMNI
11,D,2022-03-04 20:19:23,2022-02-23,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring",M - OptEx,0.0,8333,46078,+22%,0.0,,,,,RMNI
12,D,2022-03-04 20:19:23,2022-02-23,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring",S - Sale+OE,0.0,-3415,46078,-7%,-0.0,,,,,RMNI
13,D,2022-03-04 20:09:25,2022-02-23,RMNI,Lyskawa Nancy,EVP - Global Client Onboarding,M - OptEx,0.0,8333,55272,+18%,0.0,,,,,RMNI
14,D,2022-03-04 20:09:25,2022-02-23,RMNI,Lyskawa Nancy,EVP - Global Client Onboarding,S - Sale+OE,4.36,-2850,55272,-5%,-12426.0,,,,,RMNI
15,D,2022-03-04 19:47:13,2022-02-23,RMNI,Grady Sebastian,Pres,M - OptEx,0.0,9662,124077,+8%,0.0,,,,,RMNI
16,D,2022-03-04 19:47:13,2022-02-23,RMNI,Grady Sebastian,Pres,S - Sale+OE,4.36,-3970,124077,-3%,-17309.0,,,,,RMNI
17,D,2022-01-31 18:38:00,2022-01-31,RMNI,Rowe David W.,"EVP, Global Transformation",M - OptEx,1.19,49706,282620,+21%,59379.0,,,,,RMNI
18,D,2021-12-23 16:16:18,2021-12-22,RMNI,Slepko Brian,"EVP, Global Service Delivery",M - OptEx,1.95,40000,680293,+6%,77840.0,,,,,RMNI
19,D,2021-12-07 16:50:08,2021-12-06,RMNI,Rowe David W.,"EVP, Global Transformation",M - OptEx,1.19,29853,232914,+15%,35659.0,,,,,RMNI
20,D,2021-12-07 16:50:08,2021-12-06,RMNI,Rowe David W.,"EVP, Global Transformation",S - Sale+OE,6.03,-29853,232914,-11%,-179948.0,,,,,RMNI
21,M,2021-12-06 17:25:02,2021-12-02,RMNI,Ravin Seth A.,"CEO, COB",S - Sale,6.12,-1444284,11492263,-11%,-8833904.0,,,,,RMNI
22,DM,2021-12-02 20:38:06,2021-11-30,RMNI,Slepko Brian,"EVP, Global Service Delivery",M - OptEx,1.19,107987,640293,+20%,129001.0,,,,,RMNI
23,DM,2021-12-02 20:38:06,2021-11-30,RMNI,Slepko Brian,"EVP, Global Service Delivery",S - Sale+OE,6.46,-107987,640293,-14%,-697500.0,,,,,RMNI
24,D,2021-11-24 16:02:45,2021-11-22,RMNI,Brossard Gerard,COO,M - OptEx,0.0,66666,82078,+433%,0.0,,,,,RMNI
25,D,2021-11-24 16:02:45,2021-11-20,RMNI,Brossard Gerard,COO,S - Sale+OE,6.83,-28200,82078,-26%,-192558.0,,,,,RMNI
26,D,2021-10-04 17:24:54,2021-10-01,RMNI,Perica Michael L.,"EVP, CFO",M - OptEx,0.0,33333,24868,-394%,0.0,,,,,RMNI
27,D,2021-10-04 17:24:54,2021-10-01,RMNI,Perica Michael L.,"EVP, CFO",S - Sale+OE,9.81,-8465,24868,-25%,-83042.0,,,,,RMNI
28,M,2021-09-14 17:03:39,2021-03-11,RMNI,"Gpiac, LLC",10%,S - Sale,9.19,-5046868,6069717,-45%,-46386025.0,,,,,RMNI
29,D,2021-08-10 18:47:25,2021-08-06,RMNI,Slepko Brian,"EVP, Global Service Delivery",F - Tax,8.14,-5764,640293,-1%,-46919.0,,,,,RMNI
30,D,2021-08-10 18:47:25,2021-08-06,RMNI,Slepko Brian,"EVP, Global Service Delivery",M - OptEx,0.0,16666,640293,+3%,0.0,,,,,RMNI
31,D,2021-08-10 18:36:08,2021-08-06,RMNI,Salaets Steven,"CIO, CPO EVP GlSec, Facl, Qual",F - Tax,8.14,-5764,111238,-5%,-46919.0,,,,,RMNI
32,D,2021-08-10 18:36:08,2021-08-06,RMNI,Salaets Steven,"CIO, CPO EVP GlSec, Facl, Qual",M - OptEx,0.0,16666,111238,+18%,0.0,,,,,RMNI
33,D,2021-08-10 18:17:12,2021-08-06,RMNI,Rowe David W.,"EVP, CMO",F - Tax,8.14,-5764,232914,-2%,-46919.0,,,,,RMNI
34,D,2021-08-10 18:17:12,2021-08-06,RMNI,Rowe David W.,"EVP, CMO",M - OptEx,0.0,16666,232914,+8%,0.0,,,,,RMNI
35,D,2021-08-10 18:05:31,2021-08-06,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring",F - Tax,8.14,-5764,41160,-12%,-46919.0,,,,,RMNI
36,D,2021-08-10 18:05:31,2021-08-06,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring",M - OptEx,0.0,16666,41160,+68%,0.0,,,,,RMNI
37,D,2021-08-10 17:48:57,2021-08-06,RMNI,Lyskawa Nancy,EVP - Global Client Onboarding,F - Tax,8.14,-4817,49789,-9%,-39210.0,,,,,RMNI
38,D,2021-08-10 17:48:57,2021-08-06,RMNI,Lyskawa Nancy,EVP - Global Client Onboarding,M - OptEx,0.0,16666,49789,+50%,0.0,,,,,RMNI
39,D,2021-08-10 17:26:33,2021-08-06,RMNI,Grady Sebastian,Pres,F - Tax,8.14,-5764,112992,-5%,-46919.0,,,,,RMNI
