,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-23 19:56:39,2021-12-23,SFST,Ellison David G,Dir,P - Purchase,63.26,300,40418,+1%,18978.0,,,,,SFST
1,,2021-12-14 13:43:49,2021-12-13,SFST,Grayson-Caprio Terry,Dir,P - Purchase,59.67,100,240,+71%,5967.0,,,,,SFST
2,,2021-11-08 08:43:14,2021-10-29,SFST,Cubbage Leighton M,Dir,S - Sale,52.93,-28,69553,0%,-1482.0,,,,,SFST
3,,2021-11-08 08:38:48,2021-11-05,SFST,Dowling Michael D,"COO, CFO",S - Sale,57.44,-2000,38380,-5%,-114874.0,,,,,SFST
4,M,2021-09-15 14:10:54,2021-09-14,SFST,Johnstone Rudolph G III,Dir,S - Sale,50.25,-3000,29881,-9%,-150750.0,,,,,SFST
5,D,2021-03-15 11:06:33,2021-03-12,SFST,Seaver R Arthur Jr,CEO,S - Sale+OE,54.28,-12100,78891,-13%,-656754.0,,,,,SFST
6,,2021-03-09 10:10:48,2021-03-05,SFST,Ellefson Anne S,Dir,S - Sale,46.75,-1250,7498,-14%,-58438.0,,,,,SFST
7,,2021-03-05 16:09:36,2021-03-04,SFST,Ellefson Anne S,Dir,S - Sale,46.92,-1500,8748,-15%,-70375.0,,,,,SFST
8,,2021-03-03 14:57:43,2021-02-26,SFST,Dowling Michael D,"COO, CFO",S - Sale,45.01,-3000,40650,-7%,-135020.0,,,,,SFST
9,,2021-02-03 11:15:43,2021-02-01,SFST,Ellefson Anne S,Dir,S - Sale,40.01,-2250,9295,-19%,-90013.0,,,,,SFST
10,,2020-12-17 13:14:17,2020-12-17,SFST,Cubbage Leighton M,Dir,S - Sale,35.0,-1620,69581,-2%,-56700.0,,,,,SFST
11,,2020-12-10 14:56:47,2020-12-09,SFST,Dowling Michael D,"EVP, CFO",S - Sale,35.03,-3000,42150,-7%,-105100.0,,,,,SFST
12,,2020-11-27 09:57:47,2020-11-25,SFST,Ellefson Anne S,Dir,S - Sale,32.75,-500,11545,-4%,-16375.0,,,,,SFST
13,DM,2020-11-16 11:20:55,2020-11-12,SFST,Seaver R Arthur Jr,CEO,S - Sale+OE,30.18,-11462,76891,-13%,-345899.0,,,,,SFST
14,,2020-11-12 15:53:27,2020-11-10,SFST,Ellefson Anne S,Dir,S - Sale,31.57,-500,12045,-4%,-15786.0,,,,,SFST
15,,2020-09-21 13:33:16,2020-09-21,SFST,Cubbage Leighton M,Dir,S - Sale,25.1,-2300,71201,-3%,-57727.0,,,,,SFST
16,,2020-06-16 10:47:47,2020-06-16,SFST,Cubbage Leighton M,Dir,S - Sale,28.38,-1985,73501,-3%,-56334.0,,,,,SFST
17,,2020-06-01 12:47:29,2020-05-27,SFST,Cubbage Leighton M,Dir,S - Sale,29.05,-1546,75486,-2%,-44911.0,,,,,SFST
18,,2020-03-24 08:33:05,2020-03-23,SFST,Ellison David G,Dir,P - Purchase,22.35,1000,43453,+2%,22346.0,,,,,SFST
19,,2020-03-12 16:53:29,2020-03-12,SFST,Ellison David G,Dir,P - Purchase,32.57,3000,42453,+8%,97707.0,,,,,SFST
20,,2020-03-03 11:33:17,2020-03-02,SFST,Cubbage Leighton M,Dir,S - Sale,37.84,-1500,77032,-2%,-56764.0,,,,,SFST
21,,2020-02-21 14:10:23,2020-02-20,SFST,Ellefson Anne S,Dir,S - Sale,41.75,-2250,12545,-15%,-93939.0,,,,,SFST
22,,2020-02-12 14:29:35,2020-02-11,SFST,Cubbage Leighton M,Dir,S - Sale,40.9,-1075,78532,-1%,-43964.0,,,,,SFST
23,,2020-02-10 12:20:28,2020-02-06,SFST,Ellefson Anne S,Dir,S - Sale,40.37,-450,2312,-16%,-18165.0,,,,,SFST
24,,2020-02-06 12:29:51,2020-02-03,SFST,Cubbage Leighton M,Dir,S - Sale,39.45,-3328,79607,-4%,-131290.0,,,,,SFST
25,M,2020-02-05 08:34:39,2020-02-03,SFST,Ellefson Anne S,Dir,S - Sale,39.87,-2250,15893,-12%,-89716.0,,,,,SFST
26,,2020-02-03 14:57:44,2020-01-31,SFST,Cubbage Leighton M,Dir,S - Sale,39.89,-27,82935,0%,-1077.0,,,,,SFST
27,,2019-12-20 10:56:44,2019-12-18,SFST,Locke Anna T,Dir,P - Purchase,43.95,23,42,+118%,1000.0,,,,,SFST
28,,2019-12-19 15:42:13,2019-12-17,SFST,Hooper Tecumseh Jr,Dir,S - Sale,43.62,-1300,41297,-3%,-56705.0,,,,,SFST
29,,2019-12-17 13:30:18,2019-12-12,SFST,Hooper Tecumseh Jr,Dir,S - Sale,43.78,-1100,42597,-3%,-48162.0,,,,,SFST
30,,2019-12-12 10:48:06,2019-12-11,SFST,Hooper Tecumseh Jr,Dir,S - Sale,43.42,-284,43697,-1%,-12331.0,,,,,SFST
31,M,2019-12-12 10:36:07,2019-12-09,SFST,Hooper Tecumseh Jr,Dir,S - Sale,43.26,-4366,43981,-9%,-188864.0,,,,,SFST
32,,2019-12-12 08:51:00,2019-12-10,SFST,Ellefson Anne S,Dir,S - Sale,43.28,-1500,18143,-8%,-64915.0,,,,,SFST
33,,2019-11-13 13:43:29,2019-11-12,SFST,Strickland F Justin,Pres,S - Sale,42.63,-7200,70363,-9%,-306906.0,,,,,SFST
34,DM,2019-10-30 15:46:21,2019-10-28,SFST,Seaver R Arthur Jr,CEO,S - Sale+OE,40.51,-24169,74391,-25%,-979057.0,,,,,SFST
35,M,2019-10-30 07:58:52,2019-10-25,SFST,Ellefson Anne S,Dir,S - Sale,40.74,-3314,19643,-14%,-135001.0,,,,,SFST
36,M,2019-10-30 07:37:30,2019-10-25,SFST,Strickland F Justin,Pres,S - Sale,40.5,-5000,77563,-6%,-202506.0,,,,,SFST
37,,2019-08-30 15:44:31,2019-08-29,SFST,Dowling Michael D,"EVP, CFO",S - Sale,38.0,-2357,43950,-5%,-89566.0,,,,,SFST
38,DM,2019-08-30 15:39:16,2019-08-29,SFST,Seaver R Arthur Jr,CEO,S - Sale+OE,38.0,-10700,74391,-13%,-406611.0,,,,,SFST
39,,2019-07-31 17:25:26,2019-07-29,SFST,Gilmer Fred Jr,Dir,S - Sale,40.76,-1600,46290,-3%,-65216.0,,,,,SFST
40,,2019-07-29 10:39:33,2019-07-26,SFST,Strickland F Justin,Pres,S - Sale,40.02,-6250,51563,-11%,-250094.0,,,,,SFST
41,,2019-06-19 16:19:19,2019-06-19,SFST,Johnstone Rudolph G III,Dir,S - Sale,36.98,-4500,32881,-12%,-166418.0,,,,,SFST
42,,2019-06-19 16:09:05,2019-06-18,SFST,Cubbage Leighton M,Dir,S - Sale,36.01,-1270,82962,-2%,-45732.0,,,,,SFST
