,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-10 17:39:06,2022-03-09,SMPL,Wallis David L,SVP of Operations,F - Tax,38.05,-1941,19245,-9%,-73855.0,,,,,SMPL
1,D,2022-01-11 20:02:55,2022-01-07,SMPL,Conyers Park Sponsor LLC,"Dir, 10%",C - Converted deriv,11.5,6700000,13766778,-33%,77050000.0,,,,,SMPL
2,D,2022-01-11 20:02:55,2022-01-07,SMPL,Conyers Park Sponsor LLC,"Dir, 10%",D - Sale to issuer,0.0,-1869239,13766778,-12%,-0.0,,,,,SMPL
3,DM,2021-12-30 16:48:29,2021-12-28,SMPL,Scalzo Joseph,"CEO, Pres",M - OptEx,12.0,100000,45555,-184%,1200000.0,,,,,SMPL
4,DM,2021-12-30 16:48:29,2021-12-28,SMPL,Scalzo Joseph,"CEO, Pres",S - Sale+OE,41.71,-100000,45555,-69%,-4170638.0,,,,,SMPL
5,M,2021-11-15 21:35:21,2021-11-10,SMPL,Conyers Park Sponsor LLC,"Dir, 10%",S - Sale,39.71,-176483,8936017,-2%,-7008751.0,,,,,SMPL
6,M,2021-11-15 19:30:34,2021-11-11,SMPL,Scalzo Joseph,"CEO, Pres",S - Sale,39.52,-67830,45555,-60%,-2680637.0,,,,,SMPL
7,D,2021-11-10 19:47:49,2021-11-08,SMPL,Kraft Timothy Richard,"GC, Secretary",A - Grant,0.0,2528,41405,+7%,0.0,,,,,SMPL
8,D,2021-11-10 19:47:49,2021-11-08,SMPL,Kraft Timothy Richard,"GC, Secretary",F - Tax,40.88,-7165,41405,-15%,-292905.0,,,,,SMPL
9,D,2021-11-10 19:47:22,2021-11-08,SMPL,Wallis David L,SVP of Operations,A - Grant,0.0,1470,21186,+7%,0.0,,,,,SMPL
10,D,2021-11-10 19:47:22,2021-11-08,SMPL,Wallis David L,SVP of Operations,F - Tax,40.88,-292,21186,-1%,-11937.0,,,,,SMPL
