,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-01-31 16:07:39,2022-01-27,SONM,Tirva Robert L.,"Pres, CFO, COO",A - Grant,0.0,233638,339378,+221%,0.0,,,,,SONM
1,,2021-11-16 16:41:55,2021-11-12,SONM,Mulica Michael C,Dir,A - Grant,0.0,13953,95579,+17%,0.0,,,,,SONM
2,,2021-11-16 16:40:39,2021-11-12,SONM,Swenson Susan,Dir,A - Grant,0.0,27906,39806,+235%,0.0,,,,,SONM
3,,2021-11-16 16:39:59,2021-11-12,SONM,Howe Alan B,Dir,A - Grant,0.0,27906,41139,+211%,0.0,,,,,SONM
4,,2021-11-16 16:33:44,2021-11-12,SONM,Kneuer John,Dir,A - Grant,0.0,27906,40220,+227%,0.0,,,,,SONM
5,,2021-10-15 17:11:54,2021-10-08,SONM,Mulica Michael C,Dir,A - Grant,0.0,75000,81626,>999%,0.0,,,,,SONM
6,,2021-10-14 12:49:09,2021-10-12,SONM,Morgan Stanley,10%,S - Sale,0.0,-60000,846629,-7%,-0.0,,,,,SONM
7,,2021-09-14 21:00:13,2021-09-10,SONM,Tirva Robert L.,"Pres, CFO, COO",S - Sale,0.67,-6417,1044889,-1%,-4299.0,,,,,SONM
8,M,2021-08-25 17:31:09,2021-08-23,SONM,"B. Riley Financial, Inc.",10%,S - Sale,0.41,-2836560,7700228,-27%,-1161817.0,,,,,SONM
9,,2021-06-21 16:23:00,2021-06-18,SONM,Tirva Robert L.,"Pres, CFO, COO",A - Grant,0.0,334952,1051306,+47%,0.0,,,,,SONM
10,,2021-06-21 16:01:58,2021-06-17,SONM,Naumann Kenneth Dale,Dir,A - Grant,0.0,66265,66265,New,0.0,,,,,SONM
11,,2021-06-21 15:53:59,2021-06-17,SONM,Mulica Michael C,Dir,A - Grant,0.0,66265,66265,New,0.0,,,,,SONM
12,,2021-06-11 21:30:12,2021-06-10,SONM,Tirva Robert L.,"Pres, CFO, COO",S - Sale,0.64,-42891,716354,-6%,-27450.0,,,,,SONM
13,M,2021-03-18 18:36:26,2021-03-16,SONM,"B. Riley Financial, Inc.",10%,S - Sale,0.99,-22596,10536788,0%,-22336.0,,,,,SONM
14,M,2021-03-15 18:58:34,2021-03-11,SONM,"B. Riley Financial, Inc.",10%,S - Sale,1.04,-1846860,10559384,-15%,-1925300.0,,,,,SONM
15,,2020-09-14 18:52:35,2020-09-10,SONM,Tirva Robert L.,CFO,S - Sale,0.86,-7826,737174,-1%,-6695.0,,,,,SONM
16,,2020-06-11 17:18:04,2020-06-09,SONM,Wilkinson Thomas Wiley,CEO,A - Grant,0.0,525000,727500,+259%,0.0,,,,,SONM
17,,2020-06-11 17:18:04,2020-06-09,SONM,Wilkinson Thomas Wiley,CEO,P - Purchase,0.75,200000,727500,+38%,150000.0,,,,,SONM
18,,2020-06-11 17:16:13,2020-06-09,SONM,Johnson Jeffrey D,Dir,A - Grant,0.0,104000,119000,+693%,0.0,,,,,SONM
19,,2020-06-11 17:14:58,2020-06-09,SONM,Hochschild Maurice,Dir,A - Grant,0.0,104000,134000,+347%,0.0,,,,,SONM
20,,2020-06-11 17:14:58,2020-06-09,SONM,Hochschild Maurice,Dir,P - Purchase,0.75,15000,134000,+13%,11250.0,,,,,SONM
21,,2020-06-11 17:13:38,2020-06-09,SONM,Howe Alan B,Dir,A - Grant,0.0,104000,132333,+367%,0.0,,,,,SONM
22,,2020-06-11 17:13:38,2020-06-09,SONM,Howe Alan B,Dir,P - Purchase,0.75,13333,132333,+11%,10000.0,,,,,SONM
23,,2020-06-11 17:11:23,2020-06-09,SONM,Swenson Susan,Dir,A - Grant,0.0,104000,119000,+693%,0.0,,,,,SONM
24,,2020-06-11 17:10:01,2020-06-09,SONM,Kneuer John,Dir,A - Grant,0.0,104000,123147,+543%,0.0,,,,,SONM
25,,2020-06-11 17:08:35,2020-06-09,SONM,Tirva Robert L.,CFO,A - Grant,0.0,558000,745000,+298%,0.0,,,,,SONM
