,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-04-03 17:16:47,2020-04-01,TIVO,Welling Glenn W.,Dir,A - Grant,0.0,2668,2629141,0%,3.0,,,,,TIVO
1,D,2020-04-03 17:12:00,2020-04-01,TIVO,Milne Matthew,Chief Revenue Officer,F - Tax,6.51,-389,74767,-1%,-2532.0,,,,,TIVO
2,D,2020-04-03 17:12:00,2020-04-01,TIVO,Milne Matthew,Chief Revenue Officer,M - OptEx,0.0,1125,74767,+2%,1.0,,,,,TIVO
3,D,2020-04-03 17:06:56,2020-04-01,TIVO,Hawkey Michael,"SVP, GM",F - Tax,6.51,-958,45949,-2%,-6237.0,,,,,TIVO
4,D,2020-04-03 17:06:56,2020-04-01,TIVO,Hawkey Michael,"SVP, GM",M - OptEx,0.0,2768,45949,+6%,3.0,,,,,TIVO
5,D,2020-03-03 18:01:01,2020-03-01,TIVO,Sergeeff Pamela A.,"EVP, GC",F - Tax,7.57,-1055,115103,-1%,-7986.0,,,,,TIVO
6,D,2020-03-03 18:01:01,2020-03-01,TIVO,Sergeeff Pamela A.,"EVP, GC",M - OptEx,0.0,3050,115103,+3%,3.0,,,,,TIVO
7,D,2020-03-03 17:47:43,2020-03-01,TIVO,Milne Matthew,Chief Revenue Officer,F - Tax,7.57,-2421,74031,-3%,-18327.0,,,,,TIVO
8,D,2020-03-03 17:47:43,2020-03-01,TIVO,Milne Matthew,Chief Revenue Officer,M - OptEx,0.0,7000,74031,+10%,7.0,,,,,TIVO
9,D,2020-03-03 17:42:58,2020-03-01,TIVO,Hawkey Michael,"SVP, GM",F - Tax,7.57,-865,44139,-2%,-6548.0,,,,,TIVO
10,D,2020-03-03 17:42:58,2020-03-01,TIVO,Hawkey Michael,"SVP, GM",M - OptEx,0.0,2500,44139,+6%,3.0,,,,,TIVO
11,D,2020-03-03 17:36:40,2020-03-01,TIVO,Gutierrez Wesley,CFO,F - Tax,7.57,-1073,48371,-2%,-8123.0,,,,,TIVO
12,D,2020-03-03 17:36:40,2020-03-01,TIVO,Gutierrez Wesley,CFO,M - OptEx,0.0,2625,48371,+6%,3.0,,,,,TIVO
13,D,2020-02-04 17:14:57,2020-02-01,TIVO,Milne Matthew,Chief Revenue Officer,F - Tax,7.28,-433,69452,-1%,-3152.0,,,,,TIVO
14,D,2020-02-04 17:14:57,2020-02-01,TIVO,Milne Matthew,Chief Revenue Officer,M - OptEx,0.0,1250,69452,+2%,1.0,,,,,TIVO
15,,2020-02-04 17:08:45,2020-02-03,TIVO,Sergeeff Pamela A.,"EVP, GC",S - Sale,7.12,-3035,113108,-3%,-21609.0,,,,,TIVO
