,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-16 17:30:08,2022-03-16,UNTY,Hughes James A,"Pres, CEO",A - Grant,0.0,18000,164616,+12%,0.0,,,,,UNTY
1,DM,2022-03-16 17:30:08,2022-03-14,UNTY,Hughes James A,"Pres, CEO",F - Tax,27.94,-1610,164616,-1%,-44989.0,,,,,UNTY
2,D,2022-03-16 17:29:41,2022-03-16,UNTY,Kauchak John J,"EVP, COO",A - Grant,0.0,8000,74066,+12%,0.0,,,,,UNTY
3,DM,2022-03-16 17:29:41,2022-03-14,UNTY,Kauchak John J,"EVP, COO",F - Tax,27.99,-878,74066,-1%,-24575.0,,,,,UNTY
4,D,2022-03-16 17:27:39,2022-03-16,UNTY,Bolomey Janice,"EVP, CAO",A - Grant,0.0,8000,42517,+23%,0.0,,,,,UNTY
5,DM,2022-03-16 17:27:39,2022-03-14,UNTY,Bolomey Janice,"EVP, CAO",F - Tax,27.99,-848,42517,-2%,-23736.0,,,,,UNTY
6,D,2022-03-10 15:28:11,2022-03-09,UNTY,Bolomey Janice,"EVP, CAO",F - Tax,27.19,-424,35365,-1%,-11529.0,,,,,UNTY
7,D,2022-03-10 15:27:05,2022-03-09,UNTY,Hughes James A,"Pres, CEO",F - Tax,27.19,-856,148226,-1%,-23275.0,,,,,UNTY
8,D,2022-03-10 15:25:29,2022-03-09,UNTY,Kauchak John J,"EVP, COO",F - Tax,27.19,-439,66944,-1%,-11936.0,,,,,UNTY
9,D,2022-02-23 16:08:34,2022-02-18,UNTY,Kauchak John J,"EVP, COO",M - OptEx,7.16,278,67383,0%,1990.0,,,,,UNTY
10,D,2022-02-23 16:08:34,2022-02-18,UNTY,Kauchak John J,"EVP, COO",S - Sale+OE,29.0,-278,67383,0%,-8062.0,,,,,UNTY
11,DM,2022-02-18 16:51:22,2022-02-16,UNTY,Kauchak John J,"EVP, COO",M - OptEx,7.16,4390,67383,+7%,31432.0,,,,,UNTY
12,DM,2022-02-18 16:51:22,2022-02-16,UNTY,Kauchak John J,"EVP, COO",S - Sale+OE,29.03,-4390,67383,-6%,-127459.0,,,,,UNTY
13,DM,2022-02-16 17:03:55,2022-02-14,UNTY,Kauchak John J,"EVP, COO",M - OptEx,7.16,4607,67383,+7%,32986.0,,,,,UNTY
14,DM,2022-02-16 17:03:55,2022-02-14,UNTY,Kauchak John J,"EVP, COO",S - Sale+OE,29.01,-4607,67383,-6%,-133633.0,,,,,UNTY
15,DM,2022-02-16 16:06:33,2022-02-11,UNTY,Geraci Vincent,Dir of Mortgage Lending,M - OptEx,21.88,7000,6433,-1235%,153152.0,,,,,UNTY
16,DM,2022-02-16 16:06:33,2022-02-11,UNTY,Geraci Vincent,Dir of Mortgage Lending,S - Sale+OE,28.85,-7000,6433,-52%,-201970.0,,,,,UNTY
17,D,2022-02-04 15:46:42,2022-02-02,UNTY,Rooney Stephen,"Chief Credit Officer, 1st SVP",M - OptEx,9.63,2800,11257,+33%,26964.0,,,,,UNTY
18,D,2022-02-04 15:46:42,2022-02-02,UNTY,Rooney Stephen,"Chief Credit Officer, 1st SVP",S - Sale+OE,29.14,-2800,11257,-20%,-81603.0,,,,,UNTY
19,D,2022-02-02 16:36:28,2022-01-31,UNTY,Souders Donald E. Jr.,Dir,M - OptEx,10.97,4400,16840,+35%,48268.0,,,,,UNTY
20,D,2022-02-02 16:36:28,2022-01-31,UNTY,Souders Donald E. Jr.,Dir,S - Sale+OE,29.35,-4400,16840,-21%,-129140.0,,,,,UNTY
21,D,2022-01-31 12:29:29,2022-01-26,UNTY,Kuras Adam,Chief Lending Officer,D - Sale to issuer,0.0,-2625,386,-87%,-0.0,,,,,UNTY
22,D,2022-01-05 17:11:46,2022-01-03,UNTY,Maricondo Peter E,Dir,A - Grant,0.0,2500,40572,+7%,0.0,,,,,UNTY
23,D,2022-01-05 17:11:34,2022-01-03,UNTY,Gross Mary E.,Dir,A - Grant,0.0,2500,18976,+15%,0.0,,,,,UNTY
24,D,2022-01-05 17:11:27,2022-01-03,UNTY,Tucker Allen,Vice Chairman of the Board,A - Grant,0.0,2000,364730,+1%,0.0,,,,,UNTY
