,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-16 17:07:41,2022-03-16,VIAV,Scrivanich Luke M,SVP GM OSP,S - Sale,15.75,-6690,43958,-13%,-105368.0,,,,,VIAV
1,,2022-03-04 12:11:04,2022-03-02,VIAV,Siebert Kevin Christopher,"SVP Gen. Counsel, Secretary",S - Sale,16.02,-1082,47385,-2%,-17334.0,,,,,VIAV
2,,2022-03-04 11:51:15,2022-03-02,VIAV,Rondinone Ralph,SVP Global Operations NSE,S - Sale,16.02,-1265,32722,-4%,-20265.0,,,,,VIAV
3,,2022-03-04 11:47:30,2022-03-02,VIAV,Scrivanich Luke M,SVP GM OSP,S - Sale,16.02,-1106,50648,-2%,-17718.0,,,,,VIAV
4,,2022-03-04 11:43:55,2022-03-02,VIAV,Staley Gary W,SVP Global Sales NSE,S - Sale,16.02,-869,94883,-1%,-13921.0,,,,,VIAV
5,D,2022-03-02 19:09:52,2022-02-28,VIAV,Siebert Kevin Christopher,"SVP Gen. Counsel, Secretary",F - Tax,16.4,-742,48467,-2%,-12169.0,,,,,VIAV
6,D,2022-03-02 19:09:52,2022-02-28,VIAV,Siebert Kevin Christopher,"SVP Gen. Counsel, Secretary",M - OptEx,0.0,2094,48467,+5%,0.0,,,,,VIAV
7,D,2022-03-02 19:03:29,2022-02-28,VIAV,Scrivanich Luke M,SVP GM OSP,F - Tax,16.4,-1407,51754,-3%,-23075.0,,,,,VIAV
8,D,2022-03-02 19:03:29,2022-02-28,VIAV,Scrivanich Luke M,SVP GM OSP,M - OptEx,0.0,2513,51754,+5%,0.0,,,,,VIAV
9,D,2022-03-02 18:49:16,2022-02-28,VIAV,Staley Gary W,SVP Global Sales NSE,F - Tax,16.4,-1402,95752,-1%,-22993.0,,,,,VIAV
10,D,2022-03-02 18:49:16,2022-02-28,VIAV,Staley Gary W,SVP Global Sales NSE,M - OptEx,0.0,3140,95752,+3%,0.0,,,,,VIAV
11,D,2022-03-02 18:40:59,2022-02-28,VIAV,Rondinone Ralph,SVP Global Operations NSE,F - Tax,16.4,-1248,33987,-4%,-20467.0,,,,,VIAV
12,D,2022-03-02 18:40:59,2022-02-28,VIAV,Rondinone Ralph,SVP Global Operations NSE,M - OptEx,0.0,2513,33987,+8%,0.0,,,,,VIAV
13,D,2022-03-02 18:33:29,2022-02-28,VIAV,McNab Paul,"EVP, Chief Mktg, Stgy Officer",F - Tax,16.4,-1202,41364,-3%,-19713.0,,,,,VIAV
14,D,2022-03-02 18:33:29,2022-02-28,VIAV,McNab Paul,"EVP, Chief Mktg, Stgy Officer",M - OptEx,0.0,2931,41364,+8%,0.0,,,,,VIAV
