,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-12-06 08:20:22,2021-12-02,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,9.36,50000,10627577,0%,467905.0,,,,,VRCA
1,,2021-06-07 08:44:31,2021-06-04,VRCA,White Ted,"Pres, CEO",P - Purchase,9.95,4000,21966,+22%,39800.0,,,,,VRCA
2,,2021-06-07 08:42:40,2021-06-04,VRCA,Hayes Christopher G.,GC,P - Purchase,9.79,2500,2500,New,24475.0,,,,,VRCA
3,,2021-06-07 08:41:13,2021-06-04,VRCA,Davis A Brian,CFO,P - Purchase,9.89,5000,12900,+63%,49450.0,,,,,VRCA
4,,2021-03-29 09:12:11,2021-03-25,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,14.75,739830,10577577,+8%,10912493.0,,,,,VRCA
5,M,2020-08-26 16:40:00,2020-08-24,VRCA,Ballaron Craig,Dir,P - Purchase,8.88,10000,10000,New,88785.0,,,,,VRCA
6,,2020-08-21 07:44:46,2020-08-20,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,9.09,20000,9837747,0%,181800.0,,,,,VRCA
7,,2020-08-19 08:40:14,2020-08-18,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,8.55,10000,9817747,0%,85500.0,,,,,VRCA
8,,2020-08-18 08:35:39,2020-08-17,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,6.92,6000,9807747,0%,41520.0,,,,,VRCA
9,M,2020-08-17 16:39:29,2020-08-13,VRCA,Stalfort Sean,Dir,P - Purchase,6.41,31250,462110,+7%,200464.0,,,,,VRCA
10,,2020-08-17 16:38:17,2020-08-13,VRCA,Davis A Brian,CFO,P - Purchase,6.24,7900,7900,New,49296.0,,,,,VRCA
11,,2020-08-17 16:37:21,2020-08-13,VRCA,White Ted,"Pres, CEO",P - Purchase,6.28,10661,17966,+146%,66951.0,,,,,VRCA
12,M,2020-08-17 09:30:12,2020-08-13,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,6.44,158500,9801747,+2%,1020985.0,,,,,VRCA
13,M,2019-10-10 17:03:14,2019-10-08,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,14.38,20886,9643247,0%,300280.0,,,,,VRCA
14,M,2019-09-09 18:27:27,2019-09-05,VRCA,Davidson Matt,10%,S - Sale,10.89,-19314,2556179,-1%,-210333.0,,,,,VRCA
15,M,2019-08-29 17:23:15,2019-08-27,VRCA,Davidson Matt,10%,S - Sale,10.16,-2688,2575493,0%,-27301.0,,,,,VRCA
16,M,2019-08-09 17:20:41,2019-08-07,VRCA,Davidson Matt,10%,S - Sale,10.49,-6313,2578181,0%,-66200.0,,,,,VRCA
17,M,2019-08-06 18:14:32,2019-08-02,VRCA,Davidson Matt,10%,S - Sale,10.54,-6250,2584494,0%,-65856.0,,,,,VRCA
18,M,2019-08-01 17:41:10,2019-07-30,VRCA,Davidson Matt,10%,S - Sale,11.92,-10338,2590744,0%,-123237.0,,,,,VRCA
19,M,2019-07-29 19:57:41,2019-07-25,VRCA,Davidson Matt,10%,S - Sale,11.4,-12058,2601082,0%,-137481.0,,,,,VRCA
20,M,2019-07-24 19:13:55,2019-07-22,VRCA,Davidson Matt,10%,S - Sale,10.24,-2802,2613140,0%,-28682.0,,,,,VRCA
21,M,2019-07-19 18:06:58,2019-07-17,VRCA,Davidson Matt,10%,S - Sale,10.33,-10800,2615942,0%,-111578.0,,,,,VRCA
22,M,2019-07-16 18:48:24,2019-07-12,VRCA,Davidson Matt,10%,S - Sale,10.93,-10490,2626742,0%,-114662.0,,,,,VRCA
23,M,2019-07-11 17:19:34,2019-07-09,VRCA,Davidson Matt,10%,S - Sale,11.58,-13212,2637232,0%,-152955.0,,,,,VRCA
24,M,2019-07-08 16:55:40,2019-07-03,VRCA,Davidson Matt,10%,S - Sale,11.27,-12529,2650444,0%,-141231.0,,,,,VRCA
25,M,2019-07-02 17:48:57,2019-06-28,VRCA,Davidson Matt,10%,S - Sale,11.63,-33521,2662973,-1%,-389840.0,,,,,VRCA
26,,2019-06-27 18:11:05,2019-06-25,VRCA,Davidson Matt,10%,S - Sale,10.04,-210,2696494,0%,-2108.0,,,,,VRCA
27,M,2019-06-14 17:34:42,2019-06-12,VRCA,Davidson Matt,10%,S - Sale,9.65,-2131,2696704,0%,-20555.0,,,,,VRCA
28,M,2019-06-11 18:06:04,2019-06-07,VRCA,Davidson Matt,10%,S - Sale,8.49,-4345,2698835,0%,-36883.0,,,,,VRCA
29,M,2019-06-06 17:30:27,2019-06-04,VRCA,Davidson Matt,10%,S - Sale,7.27,-5507,2703180,0%,-40057.0,,,,,VRCA
30,M,2019-06-03 17:12:40,2019-05-30,VRCA,Davidson Matt,10%,S - Sale,7.36,-4110,2708687,0%,-30243.0,,,,,VRCA
31,M,2019-05-29 17:36:22,2019-05-24,VRCA,Davidson Matt,10%,S - Sale,8.41,-2100,2712797,0%,-17653.0,,,,,VRCA
32,M,2019-05-23 18:29:08,2019-05-21,VRCA,Davidson Matt,10%,S - Sale,8.8,-2422,2714897,0%,-21320.0,,,,,VRCA
33,M,2019-05-20 17:02:48,2019-05-16,VRCA,Davidson Matt,10%,S - Sale,8.95,-1800,2717319,0%,-16105.0,,,,,VRCA
34,M,2019-05-15 18:23:18,2019-05-13,VRCA,Davidson Matt,10%,S - Sale,9.11,-6973,2719119,0%,-63554.0,,,,,VRCA
35,M,2019-05-10 17:28:16,2019-05-08,VRCA,Davidson Matt,10%,S - Sale,9.21,-3356,2726092,0%,-30917.0,,,,,VRCA
36,M,2019-05-07 18:46:30,2019-05-03,VRCA,Davidson Matt,10%,S - Sale,9.28,-3900,2729448,0%,-36174.0,,,,,VRCA
37,M,2019-05-02 17:31:55,2019-04-30,VRCA,Davidson Matt,10%,S - Sale,9.86,-1768,2733348,0%,-17440.0,,,,,VRCA
38,M,2019-04-29 17:37:24,2019-04-25,VRCA,Davidson Matt,10%,S - Sale,9.9,-3302,2735116,0%,-32683.0,,,,,VRCA
39,M,2019-04-24 17:34:27,2019-04-22,VRCA,Davidson Matt,10%,S - Sale,9.92,-9203,2738418,0%,-91318.0,,,,,VRCA
40,M,2019-04-18 18:33:25,2019-04-17,VRCA,Davidson Matt,10%,S - Sale,10.54,-3516,2747621,0%,-37056.0,,,,,VRCA
41,M,2019-04-16 17:09:52,2019-04-12,VRCA,Davidson Matt,10%,S - Sale,10.39,-3193,2751137,0%,-33185.0,,,,,VRCA
42,M,2019-04-11 16:47:49,2019-04-09,VRCA,Davidson Matt,10%,S - Sale,10.16,-18850,2754330,-1%,-191544.0,,,,,VRCA
43,M,2019-04-08 17:45:49,2019-04-04,VRCA,Davidson Matt,10%,S - Sale,10.67,-12385,2773180,0%,-132109.0,,,,,VRCA
44,M,2019-04-03 17:16:45,2019-04-01,VRCA,Davidson Matt,10%,S - Sale,10.37,-13436,2785565,0%,-139365.0,,,,,VRCA
45,M,2019-03-29 17:50:50,2019-03-27,VRCA,Davidson Matt,10%,S - Sale,10.85,-8815,2799001,0%,-95631.0,,,,,VRCA
46,M,2019-03-26 18:50:19,2019-03-22,VRCA,Davidson Matt,10%,S - Sale,11.5,-13667,2807816,0%,-157131.0,,,,,VRCA
47,M,2019-03-21 17:34:14,2019-03-19,VRCA,Davidson Matt,10%,S - Sale,12.27,-7920,2821483,0%,-97208.0,,,,,VRCA
48,M,2019-03-18 17:33:15,2019-03-14,VRCA,Davidson Matt,10%,S - Sale,12.26,-11626,2829403,0%,-142561.0,,,,,VRCA
49,M,2019-03-13 18:10:14,2019-03-11,VRCA,Davidson Matt,10%,S - Sale,11.55,-25045,2841029,-1%,-289317.0,,,,,VRCA
50,M,2019-03-08 17:16:36,2019-03-06,VRCA,Davidson Matt,10%,S - Sale,11.72,-20558,2866074,-1%,-240901.0,,,,,VRCA
51,M,2019-03-05 17:32:22,2019-03-01,VRCA,Davidson Matt,10%,S - Sale,12.46,-25830,2886632,-1%,-321970.0,,,,,VRCA
52,M,2019-02-28 17:48:58,2019-02-26,VRCA,Davidson Matt,10%,S - Sale,11.26,-14305,2912462,0%,-161099.0,,,,,VRCA
53,M,2019-02-25 17:57:26,2019-02-21,VRCA,Davidson Matt,10%,S - Sale,11.05,-13071,2926767,0%,-144466.0,,,,,VRCA
54,M,2019-02-20 17:16:31,2019-02-15,VRCA,Davidson Matt,10%,S - Sale,11.33,-13544,2939838,0%,-153483.0,,,,,VRCA
55,M,2019-02-14 17:42:15,2019-02-12,VRCA,Davidson Matt,10%,S - Sale,12.36,-13191,2953382,0%,-163013.0,,,,,VRCA
56,M,2019-02-11 17:37:01,2019-02-07,VRCA,Davidson Matt,10%,S - Sale,13.53,-13057,2966573,0%,-176676.0,,,,,VRCA
57,M,2019-02-06 17:43:02,2019-02-04,VRCA,Davidson Matt,10%,S - Sale,12.93,-15859,2979630,-1%,-205021.0,,,,,VRCA
58,M,2019-02-01 17:11:27,2019-01-30,VRCA,Davidson Matt,10%,S - Sale,11.95,-10298,2995489,0%,-123109.0,,,,,VRCA
59,M,2019-01-31 17:00:19,2019-01-25,VRCA,Oclassen Glenn A,Dir,G - Gift,0.0,-225000,65421,-77%,-0.0,,,,,VRCA
60,M,2019-01-29 17:38:10,2019-01-25,VRCA,Davidson Matt,10%,S - Sale,10.94,-10220,3005787,0%,-111841.0,,,,,VRCA
61,M,2019-01-24 17:27:55,2019-01-22,VRCA,Davidson Matt,10%,S - Sale,10.12,-3100,3016007,0%,-31369.0,,,,,VRCA
62,M,2019-01-18 16:58:40,2019-01-16,VRCA,Davidson Matt,10%,S - Sale,10.26,-5765,3019107,0%,-59171.0,,,,,VRCA
63,,2019-01-17 16:48:32,2019-01-16,VRCA,Palczuk Linda,COO,P - Purchase,10.53,3000,8500,+55%,31590.0,,,,,VRCA
64,M,2019-01-15 17:28:50,2019-01-11,VRCA,Davidson Matt,10%,S - Sale,10.53,-8019,3024872,0%,-84472.0,,,,,VRCA
65,M,2019-01-10 17:33:43,2019-01-08,VRCA,Davidson Matt,10%,S - Sale,10.87,-15802,3032891,-1%,-171827.0,,,,,VRCA
66,,2019-01-07 20:54:52,2019-01-07,VRCA,Stalfort Sean,Dir,P - Purchase,10.45,9221,430860,+2%,96386.0,,,,,VRCA
67,,2019-01-07 20:51:20,2019-01-07,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,11.18,47500,9622361,0%,530811.0,,,,,VRCA
68,M,2019-01-07 18:26:29,2019-01-03,VRCA,Davidson Matt,10%,S - Sale,9.8,-33276,3048693,-1%,-326259.0,,,,,VRCA
69,M,2019-01-02 17:48:06,2018-12-28,VRCA,Davidson Matt,10%,S - Sale,8.25,-1000,3081969,0%,-8248.0,,,,,VRCA
70,M,2018-12-27 18:01:50,2018-12-24,VRCA,Davidson Matt,10%,S - Sale,8.02,-4100,3082969,0%,-32871.0,,,,,VRCA
71,M,2018-12-21 17:14:19,2018-12-19,VRCA,Davidson Matt,10%,S - Sale,7.35,-12439,3087069,0%,-91474.0,,,,,VRCA
72,M,2018-12-18 17:27:35,2018-12-14,VRCA,Davidson Matt,10%,S - Sale,9.57,-4215,3099508,0%,-40331.0,,,,,VRCA
73,M,2018-11-14 16:30:46,2018-11-12,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,14.15,70200,9574861,+1%,993021.0,,,,,VRCA
74,,2018-09-18 16:27:48,2018-09-17,VRCA,Palczuk Linda,COO,P - Purchase,16.52,2500,5500,+83%,41300.0,,,,,VRCA
75,,2018-08-21 16:32:30,2018-08-20,VRCA,White Ted,"Pres, CEO",P - Purchase,16.36,300,7305,+4%,4908.0,,,,,VRCA
76,M,2018-08-16 17:02:02,2018-08-14,VRCA,White Ted,"Pres, CEO",P - Purchase,15.69,2505,7005,+56%,39310.0,,,,,VRCA
77,,2018-08-15 16:49:55,2018-06-19,VRCA,White Ted,"Pres, CEO",P - Purchase,15.0,4500,4500,New,67500.0,,,,,VRCA
78,,2018-08-15 16:48:56,2018-06-19,VRCA,Palczuk Linda,COO,P - Purchase,15.0,3000,3000,New,45000.0,,,,,VRCA
79,,2018-08-15 16:47:57,2018-06-19,VRCA,Degnan Chris,CFO,P - Purchase,15.0,3000,3000,New,45000.0,,,,,VRCA
80,,2018-08-15 16:46:41,2018-06-19,VRCA,Bonaccorso Joe,Chief Commercial Officer,P - Purchase,15.0,1000,1000,New,15000.0,,,,,VRCA
81,,2018-08-15 16:44:46,2018-06-19,VRCA,Manning Paul B,"Dir, 10%",P - Purchase,15.0,300000,9504661,+3%,4500000.0,,,,,VRCA
