,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-02 16:18:11,2022-02-26,WWR,Lawrence John W,"GC, Corp Sec",A - Grant,0.0,40552,66237,+158%,0.0,,,,,WWR
1,,2022-03-01 16:31:42,2022-02-26,WWR,Potter Chad M.,COO,A - Grant,0.0,50689,80255,+171%,0.0,,,,,WWR
2,,2022-01-20 16:58:18,2022-01-18,WWR,Potter Chad M.,COO,A - Grant,0.0,5597,29566,+23%,0.0,,,,,WWR
3,,2022-01-20 16:58:18,2022-01-18,WWR,Potter Chad M.,COO,F - Tax,2.23,-3879,29566,-12%,-8650.0,,,,,WWR
4,,2022-01-20 16:48:51,2022-01-18,WWR,McCoig Dain A,VP,A - Grant,0.0,5434,22274,+32%,0.0,,,,,WWR
5,,2022-01-20 16:48:51,2022-01-18,WWR,McCoig Dain A,VP,F - Tax,2.23,-3766,22274,-14%,-8398.0,,,,,WWR
6,,2022-01-20 16:36:57,2022-01-18,WWR,Cates Steven M.,"CAO, Controller",A - Grant,0.0,3551,12392,+40%,0.0,,,,,WWR
7,,2022-01-20 16:25:44,2022-01-18,WWR,Vigil Jeffrey L.,"VP, CFO",A - Grant,0.0,7339,42492,+21%,0.0,,,,,WWR
8,,2022-01-20 16:17:30,2022-01-18,WWR,Jones Christopher Murrel,"Pres, CEO",A - Grant,0.0,17544,83053,+27%,0.0,,,,,WWR
9,,2022-01-04 16:16:02,2021-12-31,WWR,Vigil Jeffrey L.,"VP, CFO",P - Purchase,2.2,7000,35153,+25%,15376.0,,,,,WWR
10,D,2021-08-04 17:58:54,2021-08-02,WWR,Potter Chad M.,COO,A - Grant,0.0,27848,27848,New,0.0,,,,,WWR
11,,2021-07-08 17:08:53,2021-07-07,WWR,Peacock Deborah A,Dir,P - Purchase,4.6,5400,10400,+108%,24840.0,,,,,WWR
12,,2021-06-30 17:16:36,2021-06-29,WWR,Peacock Deborah A,Dir,P - Purchase,5.0,5000,5000,New,25000.0,,,,,WWR
13,D,2021-05-25 20:33:23,2021-05-21,WWR,Cates Steven M.,"CAO, Controller",A - Grant,0.0,5216,8841,+144%,0.0,,,,,WWR
14,D,2021-05-25 20:31:12,2021-05-21,WWR,Vigil Jeffrey L.,"VP, CFO",A - Grant,0.0,10556,28153,+60%,0.0,,,,,WWR
15,D,2021-05-25 20:29:08,2021-05-21,WWR,McCoig Dain A,VP,A - Grant,0.0,5804,20606,+39%,0.0,,,,,WWR
16,D,2021-05-25 20:27:52,2021-05-21,WWR,Jones Christopher Murrel,"Pres, CEO",A - Grant,0.0,21266,65509,+48%,0.0,,,,,WWR
