,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-07 16:31:42,2021-12-03,ZD,Harris Teresa A,Dir,P - Purchase,108.2,460,460,New,49772.0,,,,,ZD
1,AD,2021-09-14 16:05:12,2021-09-08,JCOM,Turicchi R Scott,"Pres, CFO",S - Sale+OE,134.54,-15580,234891,-6%,-2096133.0,,,,,ZD
2,D,2021-09-10 18:50:51,2021-09-08,JCOM,Turicchi R Scott,"Pres, CFO",S - Sale+OE,134.54,-15580,243051,-6%,-2096133.0,,,,,ZD
3,,2021-08-25 16:45:51,2021-08-24,JCOM,Rossen Jeremy,"VP, GC",S - Sale,133.0,-2717,7784,-26%,-361351.0,,,,,ZD
4,,2021-06-09 06:15:12,2021-06-07,JCOM,Bech Douglas Y,Dir,S - Sale,127.98,-3000,128176,-2%,-383940.0,,,,,ZD
5,,2021-05-14 17:29:24,2021-05-12,JCOM,Rossen Jeremy,"VP, GC",S - Sale,122.07,-4256,10869,-28%,-519530.0,,,,,ZD
6,D,2021-02-18 16:05:23,2021-02-16,JCOM,Kretzmer W Brian,Dir,S - Sale+OE,110.86,-15117,5006,-75%,-1675788.0,,,,,ZD
7,,2020-12-16 17:41:14,2020-12-15,JCOM,Turicchi R Scott,"Pres, CFO",S - Sale,100.73,-10323,281463,-4%,-1039836.0,,,,,ZD
8,,2020-12-14 19:11:12,2020-12-10,JCOM,Ressler Richard S,Dir,S - Sale,97.67,-200000,971937,-17%,-19533133.0,,,,,ZD
9,A,2020-12-02 19:00:38,2020-11-30,JCOM,Turicchi R Scott,"Pres, CFO",S - Sale,90.0,-1727,309059,-1%,-155430.0,,,,,ZD
10,,2020-11-30 20:50:12,2020-11-30,JCOM,Turicchi R Scott,"Pres, CFO",S - Sale,90.0,-1727,294059,-1%,-155430.0,,,,,ZD
11,,2020-11-23 19:35:54,2020-11-23,JCOM,Rossen Jeremy,"VP, GC",S - Sale,87.0,-3500,19787,-15%,-304500.0,,,,,ZD
12,,2020-11-10 16:05:16,2020-11-09,JCOM,Rossen Jeremy,"VP, GC",S - Sale,81.92,-2495,23287,-10%,-204390.0,,,,,ZD
13,,2020-09-10 17:26:38,2020-09-10,JCOM,Kretzmer W Brian,Dir,S - Sale,71.5,-2250,5006,-31%,-160875.0,,,,,ZD
