,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,6.9,7.1,6.8,7.0,7.0,117200,ALDX
1,2018-01-03,7.0,7.1,6.9,7.0,7.0,46900,ALDX
2,2018-01-04,7.1,7.15,6.85,7.15,7.15,74100,ALDX
3,2018-01-05,7.1,7.15,6.85,7.1,7.1,61000,ALDX
4,2018-01-08,7.1,7.1,6.55,6.55,6.55,277300,ALDX
5,2018-01-09,6.59,6.65,6.5,6.65,6.65,76500,ALDX
6,2018-01-10,6.65,6.85,6.35,6.75,6.75,178900,ALDX
7,2018-01-11,6.8,7.0,6.6,6.9,6.9,148700,ALDX
8,2018-01-12,6.75,6.85,6.5,6.85,6.85,32900,ALDX
9,2018-01-16,6.9,7.04,6.5,6.6,6.6,78300,ALDX
10,2018-01-17,6.6,6.9,6.6,6.65,6.65,41000,ALDX
11,2018-01-18,6.65,6.8,6.55,6.65,6.65,59500,ALDX
12,2018-01-19,6.65,7.0,6.6,6.9,6.9,102000,ALDX
13,2018-01-22,6.9,7.45,6.85,7.4,7.4,253700,ALDX
14,2018-01-23,7.45,7.75,7.0,7.2,7.2,319300,ALDX
15,2018-01-24,7.4,7.45,7.125,7.35,7.35,88100,ALDX
16,2018-01-25,7.3,7.45,7.15,7.25,7.25,41100,ALDX
17,2018-01-26,7.4,7.55,7.25,7.45,7.45,96000,ALDX
18,2018-01-29,7.6,7.638,7.403,7.6,7.6,183200,ALDX
19,2018-01-30,7.55,7.667,7.45,7.575,7.575,80100,ALDX
20,2018-01-31,7.65,7.65,7.11,7.475,7.475,128900,ALDX
21,2018-02-01,7.4,7.69,7.4,7.5,7.5,145300,ALDX
22,2018-02-02,7.545,7.59,7.05,7.1,7.1,118500,ALDX
23,2018-02-05,7.0,7.1,6.55,6.75,6.75,92700,ALDX
24,2018-02-06,6.65,6.85,6.45,6.75,6.75,80200,ALDX
25,2018-02-07,6.75,7.1,6.7,7.025,7.025,45500,ALDX
26,2018-02-08,7.1,7.15,6.75,6.75,6.75,32500,ALDX
27,2018-02-09,6.8,6.89,6.25,6.8,6.8,112800,ALDX
28,2018-02-12,6.9,7.05,6.65,7.0,7.0,40700,ALDX
29,2018-02-13,7.0,7.1,6.94,7.0,7.0,55900,ALDX
30,2018-02-14,7.05,7.25,6.51,7.1,7.1,93200,ALDX
31,2018-02-15,7.2,7.3,6.9,7.1,7.1,53000,ALDX
32,2018-02-16,7.05,7.3,7.0,7.25,7.25,40900,ALDX
33,2018-02-20,7.25,7.34,7.05,7.1,7.1,24500,ALDX
34,2018-02-21,7.22,7.52,7.1,7.5,7.5,104300,ALDX
35,2018-02-22,7.5,7.6,7.35,7.449,7.449,66100,ALDX
36,2018-02-23,7.6,7.65,7.4,7.6,7.6,93500,ALDX
37,2018-02-26,7.55,7.75,7.55,7.7,7.7,97300,ALDX
38,2018-02-27,7.95,8.9,7.385,8.65,8.65,454800,ALDX
39,2018-02-28,8.55,8.95,7.841,8.25,8.25,223400,ALDX
40,2018-03-01,8.25,8.517,8.0,8.35,8.35,96300,ALDX
41,2018-03-02,8.25,8.45,7.95,8.4,8.4,68900,ALDX
42,2018-03-05,8.4,8.55,8.36,8.5,8.5,78500,ALDX
43,2018-03-06,8.55,8.8,8.4,8.6,8.6,62100,ALDX
44,2018-03-07,8.71,8.85,8.419,8.55,8.55,112400,ALDX
45,2018-03-08,8.55,8.71,8.35,8.65,8.65,74600,ALDX
46,2018-03-09,8.8,8.8,8.677,8.8,8.8,75700,ALDX
47,2018-03-12,8.75,8.94,8.7,8.9,8.9,108900,ALDX
48,2018-03-13,8.9,8.95,8.735,8.85,8.85,101200,ALDX
49,2018-03-14,8.9,8.95,8.65,8.85,8.85,100300,ALDX
50,2018-03-15,8.85,8.95,8.56,8.75,8.75,53300,ALDX
51,2018-03-16,8.586,8.7,8.35,8.5,8.5,112800,ALDX
52,2018-03-19,8.4,8.5,8.2,8.45,8.45,48200,ALDX
53,2018-03-20,8.35,8.545,8.15,8.15,8.15,44700,ALDX
54,2018-03-21,8.25,8.35,8.1,8.3,8.3,55500,ALDX
55,2018-03-22,8.3,8.5,8.134,8.2,8.2,85500,ALDX
56,2018-03-23,8.3,8.3,7.85,8.0,8.0,79300,ALDX
57,2018-03-26,8.1,8.35,7.849,8.35,8.35,66900,ALDX
58,2018-03-27,8.35,8.35,7.7,7.85,7.85,98300,ALDX
59,2018-03-28,7.9,8.39,7.45,8.15,8.15,150800,ALDX
60,2018-03-29,8.15,8.15,7.25,7.5,7.5,201600,ALDX
61,2018-04-02,7.5,7.5,7.0,7.0,7.0,89400,ALDX
62,2018-04-03,7.1,7.2,6.9,6.95,6.95,65000,ALDX
63,2018-04-04,6.8,7.2,6.8,7.2,7.2,52200,ALDX
64,2018-04-05,7.15,7.4,7.05,7.05,7.05,50600,ALDX
65,2018-04-06,7.0,7.35,6.85,7.0,7.0,62300,ALDX
66,2018-04-09,7.0,7.15,6.85,6.95,6.95,36700,ALDX
67,2018-04-10,6.95,7.1,6.9,7.05,7.05,47000,ALDX
