,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,5.55,5.55,5.45,5.5,5.5,40228,CLUBQ
1,2018-01-03,5.5,5.7,5.5,5.6,5.6,57780,CLUBQ
2,2018-01-04,5.65,5.65,5.5001,5.6,5.6,63401,CLUBQ
3,2018-01-05,5.6,5.7,5.5,5.6,5.6,30433,CLUBQ
4,2018-01-08,5.6,5.85,5.55,5.75,5.75,52623,CLUBQ
5,2018-01-09,5.85,5.85,5.6,5.8,5.8,45539,CLUBQ
6,2018-01-10,5.85,5.85,5.65,5.75,5.75,44845,CLUBQ
7,2018-01-11,5.85,5.95,5.75,5.9,5.9,48844,CLUBQ
8,2018-01-12,5.85,6.0,5.85,6.0,6.0,65365,CLUBQ
9,2018-01-16,6.0,6.1,5.9,6.0,6.0,47435,CLUBQ
10,2018-01-17,6.05,6.1,5.85,5.95,5.95,51017,CLUBQ
11,2018-01-18,5.9,6.05,5.85,6.0,6.0,46175,CLUBQ
12,2018-01-19,5.95,6.2,5.85,6.05,6.05,117863,CLUBQ
13,2018-01-22,6.001,6.1,5.9,6.0,6.0,43767,CLUBQ
14,2018-01-23,6.0,6.0,5.85,6.0,6.0,40066,CLUBQ
15,2018-01-24,5.9,6.05,5.9,6.0,6.0,42205,CLUBQ
16,2018-01-25,5.95,6.1,5.95,6.1,6.1,80067,CLUBQ
17,2018-01-26,6.1,6.15,6.0,6.15,6.15,36697,CLUBQ
18,2018-01-29,6.15,6.2,6.05,6.15,6.15,22654,CLUBQ
19,2018-01-30,6.15,6.2,5.9,6.05,6.05,53760,CLUBQ
20,2018-01-31,6.05,6.1,5.9,5.9,5.9,55314,CLUBQ
21,2018-02-01,5.85,6.1,5.8374,6.1,6.1,44868,CLUBQ
22,2018-02-02,6.0,6.1,6.0,6.05,6.05,21849,CLUBQ
23,2018-02-05,5.9,6.05,5.65,5.7,5.7,64870,CLUBQ
24,2018-02-06,5.5,5.85,5.5,5.75,5.75,30012,CLUBQ
25,2018-02-07,5.7,5.8,5.55,5.55,5.55,59682,CLUBQ
26,2018-02-08,5.65,5.75,5.5,5.65,5.65,51657,CLUBQ
27,2018-02-09,5.7,5.75,5.5,5.6,5.6,36468,CLUBQ
28,2018-02-12,5.6,5.7,5.5,5.6,5.6,32248,CLUBQ
29,2018-02-13,5.6,5.75,5.6,5.7,5.7,17449,CLUBQ
30,2018-02-14,5.65,5.95,5.65,5.925,5.925,50653,CLUBQ
31,2018-02-15,5.95,5.95,5.75,5.95,5.95,33647,CLUBQ
32,2018-02-16,5.9,6.5,5.8999,6.3,6.3,105239,CLUBQ
33,2018-02-20,6.3,6.399,5.95,6.05,6.05,22196,CLUBQ
34,2018-02-21,6.0,6.3,5.95,6.125,6.125,34236,CLUBQ
35,2018-02-22,6.2,6.263,5.9,6.0,6.0,28627,CLUBQ
36,2018-02-23,6.1,6.1,5.95,6.05,6.05,17979,CLUBQ
37,2018-02-26,6.05,6.15,5.95,5.95,5.95,51301,CLUBQ
38,2018-02-27,5.95,6.3,5.95,6.25,6.25,82813,CLUBQ
39,2018-02-28,6.3,6.3,5.8,5.8,5.8,55597,CLUBQ
40,2018-03-01,6.3,6.9,6.2999,6.6,6.6,403667,CLUBQ
41,2018-03-02,6.65,6.75,6.5,6.75,6.75,158219,CLUBQ
42,2018-03-05,6.75,6.85,6.55,6.8,6.8,195294,CLUBQ
43,2018-03-06,6.8,6.95,6.75,6.85,6.85,166518,CLUBQ
44,2018-03-07,6.8,6.9,6.8,6.85,6.85,54181,CLUBQ
45,2018-03-08,6.9,7.05,6.7248,7.05,7.05,158918,CLUBQ
46,2018-03-09,7.05,7.4,6.95,7.15,7.15,192201,CLUBQ
47,2018-03-12,7.3,7.735,7.25,7.45,7.45,197390,CLUBQ
48,2018-03-13,7.5,7.55,7.25,7.4,7.4,162861,CLUBQ
49,2018-03-14,7.4,7.55,7.2,7.25,7.25,137340,CLUBQ
50,2018-03-15,7.15,7.45,7.0,7.4,7.4,73161,CLUBQ
51,2018-03-16,7.4,7.5,7.25,7.5,7.5,74330,CLUBQ
52,2018-03-19,7.5,7.6,7.4,7.5,7.5,111161,CLUBQ
53,2018-03-20,7.5,7.55,7.45,7.5,7.5,56700,CLUBQ
54,2018-03-21,7.5,7.55,7.275,7.45,7.45,89773,CLUBQ
55,2018-03-22,7.4,7.45,7.15,7.2,7.2,72581,CLUBQ
56,2018-03-23,7.25,7.35,7.1,7.2,7.2,69156,CLUBQ
57,2018-03-26,7.25,7.9465,7.25,7.65,7.65,210824,CLUBQ
58,2018-03-27,7.7,7.8,7.5,7.7,7.7,150364,CLUBQ
59,2018-03-28,7.6,7.85,7.5,7.85,7.85,107700,CLUBQ
60,2018-03-29,7.85,8.15,7.4001,7.6,7.6,204012,CLUBQ
61,2018-04-02,7.6,8.1,7.25,7.9,7.9,176882,CLUBQ
62,2018-04-03,7.9,8.0,7.6,8.0,8.0,141767,CLUBQ
63,2018-04-04,7.9,8.15,7.75,8.1,8.1,133330,CLUBQ
64,2018-04-05,8.15,8.4,8.15,8.3,8.3,134763,CLUBQ
65,2018-04-06,8.3,8.5,8.3,8.45,8.45,118942,CLUBQ
66,2018-04-09,8.45,8.6,8.2758,8.4,8.4,118260,CLUBQ
67,2018-04-10,8.45,8.85,8.35,8.75,8.75,146008,CLUBQ
68,2018-04-11,8.65,8.8,8.4,8.55,8.55,96062,CLUBQ
69,2018-04-12,8.5,8.7,8.3,8.5,8.5,101911,CLUBQ
70,2018-04-13,8.5,8.7,8.3,8.35,8.35,73301,CLUBQ
71,2018-04-16,8.4,8.5,8.0,8.1,8.1,136331,CLUBQ
72,2018-04-17,8.05,8.35,7.75,8.25,8.25,94056,CLUBQ
73,2018-04-18,8.35,8.75,8.325,8.35,8.35,141995,CLUBQ
74,2018-04-19,8.35,8.45,8.15,8.15,8.15,60320,CLUBQ
75,2018-04-20,8.25,8.65,8.2,8.45,8.45,149420,CLUBQ
76,2018-04-23,8.45,8.9,8.35,8.8,8.8,190762,CLUBQ
77,2018-04-24,8.75,9.2,8.75,9.0,9.0,231038,CLUBQ
78,2018-04-25,9.05,9.354,9.025,9.1,9.1,186344,CLUBQ
79,2018-04-26,9.1,9.4,9.0,9.2,9.2,165500,CLUBQ
80,2018-04-27,9.5,9.5,9.15,9.35,9.35,337442,CLUBQ
81,2018-04-30,9.3,9.4,9.15,9.3,9.3,140086,CLUBQ
82,2018-05-01,9.3,9.6,9.3,9.55,9.55,169986,CLUBQ
83,2018-05-02,9.55,10.1,9.5,10.0,10.0,394301,CLUBQ
84,2018-05-03,10.05,10.25,9.9,10.25,10.25,175091,CLUBQ
85,2018-05-04,10.15,11.0,10.15,11.0,11.0,711265,CLUBQ
86,2018-05-07,11.1,11.3901,10.8,10.9,10.9,331718,CLUBQ
87,2018-05-08,10.9,11.5,10.9,11.5,11.5,394338,CLUBQ
88,2018-05-09,11.7,11.95,11.45,11.75,11.75,227101,CLUBQ
89,2018-05-10,11.75,11.95,11.35,11.55,11.55,263632,CLUBQ
90,2018-05-11,11.5,11.5,10.1,10.45,10.45,463622,CLUBQ
91,2018-05-14,10.55,11.2,10.55,10.8,10.8,315874,CLUBQ
92,2018-05-15,10.75,10.851,10.5042,10.85,10.85,238991,CLUBQ
93,2018-05-16,10.85,10.85,10.25,10.75,10.75,281929,CLUBQ
94,2018-05-17,10.75,10.8,10.25,10.75,10.75,181584,CLUBQ
95,2018-05-18,10.85,10.85,10.35,10.65,10.65,169115,CLUBQ
96,2018-05-21,10.75,11.1,10.7,10.95,10.95,220065,CLUBQ
97,2018-05-22,11.05,11.05,10.4,10.45,10.45,174079,CLUBQ
98,2018-05-23,10.45,11.0,10.35,10.9,10.9,148033,CLUBQ
99,2018-05-24,10.95,11.05,10.875,11.0,11.0,184739,CLUBQ
100,2018-05-25,11.0,11.0,10.525,10.725,10.725,194505,CLUBQ
101,2018-05-29,10.5,11.2,10.45,11.15,11.15,226006,CLUBQ
102,2018-05-30,11.2,11.4,11.15,11.35,11.35,206207,CLUBQ
103,2018-05-31,11.35,11.4,11.101,11.4,11.4,201651,CLUBQ
104,2018-06-01,11.35,11.6,11.1232,11.5,11.5,178397,CLUBQ
105,2018-06-04,11.5,11.6,11.3003,11.4,11.4,120153,CLUBQ
106,2018-06-05,11.4,11.85,11.4,11.85,11.85,168225,CLUBQ
107,2018-06-06,11.8,11.85,11.65,11.8,11.8,164279,CLUBQ
108,2018-06-07,11.8,11.95,11.8,11.9,11.9,135600,CLUBQ
109,2018-06-08,11.9,11.9,11.45,11.5,11.5,85087,CLUBQ
110,2018-06-11,11.45,11.75,11.3,11.5,11.5,114567,CLUBQ
111,2018-06-12,11.5,11.775,11.45,11.65,11.65,172605,CLUBQ
112,2018-06-13,11.65,11.7,11.5,11.6,11.6,117799,CLUBQ
113,2018-06-14,11.7,11.7,11.45,11.5,11.5,110851,CLUBQ
114,2018-06-15,11.45,11.7,11.375,11.6,11.6,147726,CLUBQ
115,2018-06-18,11.6,12.2,11.0,11.0,11.0,390742,CLUBQ
116,2018-06-19,11.2,11.75,11.1,11.75,11.75,167822,CLUBQ
117,2018-06-20,11.7,12.1,11.35,11.65,11.65,135698,CLUBQ
118,2018-06-21,11.65,11.7,11.251,11.45,11.45,178431,CLUBQ
119,2018-06-22,11.45,12.0,11.45,11.95,11.95,1949629,CLUBQ
120,2018-06-25,11.9,12.85,11.5997,12.8,12.8,564464,CLUBQ
121,2018-06-26,12.85,13.55,12.5679,12.9,12.9,199386,CLUBQ
122,2018-06-27,13.05,13.7,13.05,13.45,13.45,401800,CLUBQ
123,2018-06-28,13.45,13.95,13.25,13.9,13.9,315220,CLUBQ
124,2018-06-29,13.95,14.55,13.651,14.55,14.55,474375,CLUBQ
125,2018-07-02,14.75,14.8456,13.65,13.85,13.85,384906,CLUBQ
126,2018-07-03,14.0,14.4,13.9,14.1,14.1,181076,CLUBQ
127,2018-07-05,14.25,14.75,14.1606,14.75,14.75,289898,CLUBQ
128,2018-07-06,14.75,14.75,13.3,13.8,13.8,465931,CLUBQ
129,2018-07-09,13.8,14.0,13.6,13.75,13.75,259040,CLUBQ
130,2018-07-10,13.75,13.9,13.45,13.55,13.55,171193,CLUBQ
131,2018-07-11,13.4,13.55,13.05,13.45,13.45,140018,CLUBQ
132,2018-07-12,13.5,13.9,13.275,13.7,13.7,183540,CLUBQ
133,2018-07-13,13.8,14.0,13.4,13.65,13.65,111846,CLUBQ
134,2018-07-16,13.6,13.95,13.5,13.8,13.8,135231,CLUBQ
135,2018-07-17,13.9,14.1,13.7,14.05,14.05,183460,CLUBQ
136,2018-07-18,14.05,14.1,13.55,13.65,13.65,140729,CLUBQ
137,2018-07-19,13.7,14.05,13.55,14.0,14.0,110313,CLUBQ
138,2018-07-20,13.95,14.15,13.6,13.8,13.8,114822,CLUBQ
139,2018-07-23,13.8,13.95,13.6,13.8,13.8,179109,CLUBQ
140,2018-07-24,13.75,13.895,13.1545,13.65,13.65,179139,CLUBQ
141,2018-07-25,13.7,14.125,13.45,14.0,14.0,259218,CLUBQ
142,2018-07-26,14.0,14.0,13.0155,13.15,13.15,153742,CLUBQ
143,2018-07-27,13.0,13.2547,10.1713,10.575,10.575,601697,CLUBQ
144,2018-07-30,10.5,10.9,10.45,10.525,10.525,267749,CLUBQ
145,2018-07-31,10.5,11.15,10.25,10.8,10.8,257881,CLUBQ
146,2018-08-01,10.75,10.95,9.775,10.1,10.1,620291,CLUBQ
147,2018-08-02,10.05,10.3,9.85,9.975,9.975,185979,CLUBQ
148,2018-08-03,10.05,10.2,9.75,10.1,10.1,388235,CLUBQ
149,2018-08-06,9.95,10.3,9.7,9.975,9.975,134634,CLUBQ
150,2018-08-07,9.95,10.0,9.6655,9.8,9.8,113633,CLUBQ
151,2018-08-08,9.75,9.85,9.45,9.8,9.8,127748,CLUBQ
