,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,24.57,24.57,23.940001,24.049999,24.049999,298118.0,ENTL
1,2018-01-03,24.040001,24.115,23.950001,23.959999,23.959999,331799.0,ENTL
2,2018-01-04,24.02,24.18,23.959999,24.059999,24.059999,381807.0,ENTL
3,2018-01-05,24.01,24.299999,23.99,24.07,24.07,162765.0,ENTL
4,2018-01-08,24.120001,24.41,24.049999,24.360001,24.360001,171304.0,ENTL
5,2018-01-09,24.4,24.48,24.25,24.280001,24.280001,134509.0,ENTL
6,2018-01-10,24.299999,24.299999,24.110001,24.120001,24.120001,132986.0,ENTL
7,2018-01-11,24.200001,24.24,24.1,24.129999,24.129999,314066.0,ENTL
8,2018-01-12,24.15,24.25,24.08,24.129999,24.129999,221459.0,ENTL
9,2018-01-16,24.18,24.23,24.059999,24.07,24.07,216202.0,ENTL
10,2018-01-17,24.1,24.139999,24.040001,24.09,24.09,89332.0,ENTL
11,2018-01-18,24.059999,24.09,24.01,24.059999,24.059999,123480.0,ENTL
12,2018-01-19,24.059999,24.120001,24.040001,24.040001,24.040001,56211.0,ENTL
13,2018-01-22,24.040001,24.07,23.799999,24.049999,24.049999,1114868.0,ENTL
14,2018-01-23,24.07,24.1,23.959999,23.98,23.98,66223.0,ENTL
15,2018-01-24,24.030001,24.030001,23.950001,24.01,24.01,107400.0,ENTL
16,2018-01-25,24.18,24.18,23.98,24.049999,24.049999,107916.0,ENTL
17,2018-01-26,24.1,24.15,24.0,24.15,24.15,58495.0,ENTL
18,2018-01-29,24.1,24.15,23.98,24.059999,24.059999,104544.0,ENTL
19,2018-01-30,24.0,24.15,23.99,24.030001,24.030001,199838.0,ENTL
20,2018-01-31,24.07,24.1,24.02,24.049999,24.049999,55244.0,ENTL
21,2018-02-01,24.02,24.129999,23.98,24.1,24.1,203184.0,ENTL
22,2018-02-02,24.02,24.1,24.02,24.09,24.09,102894.0,ENTL
23,2018-02-05,24.049999,24.1,23.98,23.99,23.99,123695.0,ENTL
24,2018-02-06,23.98,24.059999,23.950001,24.049999,24.049999,229934.0,ENTL
25,2018-02-07,24.02,24.049999,23.969999,24.02,24.02,187432.0,ENTL
26,2018-02-08,24.02,24.02,23.98,23.99,23.99,238374.0,ENTL
27,2018-02-09,24.059999,24.1,23.969999,24.0,24.0,273259.0,ENTL
28,2018-02-12,24.040001,24.09,24.0,24.059999,24.059999,132260.0,ENTL
29,2018-02-13,24.01,24.09,24.01,24.09,24.09,63717.0,ENTL
30,2018-02-14,24.02,24.139999,24.02,24.1,24.1,92269.0,ENTL
31,2018-02-15,24.07,24.110001,24.059999,24.1,24.1,60278.0,ENTL
32,2018-02-16,24.049999,24.1,24.049999,24.059999,24.059999,56133.0,ENTL
33,2018-02-20,24.07,24.1,24.01,24.02,24.02,37266.0,ENTL
34,2018-02-21,24.049999,24.059999,24.0,24.01,24.01,57129.0,ENTL
35,2018-02-22,24.040001,24.040001,24.0,24.01,24.01,36715.0,ENTL
36,2018-02-23,24.01,24.040001,23.98,24.0,24.0,517920.0,ENTL
37,2018-02-26,24.0,24.02,23.99,24.01,24.01,51814.0,ENTL
38,2018-02-27,24.0,24.08,24.0,24.0,24.0,43896.0,ENTL
39,2018-02-28,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
40,2018-03-01,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
41,2018-03-02,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
42,2018-03-05,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
43,2018-03-06,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
44,2018-03-07,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
45,2018-03-08,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
46,2018-03-09,24.0,24.0,24.0,24.0,24.0,0.0,ENTL
47,2018-03-12,,,,,,,ENTL
48,2018-03-13,,,,,,,ENTL
49,2018-03-14,,,,,,,ENTL
