,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,24.0,24.049999,23.549999,23.85,23.331451,64800,LOB
1,2018-01-03,23.75,23.75,23.35,23.6,23.086887,44100,LOB
2,2018-01-04,23.799999,23.799999,23.4,23.5,22.989058,32300,LOB
3,2018-01-05,23.700001,23.9,23.4,23.9,23.380358,50400,LOB
4,2018-01-08,23.75,23.799999,23.5,23.65,23.135796,46600,LOB
5,2018-01-09,23.65,24.6,23.65,24.299999,23.771664,142900,LOB
6,2018-01-10,24.25,24.9,24.1,24.5,23.967318,146200,LOB
7,2018-01-11,24.6,25.0,24.4,24.85,24.309708,97100,LOB
8,2018-01-12,25.0,25.15,24.1,24.75,24.211882,100500,LOB
9,2018-01-16,24.9,25.1,24.1,24.200001,23.673841,61000,LOB
10,2018-01-17,24.35,24.4,24.0,24.25,23.72275,85500,LOB
11,2018-01-18,24.200001,24.225,23.75,23.799999,23.282537,39100,LOB
12,2018-01-19,23.75,23.9,23.549999,23.75,23.233624,122100,LOB
13,2018-01-22,23.700001,24.75,23.6,24.700001,24.16297,89400,LOB
14,2018-01-23,24.549999,24.799999,24.15,24.700001,24.16297,66500,LOB
15,2018-01-24,24.799999,25.15,24.4,24.4,23.869492,76700,LOB
16,2018-01-25,24.9,28.200001,24.9,26.950001,26.364056,558700,LOB
17,2018-01-26,26.950001,27.379999,26.450001,26.5,25.923832,269200,LOB
18,2018-01-29,26.549999,27.15,26.299999,26.4,25.826008,146100,LOB
19,2018-01-30,26.049999,27.0,25.701,26.9,26.315136,108400,LOB
20,2018-01-31,27.0,27.236,26.6,26.9,26.315136,102100,LOB
21,2018-02-01,26.75,27.35,26.450001,27.049999,26.461876,104900,LOB
22,2018-02-02,26.85,27.299999,26.5,27.15,26.559696,151200,LOB
23,2018-02-05,26.85,27.200001,26.15,26.200001,25.630354,112300,LOB
24,2018-02-06,25.75,26.450001,25.4,26.200001,25.630354,151800,LOB
25,2018-02-07,26.0,26.299999,25.575001,26.200001,25.630354,87000,LOB
26,2018-02-08,26.299999,26.35,25.549999,25.575001,25.018946,122000,LOB
27,2018-02-09,25.950001,26.4,25.200001,26.25,25.679266,156300,LOB
28,2018-02-12,26.35,26.450001,25.75,26.15,25.581444,79200,LOB
29,2018-02-13,25.950001,26.6,25.950001,26.549999,25.972748,117800,LOB
30,2018-02-14,26.4,27.200001,26.35,27.1,26.510782,108300,LOB
31,2018-02-15,27.200001,27.694,26.65,26.9,26.315136,138800,LOB
32,2018-02-16,26.799999,27.200001,26.65,27.0,26.412962,133200,LOB
33,2018-02-20,26.75,27.15,26.4,26.6,26.02166,68000,LOB
34,2018-02-21,26.799999,27.6,26.65,26.950001,26.364056,105900,LOB
35,2018-02-22,27.0,27.1,26.15,26.200001,25.630354,75000,LOB
36,2018-02-23,26.4,26.475,26.049999,26.450001,25.904585,76900,LOB
37,2018-02-26,26.450001,26.6,26.25,26.450001,25.904585,129100,LOB
38,2018-02-27,26.450001,26.9,26.049999,26.200001,25.659737,173300,LOB
39,2018-02-28,26.200001,26.35,25.950001,26.1,25.561802,187800,LOB
40,2018-03-01,26.1,26.5,26.0,26.35,25.806644,119600,LOB
