,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-09-29,10.66,12.87,10.56,11.15,11.15,2758500,MEKA
1,2021-09-30,11.83,11.83,11.0,11.05,11.05,617800,MEKA
2,2021-10-01,11.05,11.42,11.0,11.0,11.0,374500,MEKA
3,2021-10-04,11.19,12.0,11.19,11.51,11.51,493900,MEKA
4,2021-10-05,11.6,12.692,11.57,11.9,11.9,119900,MEKA
5,2021-10-06,12.01,13.22,11.51,12.055,12.055,249200,MEKA
6,2021-10-07,12.11,12.62,12.1,12.56,12.56,442300,MEKA
7,2021-10-08,12.51,12.55,11.7,12.37,12.37,74000,MEKA
8,2021-10-11,12.37,12.588,12.1,12.4,12.4,179400,MEKA
9,2021-10-12,12.62,14.0,12.43,12.77,12.77,233700,MEKA
10,2021-10-13,13.08,13.15,12.57,12.7,12.7,138500,MEKA
11,2021-10-14,12.83,12.93,12.16,12.6,12.6,536300,MEKA
12,2021-10-15,12.47,13.24,12.27,12.86,12.86,162800,MEKA
13,2021-10-18,12.61,13.0,12.61,12.9,12.9,113800,MEKA
14,2021-10-19,13.08,13.425,12.74,12.94,12.94,153600,MEKA
15,2021-10-20,13.0,13.2,12.675,12.88,12.88,143200,MEKA
16,2021-10-21,12.7,13.21,12.7,12.81,12.81,111800,MEKA
17,2021-10-22,12.98,13.49,12.82,13.099,13.099,122400,MEKA
18,2021-10-25,13.19,13.27,13.011,13.2,13.2,51700,MEKA
19,2021-10-26,13.33,14.32,12.82,13.11,13.11,187700,MEKA
20,2021-10-27,13.3,13.35,13.0,13.03,13.03,33900,MEKA
21,2021-10-28,13.02,13.34,12.9,13.02,13.02,24300,MEKA
22,2021-10-29,12.97,13.252,12.125,12.55,12.55,66800,MEKA
23,2021-11-01,12.59,13.2,12.369,12.85,12.85,25700,MEKA
24,2021-11-02,12.55,12.9,12.42,12.61,12.61,19200,MEKA
25,2021-11-03,12.73,12.96,12.46,12.87,12.87,58900,MEKA
26,2021-11-04,12.91,13.1,12.675,13.1,13.1,74400,MEKA
27,2021-11-05,13.13,13.35,12.9,13.02,13.02,38400,MEKA
28,2021-11-08,13.5,13.745,12.85,13.01,13.01,119500,MEKA
29,2021-11-09,13.0,13.25,12.63,12.815,12.815,63400,MEKA
30,2021-11-10,12.85,13.065,12.8,12.88,12.88,14100,MEKA
31,2021-11-11,12.89,13.3,12.89,13.3,13.3,42900,MEKA
32,2021-11-12,13.3,13.699,12.995,13.34,13.34,54700,MEKA
33,2021-11-15,13.47,13.59,13.15,13.399,13.399,22000,MEKA
34,2021-11-16,13.33,13.77,13.1,13.26,13.26,50100,MEKA
35,2021-11-17,13.27,13.97,13.12,13.2,13.2,190500,MEKA
36,2021-11-18,13.22,14.55,13.22,13.946,13.946,204400,MEKA
37,2021-11-19,14.08,14.7,13.6,14.35,14.35,50900,MEKA
38,2021-11-22,14.33,14.4,13.56,13.86,13.86,52700,MEKA
39,2021-11-23,13.79,13.82,12.9,12.99,12.99,26800,MEKA
40,2021-11-24,12.9,13.59,12.9,13.18,13.18,29600,MEKA
41,2021-11-26,13.24,13.58,12.89,13.53,13.53,119300,MEKA
42,2021-11-29,13.39,13.527,12.9,12.95,12.95,20700,MEKA
43,2021-11-30,12.97,13.5,12.95,13.04,13.04,69400,MEKA
44,2021-12-01,13.21,13.38,12.64,12.8,12.8,24100,MEKA
45,2021-12-02,13.0,13.0,12.5,12.55,12.55,27100,MEKA
46,2021-12-03,12.69,13.0,11.99,12.1,12.1,55600,MEKA
47,2021-12-06,12.49,12.9,11.81,12.27,12.27,26300,MEKA
48,2021-12-07,12.97,12.97,12.19,12.19,12.19,38600,MEKA
49,2021-12-08,12.39,12.7,12.174,12.7,12.7,3400,MEKA
50,2021-12-09,12.92,12.92,12.165,12.46,12.46,45800,MEKA
51,2021-12-10,12.33,12.72,12.03,12.03,12.03,360100,MEKA
52,2021-12-13,12.1,12.45,12.01,12.19,12.19,31800,MEKA
53,2021-12-14,12.122,12.122,11.91,11.965,11.965,10800,MEKA
54,2021-12-15,11.82,12.169,11.82,11.91,11.91,4700,MEKA
55,2021-12-16,12.091,12.091,11.8,11.8,11.8,8100,MEKA
56,2021-12-17,12.07,12.07,11.35,11.35,11.35,26200,MEKA
57,2021-12-20,11.63,11.72,11.35,11.67,11.67,17000,MEKA
58,2021-12-21,11.54,11.893,11.35,11.35,11.35,4800,MEKA
59,2021-12-22,11.57,11.803,11.37,11.58,11.58,7100,MEKA
60,2021-12-23,11.735,11.75,11.35,11.48,11.48,19700,MEKA
61,2021-12-27,11.57,11.85,11.57,11.75,11.75,3200,MEKA
62,2021-12-28,11.51,13.0,11.51,12.98,12.98,73500,MEKA
63,2021-12-29,12.27,12.82,11.95,11.95,11.95,39900,MEKA
64,2021-12-30,12.36,12.4,12.082,12.16,12.16,13400,MEKA
65,2021-12-31,12.355,12.355,11.56,11.56,11.56,13400,MEKA
