,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-11-04,23.5,34.439999,23.4,28.299999,28.299999,14260600,NRDS
1,2021-11-05,27.91,29.15,25.0,25.889999,25.889999,2129300,NRDS
2,2021-11-08,25.41,25.41,23.129999,23.540001,23.540001,1238800,NRDS
3,2021-11-09,23.02,24.721001,23.0,24.49,24.49,706200,NRDS
4,2021-11-10,24.49,24.66,22.99,23.49,23.49,964100,NRDS
5,2021-11-11,23.120001,25.49,23.02,25.040001,25.040001,500100,NRDS
6,2021-11-12,25.120001,25.66,24.5,24.950001,24.950001,274800,NRDS
7,2021-11-15,24.549999,25.51,24.5,25.0,25.0,338400,NRDS
8,2021-11-16,25.26,26.01,24.530001,25.370001,25.370001,373400,NRDS
9,2021-11-17,25.32,27.219999,24.75,27.09,27.09,508200,NRDS
10,2021-11-18,27.18,27.93,26.01,27.5,27.5,542400,NRDS
11,2021-11-19,27.5,27.700001,26.610001,27.389999,27.389999,233800,NRDS
12,2021-11-22,27.120001,27.49,25.33,27.219999,27.219999,245900,NRDS
13,2021-11-23,27.0,27.25,25.105,25.43,25.43,457500,NRDS
14,2021-11-24,25.4,25.645,21.73,22.59,22.59,547300,NRDS
15,2021-11-26,22.01,23.309999,21.950001,22.620001,22.620001,155600,NRDS
16,2021-11-29,23.879,23.98,20.5,20.65,20.65,860200,NRDS
17,2021-11-30,20.549999,20.73,17.700001,18.08,18.08,1203400,NRDS
18,2021-12-01,18.74,19.405001,16.82,17.719999,17.719999,573600,NRDS
19,2021-12-02,17.719999,17.77,14.6,16.18,16.18,996900,NRDS
20,2021-12-03,16.200001,16.84,14.33,14.54,14.54,567300,NRDS
21,2021-12-06,15.01,15.25,14.0,14.81,14.81,515200,NRDS
22,2021-12-07,15.25,16.200001,14.93,16.1,16.1,689600,NRDS
23,2021-12-08,16.02,16.455,15.32,16.110001,16.110001,319800,NRDS
24,2021-12-09,16.129999,16.686001,15.36,16.02,16.02,221300,NRDS
25,2021-12-10,15.99,16.299999,15.522,16.18,16.18,162800,NRDS
26,2021-12-13,16.129999,16.162001,14.15,14.24,14.24,554300,NRDS
27,2021-12-14,14.3,15.385,14.0,15.11,15.11,330000,NRDS
28,2021-12-15,14.82,15.95,14.37,15.46,15.46,647600,NRDS
29,2021-12-16,15.63,15.94,14.37,14.54,14.54,394800,NRDS
30,2021-12-17,14.37,15.5,13.88,15.07,15.07,1090100,NRDS
31,2021-12-20,15.02,15.51,14.36,15.32,15.32,471800,NRDS
32,2021-12-21,15.34,16.01,14.78,14.96,14.96,598100,NRDS
33,2021-12-22,14.96,15.5,14.61,15.01,15.01,336600,NRDS
34,2021-12-23,14.94,15.45,14.67,15.13,15.13,238500,NRDS
35,2021-12-27,15.05,15.23,14.7,14.83,14.83,117300,NRDS
36,2021-12-28,14.9,14.9,14.33,14.6,14.6,178300,NRDS
37,2021-12-29,14.39,14.98,14.2,14.83,14.83,214100,NRDS
38,2021-12-30,14.77,15.7,14.55,15.56,15.56,214800,NRDS
39,2021-12-31,15.47,15.85,15.11,15.55,15.55,201700,NRDS
