,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,150.0,160.0,145.0,145.0,145.0,3526,PSTV
1,2018-01-03,145.0,145.0,135.0,140.0,140.0,1259,PSTV
2,2018-01-04,140.0,140.0,135.0,135.0,135.0,1106,PSTV
3,2018-01-05,135.0,270.0,135.0,235.0,235.0,15604,PSTV
4,2018-01-08,215.0,240.0,165.0,170.0,170.0,13237,PSTV
5,2018-01-09,190.0,205.0,180.0,180.0,180.0,6367,PSTV
6,2018-01-10,180.0,180.0,155.0,170.0,170.0,3453,PSTV
7,2018-01-11,170.0,210.0,170.0,190.0,190.0,13687,PSTV
8,2018-01-12,200.0,205.0,170.0,175.0,175.0,3843,PSTV
9,2018-01-16,190.0,190.0,180.0,185.0,185.0,2866,PSTV
10,2018-01-17,185.0,190.0,175.0,180.0,180.0,1825,PSTV
11,2018-01-18,180.0,215.0,180.0,210.0,210.0,8633,PSTV
12,2018-01-19,210.0,235.0,200.0,200.0,200.0,12372,PSTV
13,2018-01-22,200.0,210.0,195.0,205.0,205.0,3255,PSTV
14,2018-01-23,205.0,230.0,205.0,210.0,210.0,5870,PSTV
15,2018-01-24,215.0,235.0,210.0,235.0,235.0,4092,PSTV
16,2018-01-25,250.0,260.0,225.0,230.0,230.0,5572,PSTV
17,2018-01-26,225.0,235.0,215.0,220.0,220.0,2117,PSTV
18,2018-01-29,220.0,255.0,220.0,250.0,250.0,8305,PSTV
19,2018-01-30,250.0,250.0,200.0,220.0,220.0,4886,PSTV
20,2018-01-31,220.0,230.0,210.0,210.0,210.0,1912,PSTV
21,2018-02-01,220.0,220.0,190.0,200.0,200.0,2786,PSTV
22,2018-02-02,190.0,195.0,180.0,195.0,195.0,4026,PSTV
23,2018-02-05,195.0,195.0,165.0,170.0,170.0,2454,PSTV
24,2018-02-06,170.0,185.0,165.0,180.0,180.0,1737,PSTV
25,2018-02-07,185.0,185.0,170.0,180.0,180.0,859,PSTV
26,2018-02-08,185.0,185.0,165.0,170.0,170.0,1849,PSTV
27,2018-02-09,170.0,170.0,150.0,160.0,160.0,3643,PSTV
28,2018-02-12,150.0,165.0,150.0,155.0,155.0,1113,PSTV
29,2018-02-13,160.0,160.0,150.0,155.0,155.0,911,PSTV
30,2018-02-14,155.0,185.0,150.0,180.0,180.0,3646,PSTV
31,2018-02-15,180.0,185.0,160.0,165.0,165.0,2999,PSTV
32,2018-02-16,165.0,170.0,160.0,160.0,160.0,2804,PSTV
33,2018-02-20,160.0,165.0,155.0,160.0,160.0,956,PSTV
34,2018-02-21,165.0,175.0,155.0,170.0,170.0,1499,PSTV
35,2018-02-22,170.0,185.0,165.0,180.0,180.0,3004,PSTV
36,2018-02-23,180.0,185.0,170.0,175.0,175.0,955,PSTV
