,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-06,9.66,9.7,9.66,9.7,9.7,1700,RCLF
1,2021-04-07,9.76,9.78,9.76,9.78,9.78,500,RCLF
2,2021-04-08,9.75,9.75,9.75,9.75,9.75,15300,RCLF
3,2021-04-09,9.715,9.715,9.715,9.715,9.715,100,RCLF
4,2021-04-12,9.72,9.72,9.72,9.72,9.72,200,RCLF
5,2021-04-13,9.7,9.73,9.7,9.7,9.7,8800,RCLF
6,2021-04-14,9.77,9.84,9.77,9.77,9.77,18700,RCLF
7,2021-04-15,9.77,9.77,9.77,9.77,9.77,100,RCLF
8,2021-04-16,9.77,9.77,9.77,9.77,9.77,0,RCLF
9,2021-04-19,9.749,9.8,9.749,9.75,9.75,15300,RCLF
10,2021-04-20,9.75,9.75,9.75,9.75,9.75,0,RCLF
11,2021-04-21,9.75,9.75,9.75,9.75,9.75,0,RCLF
12,2021-04-22,9.75,9.75,9.71,9.72,9.72,6000,RCLF
13,2021-04-23,9.7,9.7,9.7,9.7,9.7,20100,RCLF
14,2021-04-26,9.73,9.75,9.73,9.75,9.75,5200,RCLF
15,2021-04-27,9.69,9.7,9.69,9.69,9.69,24600,RCLF
16,2021-04-28,9.75,9.75,9.75,9.75,9.75,2600,RCLF
17,2021-04-29,9.94,9.99,9.7,9.7,9.7,409000,RCLF
18,2021-04-30,9.69,9.73,9.69,9.72,9.72,3700,RCLF
19,2021-05-03,9.72,9.79,9.72,9.79,9.79,6600,RCLF
20,2021-05-04,9.8,9.81,9.8,9.8,9.8,57400,RCLF
21,2021-05-05,9.791,9.8,9.75,9.77,9.77,113000,RCLF
22,2021-05-06,9.87,9.87,9.75,9.75,9.75,16000,RCLF
23,2021-05-07,9.76,9.76,9.75,9.75,9.75,3700,RCLF
24,2021-05-10,9.734,9.734,9.734,9.734,9.734,300,RCLF
25,2021-05-11,9.71,9.74,9.71,9.74,9.74,1400,RCLF
26,2021-05-12,9.73,9.73,9.73,9.73,9.73,200,RCLF
27,2021-05-13,9.7,9.7,9.7,9.7,9.7,100,RCLF
28,2021-05-14,9.74,9.85,9.74,9.85,9.85,1800,RCLF
29,2021-05-17,9.73,9.73,9.69,9.69,9.69,12700,RCLF
30,2021-05-18,9.69,9.69,9.69,9.69,9.69,0,RCLF
31,2021-05-19,9.7,9.7,9.7,9.7,9.7,4100,RCLF
32,2021-05-20,9.668,9.7,9.615,9.615,9.615,6600,RCLF
33,2021-05-21,9.62,9.7,9.62,9.7,9.7,4300,RCLF
34,2021-05-24,9.7,9.7,9.7,9.7,9.7,0,RCLF
35,2021-05-25,9.7,9.7,9.65,9.65,9.65,10200,RCLF
36,2021-05-26,9.7,9.71,9.64,9.64,9.64,8100,RCLF
37,2021-05-27,9.68,9.7,9.63,9.63,9.63,45800,RCLF
38,2021-05-28,9.63,9.67,9.62,9.63,9.63,6700,RCLF
39,2021-06-01,9.655,9.8,9.655,9.7,9.7,23900,RCLF
40,2021-06-02,9.65,9.65,9.64,9.64,9.64,2200,RCLF
41,2021-06-03,9.64,9.67,9.63,9.65,9.65,7400,RCLF
42,2021-06-04,9.64,9.65,9.62,9.64,9.64,20500,RCLF
43,2021-06-07,9.64,9.64,9.64,9.64,9.64,0,RCLF
44,2021-06-08,9.63,9.655,9.63,9.655,9.655,100400,RCLF
45,2021-06-09,9.67,9.68,9.67,9.68,9.68,2200,RCLF
46,2021-06-10,9.7,9.7,9.7,9.7,9.7,1600,RCLF
47,2021-06-11,9.72,9.72,9.72,9.72,9.72,100,RCLF
48,2021-06-14,9.69,9.691,9.69,9.691,9.691,2100,RCLF
49,2021-06-15,9.691,9.691,9.691,9.691,9.691,0,RCLF
50,2021-06-16,9.691,9.691,9.691,9.691,9.691,0,RCLF
51,2021-06-17,9.7,9.8,9.68,9.69,9.69,41800,RCLF
52,2021-06-18,9.67,9.67,9.642,9.67,9.67,22000,RCLF
53,2021-06-21,9.695,9.695,9.695,9.695,9.695,600,RCLF
54,2021-06-22,9.68,9.71,9.68,9.7,9.7,3100,RCLF
55,2021-06-23,9.72,9.72,9.7,9.7,9.7,1400,RCLF
56,2021-06-24,9.702,9.702,9.702,9.702,9.702,200,RCLF
57,2021-06-25,9.695,9.7,9.695,9.7,9.7,2100,RCLF
58,2021-06-28,9.65,9.69,9.65,9.69,9.69,13200,RCLF
59,2021-06-29,9.7,9.7,9.63,9.66,9.66,128700,RCLF
60,2021-06-30,9.69,9.7,9.68,9.7,9.7,3400,RCLF
61,2021-07-01,9.68,9.7,9.64,9.7,9.7,68000,RCLF
62,2021-07-02,9.71,9.71,9.67,9.67,9.67,2000,RCLF
63,2021-07-06,9.7,9.7,9.7,9.7,9.7,200,RCLF
64,2021-07-07,9.7,9.7,9.7,9.7,9.7,0,RCLF
65,2021-07-08,9.7,9.7,9.7,9.7,9.7,0,RCLF
66,2021-07-09,9.65,9.65,9.65,9.65,9.65,1700,RCLF
67,2021-07-12,9.71,9.71,9.7,9.7,9.7,1000,RCLF
68,2021-07-13,9.7,9.7,9.7,9.7,9.7,0,RCLF
69,2021-07-14,9.7,9.7,9.7,9.7,9.7,100,RCLF
70,2021-07-15,9.675,9.675,9.65,9.65,9.65,2500,RCLF
71,2021-07-16,9.662,9.662,9.662,9.662,9.662,600,RCLF
72,2021-07-19,9.662,9.662,9.662,9.662,9.662,0,RCLF
73,2021-07-20,9.662,9.662,9.662,9.662,9.662,100,RCLF
74,2021-07-21,9.662,9.662,9.662,9.662,9.662,0,RCLF
75,2021-07-22,9.662,9.662,9.662,9.662,9.662,0,RCLF
76,2021-07-23,9.662,9.662,9.662,9.662,9.662,0,RCLF
77,2021-07-26,9.662,9.662,9.662,9.662,9.662,0,RCLF
78,2021-07-27,9.63,9.85,9.63,9.85,9.85,8200,RCLF
79,2021-07-28,9.66,9.66,9.66,9.66,9.66,1400,RCLF
80,2021-07-29,9.66,9.66,9.66,9.66,9.66,0,RCLF
81,2021-07-30,9.66,9.66,9.66,9.66,9.66,0,RCLF
82,2021-08-02,9.73,9.79,9.65,9.65,9.65,3600,RCLF
83,2021-08-03,9.675,9.675,9.675,9.675,9.675,175000,RCLF
84,2021-08-04,9.68,9.68,9.68,9.68,9.68,900,RCLF
85,2021-08-05,9.7,9.715,9.68,9.715,9.715,3700,RCLF
86,2021-08-06,9.715,9.715,9.715,9.715,9.715,0,RCLF
87,2021-08-09,9.715,9.715,9.715,9.715,9.715,0,RCLF
88,2021-08-10,9.68,9.68,9.65,9.65,9.65,10800,RCLF
89,2021-08-11,9.69,9.69,9.67,9.67,9.67,300,RCLF
90,2021-08-12,9.68,9.68,9.68,9.68,9.68,200,RCLF
91,2021-08-13,9.63,9.63,9.63,9.63,9.63,500,RCLF
92,2021-08-16,9.63,9.63,9.63,9.63,9.63,0,RCLF
93,2021-08-17,9.67,9.7,9.67,9.698,9.698,1200,RCLF
94,2021-08-18,9.69,9.69,9.67,9.67,9.67,300,RCLF
95,2021-08-19,9.64,9.67,9.64,9.67,9.67,1100,RCLF
96,2021-08-20,9.67,9.67,9.67,9.67,9.67,0,RCLF
97,2021-08-23,9.67,9.71,9.67,9.71,9.71,500,RCLF
98,2021-08-24,9.71,9.71,9.71,9.71,9.71,0,RCLF
99,2021-08-25,9.701,9.701,9.647,9.68,9.68,23400,RCLF
100,2021-08-26,9.68,9.68,9.68,9.68,9.68,0,RCLF
101,2021-08-27,9.68,9.68,9.68,9.68,9.68,0,RCLF
102,2021-08-30,9.68,9.68,9.68,9.68,9.68,0,RCLF
103,2021-08-31,9.67,9.7,9.67,9.7,9.7,25900,RCLF
104,2021-09-01,9.7,9.71,9.67,9.7,9.7,4000,RCLF
105,2021-09-02,9.7,9.7,9.7,9.7,9.7,1400,RCLF
106,2021-09-03,9.7,9.7,9.7,9.7,9.7,0,RCLF
107,2021-09-07,9.73,9.73,9.63,9.675,9.675,12800,RCLF
108,2021-09-08,9.675,9.675,9.675,9.675,9.675,0,RCLF
109,2021-09-09,9.64,9.72,9.64,9.68,9.68,41400,RCLF
110,2021-09-10,9.68,9.68,9.68,9.68,9.68,0,RCLF
111,2021-09-13,9.68,9.705,9.67,9.705,9.705,13400,RCLF
112,2021-09-14,9.67,9.71,9.67,9.7,9.7,11500,RCLF
113,2021-09-15,9.7,9.7,9.7,9.7,9.7,0,RCLF
114,2021-09-16,9.7,9.705,9.69,9.7,9.7,37500,RCLF
115,2021-09-17,9.7,9.7,9.7,9.7,9.7,0,RCLF
116,2021-09-20,9.7,9.7,9.7,9.7,9.7,0,RCLF
117,2021-09-21,9.7,9.7,9.7,9.7,9.7,0,RCLF
118,2021-09-22,9.68,9.73,9.68,9.73,9.73,12900,RCLF
119,2021-09-23,9.7,9.75,9.7,9.7,9.7,153700,RCLF
120,2021-09-24,9.65,9.73,9.65,9.695,9.695,4200,RCLF
121,2021-09-27,9.67,9.715,9.65,9.715,9.715,5300,RCLF
122,2021-09-28,9.65,9.71,9.65,9.7,9.7,15700,RCLF
123,2021-09-29,9.7,9.72,9.7,9.7,9.7,2100,RCLF
124,2021-09-30,9.7,9.72,9.7,9.71,9.71,15700,RCLF
125,2021-10-01,9.71,9.75,9.7,9.74,9.74,17800,RCLF
126,2021-10-04,9.7,9.75,9.7,9.75,9.75,500,RCLF
127,2021-10-05,9.73,9.75,9.72,9.75,9.75,47800,RCLF
128,2021-10-06,9.72,9.72,9.67,9.72,9.72,30100,RCLF
129,2021-10-07,9.72,9.72,9.72,9.72,9.72,0,RCLF
130,2021-10-08,9.72,9.72,9.72,9.72,9.72,0,RCLF
131,2021-10-11,9.75,9.79,9.72,9.77,9.77,390300,RCLF
132,2021-10-12,9.77,9.79,9.75,9.77,9.77,209200,RCLF
133,2021-10-13,9.75,9.78,9.73,9.73,9.73,66900,RCLF
134,2021-10-14,9.77,9.78,9.73,9.73,9.73,25900,RCLF
135,2021-10-15,9.77,9.77,9.73,9.76,9.76,5600,RCLF
136,2021-10-18,9.73,9.77,9.72,9.76,9.76,24300,RCLF
137,2021-10-19,9.76,9.76,9.76,9.76,9.76,0,RCLF
138,2021-10-20,9.73,9.76,9.72,9.72,9.72,11800,RCLF
139,2021-10-21,9.72,9.72,9.72,9.72,9.72,0,RCLF
140,2021-10-22,9.74,9.77,9.74,9.76,9.76,37300,RCLF
141,2021-10-25,9.73,9.74,9.67,9.71,9.71,147700,RCLF
142,2021-10-26,9.71,9.78,9.71,9.78,9.78,242400,RCLF
143,2021-10-27,9.75,9.75,9.69,9.72,9.72,95600,RCLF
144,2021-10-28,9.72,9.74,9.71,9.72,9.72,74400,RCLF
145,2021-10-29,9.71,9.73,9.71,9.72,9.72,69900,RCLF
146,2021-11-01,9.74,9.74,9.72,9.72,9.72,9400,RCLF
147,2021-11-02,9.73,9.75,9.73,9.74,9.74,14900,RCLF
148,2021-11-03,9.73,9.75,9.73,9.75,9.75,21800,RCLF
149,2021-11-04,9.73,9.74,9.72,9.73,9.73,5200,RCLF
150,2021-11-05,9.73,9.73,9.72,9.73,9.73,7100,RCLF
151,2021-11-08,9.729,9.78,9.725,9.78,9.78,53800,RCLF
152,2021-11-09,9.76,9.79,9.76,9.79,9.79,188900,RCLF
153,2021-11-10,9.91,9.92,9.83,9.85,9.85,2435100,RCLF
154,2021-11-11,9.87,9.87,9.83,9.85,9.85,212300,RCLF
155,2021-11-12,9.83,9.89,9.83,9.85,9.85,581200,RCLF
156,2021-11-15,9.89,9.89,9.84,9.85,9.85,304800,RCLF
157,2021-11-16,9.85,9.88,9.85,9.85,9.85,26000,RCLF
158,2021-11-17,9.85,9.88,9.83,9.85,9.85,90600,RCLF
159,2021-11-18,9.86,9.86,9.85,9.85,9.85,106200,RCLF
160,2021-11-19,9.86,9.86,9.84,9.86,9.86,17900,RCLF
161,2021-11-22,9.86,9.87,9.85,9.85,9.85,69400,RCLF
162,2021-11-23,9.852,9.865,9.85,9.86,9.86,157800,RCLF
