,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-04 16:51:53,2022-03-04,ABCL,Montalbano John S.,Dir,P - Purchase,$8.54,10000,61000,+20%,"+$85,400",,,,,ABCL
1,,2022-03-03 12:06:01,2022-03-01,ABCL,Montalbano John S.,Dir,P - Purchase,$9.05,20000,51000,+65%,"+$181,000",,,,,ABCL
2,,2022-03-01 19:49:14,2022-02-28,ABCL,Lecault Veronique,COO,P - Purchase,$8.66,230789,9060340,+3%,"+$1,998,633",,,,,ABCL
3,D,2022-02-25 13:50:48,2022-02-22,ABCL,Hansen Carl L. G.,"CEO, 10%",M - OptEx,$2.70,56125,54087915,0%,"+$151,538",,,,,ABCL
4,D,2021-12-10 17:00:14,2021-12-10,ABCL,Booth Andrew,CFO,M - OptEx,$0.32,500000,684459,+271%,"+$160,000",,,,,ABCL
5,D,2021-12-09 17:49:52,2021-12-08,ABCL,Lecault Veronique,COO,M - OptEx,$0.19,250000,9079551,+3%,"+$47,500",,,,,ABCL
6,,2021-12-07 15:17:31,2021-12-03,ABCL,Lo Andrew,Dir,P - Purchase,$14.02,86938,86938,New,"+$1,218,871",,,,,ABCL
7,AD,2021-12-03 17:47:51,2021-11-30,ABCL,Lecault Veronique,COO,M - OptEx,$0.19,83333,8912884,+1%,"+$15,833",,,,,ABCL
8,D,2021-12-02 14:16:59,2021-11-30,ABCL,Lecault Veronique,COO,M - OptEx,$14.96,83333,8912884,+1%,"+$1,246,662",,,,,ABCL
9,D,2021-11-22 17:03:00,2021-11-18,ABCL,Hansen Carl L. G.,"CEO, 10%",M - OptEx,$15.03,224500,56265290,0%,"+$3,374,235",,,,,ABCL
10,,2021-11-15 06:05:16,2021-11-11,ABCL,Booth Andrew,CFO,P - Purchase,$14.71,67500,184459,+58%,"+$993,130",,,,,ABCL
11,,2021-11-15 06:05:11,2021-11-11,ABCL,Thermopylae Holdings Ltd.,10%,P - Purchase,$14.76,202960,55807290,0%,"+$2,995,913",,,,,ABCL
12,D,2021-09-15 16:12:38,2021-09-13,ABCL,Hayden Michael R,Dir,M - OptEx,$17.73,270000,1391642,+24%,"+$4,787,100",,,,,ABCL
13,D,2021-09-03 16:18:57,2021-09-01,ABCL,Falconer Ester,CTO,M - OptEx,$16.89,875000,875000,New,"+$14,778,750",,,,,ABCL
14,M,2021-09-02 18:12:34,2021-08-31,ABCL,Hamer John,Dir,S - Sale,$16.94,-300000,14734623,-2%,"-$5,082,253",,,,,ABCL
15,,2021-08-17 17:47:37,2021-08-16,ABCL,Montalbano John S.,Dir,P - Purchase,$17.23,6000,31000,+24%,"+$103,380",,,,,ABCL
16,,2021-06-22 18:50:49,2021-06-22,ABCL,Hayden Michael R,Dir,S - Sale,$25.50,-100000,1121642,-8%,"-$2,550,000",,,,,ABCL
17,D,2021-06-16 20:00:11,2021-06-15,ABCL,Lecault Veronique,COO,M - OptEx,$0.19,333333,8829551,+4%,"+$63,333",,,,,ABCL
18,,2021-06-10 17:14:37,2021-06-09,ABCL,Thermopylae Holdings Ltd.,10%,S - Sale,$24.03,-5598420,55604330,-9%,"-$134,530,033",,,,,ABCL
19,,2021-06-10 17:11:35,2021-06-09,ABCL,Hansen Carl L. G.,"CEO, 10%",S - Sale,$24.13,-6000000,233500,-96%,"-$144,770,323",,,,,ABCL
20,,2021-06-10 17:01:34,2021-06-09,ABCL,Lecault Veronique,COO,S - Sale,$25.50,-1000000,8496218,-11%,"-$25,500,000",,,,,ABCL
21,,2021-06-10 17:01:04,2021-06-09,ABCL,Stimart Tryn,GC,S - Sale,$25.50,-1000000,500,-100%,"-$25,500,000",,,,,ABCL
22,,2021-06-10 17:00:54,2021-06-09,ABCL,Falconer Ester,CTO,S - Sale,$25.50,-1000000,0,-100%,"-$25,500,000",,,,,ABCL
23,,2021-06-10 17:00:48,2021-06-09,ABCL,Booth Andrew,CFO,S - Sale,$25.50,-1200000,116959,-91%,"-$30,600,000",,,,,ABCL
24,D,2021-06-09 20:30:37,2021-06-07,ABCL,Stimart Tryn,GC,M - OptEx,$0.82,1000000,1000500,>999%,"+$815,000",,,,,ABCL
25,D,2021-06-09 20:30:27,2021-06-07,ABCL,Booth Andrew,CFO,M - OptEx,$0.26,1200000,1316959,>999%,"+$306,000",,,,,ABCL
26,D,2021-04-23 20:00:13,2021-03-19,ABCL,Falconer Ester,CTO,M - OptEx,$0.03,1000000,1000000,New,"+$34,300",,,,,ABCL
27,D,2020-12-17 20:45:44,2020-12-15,ABCL,"Dcvc Bio, L.P.",10%,C - Converted deriv,$0.00,29105761,29105761,-50%,$0,,,,,ABCL
28,D,2020-12-17 20:38:00,2020-12-15,ABCL,Thiel Peter,Dir,P - Purchase,$20.00,3000000,24660,-101%,"+$60,000,000",,,,,ABCL
29,D,2020-12-17 20:38:00,2020-12-15,ABCL,Thiel Peter,Dir,C - Converted deriv,$0.00,10468907,24660,-100%,$0,,,,,ABCL
30,D,2020-12-17 20:35:20,2020-12-15,ABCL,Hamer John,"Dir, 10%",C - Converted deriv,$0.00,29105761,29105761,-50%,$0,,,,,ABCL
