,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-02-25 15:00:40,2022-02-23,ADIL,Stilley William B. III,CEO,A - Grant,$0.00,250000,1187646,+27%,+$0,,,,,ADIL
1,,2022-01-03 10:39:28,2021-12-30,ADIL,Newman James W. Jr.,Dir,P - Purchase,$2.69,25000,338463,+8%,"+$67,300",,,,,ADIL
2,D,2021-12-23 17:04:52,2021-12-23,ADIL,Schuyler Kevin,"Dir, 10%",G - Gift,$0.00,-312990,147242,-68%,-$0,,,,,ADIL
3,M,2021-12-01 09:25:37,2021-11-29,ADIL,Stilley William B. III,"CEO, 10%",P - Purchase,$2.67,20600,937646,+2%,"+$55,071",,,,,ADIL
4,,2021-11-30 09:25:43,2021-11-26,ADIL,Newman James W. Jr.,Dir,P - Purchase,$2.85,10000,313463,+3%,"+$28,500",,,,,ADIL
5,D,2021-10-06 17:22:19,2021-10-04,ADIL,Johnson Bankole A.,Chief Medical Officer,S - Sale+OE,$0.00,-200000,148246,-57%,-$0,,,,,ADIL
6,,2021-04-08 21:47:32,2021-04-06,ADIL,Johnson Bankole A.,Chief Medical Officer,S - Sale,$2.50,-150000,724474,-17%,"-$375,000",,,,,ADIL
7,,2021-01-28 19:45:34,2021-01-26,ADIL,Stilley William B. III,"CEO, 10%",A - Grant,$0.00,201109,917046,+28%,+$0,,,,,ADIL
8,,2021-01-28 19:44:25,2021-01-26,ADIL,Newman James W. Jr.,Dir,A - Grant,$0.00,3731,273463,+1%,+$0,,,,,ADIL
9,AD,2020-11-25 16:50:03,2018-07-31,ADIL,Schuyler Kevin,Dir,P - Purchase,$0.00,90000,457190,+25%,+$0,,,,,ADIL
10,,2020-08-24 16:59:08,2020-08-20,ADIL,Johnson Bankole A.,Chief Medical Officer,S - Sale,$1.21,-350000,874474,-29%,"-$423,500",,,,,ADIL
11,,2020-03-30 09:23:54,2020-03-27,ADIL,Newman James W. Jr.,Dir,P - Purchase,$1.36,19644,269732,+8%,"+$26,769",,,,,ADIL
12,M,2020-03-27 06:03:33,2020-03-25,ADIL,Stilley William B. III,"CEO, 10%",P - Purchase,$1.30,25000,715937,+4%,"+$32,552",,,,,ADIL
13,D,2020-03-05 19:20:46,2020-03-03,ADIL,Stilley William B. III,"CEO, 10%",A - Grant,$0.00,54167,690937,+9%,+$0,,,,,ADIL
14,D,2020-03-05 19:19:59,2020-03-03,ADIL,Truluck Joseph,CFO,A - Grant,$0.00,27084,107639,+34%,+$0,,,,,ADIL
15,,2019-12-13 21:00:40,2019-12-12,ADIL,Johnson Bankole A.,"Chief Medical Officer, 10%",S - Sale,$1.00,-150000,1224474,-11%,"-$150,000",,,,,ADIL
16,,2019-10-04 17:01:05,2019-10-02,ADIL,Johnson Bankole A.,"Chief Medical Officer, 10%",A - Grant,$0.00,3187,1374474,0%,+$0,,,,,ADIL
17,DM,2019-04-01 16:57:44,2019-03-28,ADIL,Johnson Bankole A.,"Chief Medical Officer, 10%",P - Purchase,$3.29,73100,1371287,+6%,"+$240,609",,,,,ADIL
18,D,2018-08-02 16:16:40,2018-07-31,ADIL,Truluck Joseph,CFO,C - Converted deriv,$0.00,5927,80555,-7%,$0,,,,,ADIL
19,D,2018-08-02 16:14:33,2018-07-31,ADIL,Stilley William B. III,"CEO, 10%",P - Purchase,$0.00,80000,636141,+14%,+$0,,,,,ADIL
20,D,2018-08-02 16:14:33,2018-07-31,ADIL,Stilley William B. III,"CEO, 10%",C - Converted deriv,$0.00,52227,636141,-8%,$0,,,,,ADIL
21,D,2018-08-02 16:11:52,2018-07-31,ADIL,Schuyler Kevin,Dir,P - Purchase,$0.00,90000,460232,+24%,+$0,,,,,ADIL
22,D,2018-08-02 16:11:52,2018-07-31,ADIL,Schuyler Kevin,Dir,C - Converted deriv,$0.00,82461,460232,-15%,$0,,,,,ADIL
23,D,2018-08-02 16:10:35,2018-07-31,ADIL,Newman James W. Jr.,Dir,P - Purchase,$0.00,20000,246673,+9%,+$0,,,,,ADIL
24,D,2018-08-02 16:10:35,2018-07-31,ADIL,Newman James W. Jr.,Dir,C - Converted deriv,$0.00,56824,246673,-19%,$0,,,,,ADIL
25,D,2018-08-02 16:08:21,2018-07-31,ADIL,Johnson Bankole A.,"Dir, 10%",P - Purchase,$0.00,1400,1298106,0%,+$0,,,,,ADIL
26,D,2018-08-02 16:08:21,2018-07-31,ADIL,Johnson Bankole A.,"Dir, 10%",C - Converted deriv,$0.44,153114,1298106,-11%,"$67,370",,,,,ADIL
27,D,2018-08-02 16:08:21,2018-07-31,ADIL,Johnson Bankole A.,"Dir, 10%",A - Grant,$0.00,40382,1298106,+3%,+$0,,,,,ADIL
28,D,2018-08-02 16:06:10,2018-07-31,ADIL,Goodman Tony,Dir,P - Purchase,$0.00,7000,8755,+399%,+$0,,,,,ADIL
29,D,2018-08-02 16:03:09,2018-07-31,ADIL,Gilliland Robertson H.,Dir,C - Converted deriv,$0.00,29931,109424,-21%,$0,,,,,ADIL
30,D,2018-08-02 16:03:09,2018-07-31,ADIL,Gilliland Robertson H.,Dir,P - Purchase,$0.00,14000,109424,+15%,+$0,,,,,ADIL
