,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-07 08:20:34,2022-03-03,AMWD,Tang Vance W,Dir,G - Gift,$0.00,-156,47594,0%,-$0,,,,,AMWD
1,M,2022-03-03 12:47:08,2022-03-01,AMWD,Tang Vance W,Dir,G - Gift,$0.00,-1000,47750,-2%,-$0,,,,,AMWD
2,,2022-03-03 12:47:08,2022-03-01,AMWD,Tang Vance W,Dir,P - Purchase,$52.95,10000,47750,+26%,"+$529,500",,,,,AMWD
3,,2022-03-03 11:53:03,2022-03-01,AMWD,Culbreth Michael Scott,"Pres, CEO",P - Purchase,$53.86,2000,39814,+5%,"+$107,713",,,,,AMWD
4,,2022-03-03 11:44:29,2022-03-01,AMWD,Joachimczyk Paul,"VP, CFO",P - Purchase,$54.71,2031,5441,+60%,"+$111,116",,,,,AMWD
5,,2021-12-21 08:40:52,2021-12-20,AMWD,Culbreth Michael Scott,"Pres, CEO",P - Purchase,$57.96,2000,37814,+6%,"+$115,910",,,,,AMWD
6,,2021-12-01 08:28:59,2021-11-30,AMWD,Tang Vance W,Dir,P - Purchase,$62.10,5000,38750,+15%,"+$310,500",,,,,AMWD
7,,2021-11-30 08:31:38,2021-11-29,AMWD,Tang Vance W,Dir,P - Purchase,$65.10,6000,33750,+22%,"+$390,600",,,,,AMWD
8,,2021-09-16 13:38:26,2021-09-14,AMWD,Tang Vance W,Dir,P - Purchase,$66.06,6000,27750,+28%,"+$396,360",,,,,AMWD
9,,2021-08-27 15:04:49,2021-08-26,AMWD,Davis James G,Dir,A - Grant,$0.00,1290,24833,+5%,+$0,,,,,AMWD
10,,2021-08-27 15:02:17,2021-08-26,AMWD,Hayes Martha M,Dir,A - Grant,$0.00,1290,45920,+3%,+$0,,,,,AMWD
11,,2021-08-27 15:00:44,2021-08-26,AMWD,Moerdyk Carol B,Dir,A - Grant,$0.00,1290,20620,+7%,+$0,,,,,AMWD
12,,2021-08-27 14:59:14,2021-08-26,AMWD,Videtto Emily Cavanagh,Dir,A - Grant,$0.00,1290,1290,New,+$0,,,,,AMWD
13,,2021-08-27 14:57:48,2021-08-26,AMWD,Hendrix Daniel T,Dir,A - Grant,$0.00,1290,7930,+19%,+$0,,,,,AMWD
14,,2021-08-27 14:55:22,2021-08-26,AMWD,Tang Vance W,Dir,A - Grant,$0.00,1290,21750,+6%,+$0,,,,,AMWD
15,,2021-08-27 14:53:15,2021-08-26,AMWD,Cogan Andrew B,Dir,A - Grant,$0.00,1290,9272,+16%,+$0,,,,,AMWD
16,,2021-08-27 14:49:35,2021-08-26,AMWD,Rodriguez David A,Dir,A - Grant,$0.00,1290,1877,+220%,+$0,,,,,AMWD
17,,2021-06-08 15:49:00,2021-06-04,AMWD,Adams Robert J Jr,"SVP Manuf, Tech Operations",F - Tax,$84.70,-2004,18596,-10%,"-$169,739",,,,,AMWD
18,,2021-06-08 15:47:08,2021-06-04,AMWD,Culbreth Michael Scott,"Pres, CEO",F - Tax,$84.70,-2618,35814,-7%,"-$221,745",,,,,AMWD
19,,2021-06-04 15:38:25,2021-06-02,AMWD,Joachimczyk Paul,"VP, CFO",A - Grant,$85.59,1740,3410,+104%,"+$148,927",,,,,AMWD
20,,2021-06-04 15:36:31,2021-06-02,AMWD,May Teresa M,"SVP, CMO",A - Grant,$85.59,1953,6659,+42%,"+$167,157",,,,,AMWD
21,,2021-06-04 15:34:27,2021-06-02,AMWD,Adams Robert J Jr,"SVP Manuf, Tech Operations",A - Grant,$85.59,2275,20600,+12%,"+$194,717",,,,,AMWD
22,,2021-06-04 15:33:05,2021-06-02,AMWD,Culbreth Michael Scott,"Pres, CEO",A - Grant,$85.59,9093,38432,+31%,"+$778,270",,,,,AMWD
23,,2021-05-26 16:33:51,2021-05-24,AMWD,Culbreth Michael Scott,"Pres, CEO",A - Grant,$0.00,6738,29339,+30%,+$0,,,,,AMWD
24,,2021-05-26 16:31:43,2021-05-24,AMWD,May Teresa M,"SVP, CMO",A - Grant,$0.00,1299,4706,+38%,+$0,,,,,AMWD
25,,2021-05-26 16:29:08,2021-05-24,AMWD,Joachimczyk Paul,"VP, CFO",A - Grant,$0.00,481,1670,+40%,+$0,,,,,AMWD
26,,2021-05-26 16:27:03,2021-05-24,AMWD,Adams Robert J Jr,"SVP Manuf, Tech Operations",A - Grant,$0.00,4340,18325,+31%,+$0,,,,,AMWD
27,,2021-03-11 13:44:25,2021-03-10,AMWD,Tang Vance W,Dir,S - Sale,$101.00,-1470,20460,-7%,"-$148,470",,,,,AMWD
28,,2020-09-17 08:55:32,2020-09-16,AMWD,Rodriguez David A,Dir,P - Purchase,$86.27,587,587,New,"+$50,640",,,,,AMWD
29,,2020-09-16 08:43:31,2020-09-15,AMWD,Hendrix Daniel T,Dir,S - Sale,$85.61,-4175,6640,-39%,"-$357,404",,,,,AMWD
30,,2020-08-21 15:51:00,2020-08-20,AMWD,Hayes Martha M,Dir,A - Grant,$0.00,1640,44630,+4%,+$0,,,,,AMWD
31,,2020-08-21 15:49:52,2020-08-20,AMWD,Moerdyk Carol B,Dir,A - Grant,$0.00,1640,19330,+9%,+$0,,,,,AMWD
32,,2020-08-21 15:47:22,2020-08-20,AMWD,Davis James G,Dir,A - Grant,$0.00,1640,23543,+7%,+$0,,,,,AMWD
33,,2020-08-21 15:46:04,2020-08-20,AMWD,Tang Vance W,Dir,A - Grant,$0.00,1640,21930,+8%,+$0,,,,,AMWD
34,,2020-08-21 15:42:32,2020-08-20,AMWD,Hendrix Daniel T,Dir,A - Grant,$0.00,1640,10815,+18%,+$0,,,,,AMWD
35,,2020-08-21 15:41:18,2020-08-20,AMWD,Cogan Andrew B,Dir,A - Grant,$0.00,1640,7982,+26%,+$0,,,,,AMWD
36,M,2020-06-12 14:59:33,2020-06-08,AMWD,Tang Vance W,Dir,P - Purchase,$72.08,6000,20290,+42%,"+$432,469",,,,,AMWD
37,,2020-06-12 14:53:27,2020-06-05,AMWD,Cogan Andrew B,Dir,G - Gift,$0.00,-648,6342,-9%,-$0,,,,,AMWD
38,,2020-06-03 18:57:26,2020-06-01,AMWD,Culbreth Michael Scott,"SVP, CFO",A - Grant,$64.78,6895,22601,+44%,"+$446,658",,,,,AMWD
39,,2020-06-03 18:57:26,2020-06-02,AMWD,Culbreth Michael Scott,"SVP, CFO",F - Tax,$66.13,-1221,22601,-5%,"-$80,745",,,,,AMWD
40,,2020-06-03 18:55:45,2020-06-01,AMWD,Dunston Steven Cary,"Pres, C.E.O.",A - Grant,$64.78,21245,83942,+34%,"+$1,376,251",,,,,AMWD
41,,2020-06-03 18:55:45,2020-06-02,AMWD,Dunston Steven Cary,"Pres, C.E.O.",F - Tax,$66.13,-3327,83942,-4%,"-$220,015",,,,,AMWD
42,,2020-06-03 18:53:45,2020-06-01,AMWD,Adams Robert J Jr,SVP Value Stream Operations,A - Grant,$64.78,4015,13985,+40%,"+$260,092",,,,,AMWD
43,,2020-06-03 18:53:45,2020-06-02,AMWD,Adams Robert J Jr,SVP Value Stream Operations,F - Tax,$66.13,-965,13985,-6%,"-$63,815",,,,,AMWD
44,,2020-06-03 18:52:05,2020-06-01,AMWD,May Teresa M,"SVP, CMO",A - Grant,$64.78,3031,3407,+806%,"+$196,348",,,,,AMWD
45,,2020-06-03 18:49:57,2020-06-01,AMWD,Campbell Roger Perry,"SVP Sales, Commercial Ops",A - Grant,$64.78,4109,17444,+31%,"+$266,181",,,,,AMWD
46,,2020-06-03 18:49:57,2020-06-02,AMWD,Campbell Roger Perry,"SVP Sales, Commercial Ops",F - Tax,$66.13,-1118,17444,-6%,"-$73,933",,,,,AMWD
47,,2020-05-22 14:07:06,2020-05-21,AMWD,Campbell Roger Perry,"SVP, GM New Construction",A - Grant,$0.00,1672,14453,+13%,+$0,,,,,AMWD
48,,2020-05-22 14:05:41,2020-05-21,AMWD,Adams Robert J Jr,SVP Value Stream Operations,A - Grant,$0.00,1542,10935,+16%,+$0,,,,,AMWD
49,,2020-05-22 14:03:47,2020-05-21,AMWD,Culbreth Michael Scott,"SVP, CFO",A - Grant,$0.00,2139,16927,+14%,+$0,,,,,AMWD
50,,2020-05-22 14:01:46,2020-05-21,AMWD,Dunston Steven Cary,"Pres, C.E.O.",A - Grant,$0.00,5541,66024,+9%,+$0,,,,,AMWD
51,D,2020-01-15 14:07:01,2020-01-14,AMWD,Adams Robert J Jr,SVP Value Stream Operations,M - OptEx,$57.11,3700,9393,+65%,"+$211,307",,,,,AMWD
52,D,2020-01-15 14:07:01,2020-01-14,AMWD,Adams Robert J Jr,SVP Value Stream Operations,S - Sale+OE,$110.00,-3700,9393,-28%,"-$407,000",,,,,AMWD
53,,2019-12-19 12:16:06,2019-12-16,AMWD,Dunston Steven Cary,"Pres, C.E.O.",G - Gift,$0.00,-1500,60483,-2%,-$0,,,,,AMWD
54,,2019-10-28 08:27:03,2019-10-25,AMWD,Adams Robert J Jr,SVP Value Stream Operations,S - Sale,$100.00,-2052,9393,-18%,"-$205,200",,,,,AMWD
55,D,2019-10-10 11:58:32,2019-10-09,AMWD,Culbreth Michael Scott,"SVP, CFO",M - OptEx,$57.11,1467,14788,+11%,"+$83,780",,,,,AMWD
56,D,2019-10-10 11:58:32,2019-10-09,AMWD,Culbreth Michael Scott,"SVP, CFO",S - Sale+OE,$95.00,-2467,14788,-14%,"-$234,365",,,,,AMWD
57,,2019-10-10 11:48:30,2019-10-09,AMWD,Adams Robert J Jr,SVP Value Stream Operations,S - Sale,$95.00,-1884,11445,-14%,"-$178,980",,,,,AMWD
58,,2019-10-04 13:22:14,2019-10-01,AMWD,Adams Robert J Jr,SVP Value Stream Operations,S - Sale,$90.00,-1378,13329,-9%,"-$124,020",,,,,AMWD
59,,2019-10-03 12:27:26,2019-10-01,AMWD,Campbell Roger Perry,"SVP, GM New Construction",S - Sale,$88.92,-1500,12781,-11%,"-$133,380",,,,,AMWD
60,,2019-09-23 08:46:48,2019-09-19,AMWD,Tang Vance W,Dir,S - Sale,$88.45,-900,14290,-6%,"-$79,605",,,,,AMWD
61,,2019-08-23 17:40:12,2019-08-22,AMWD,Moerdyk Carol B,Dir,A - Grant,$0.00,1200,17690,+7%,+$0,,,,,AMWD
62,,2019-08-23 17:38:48,2019-08-22,AMWD,Tang Vance W,Dir,A - Grant,$0.00,1200,15190,+9%,+$0,,,,,AMWD
63,,2019-08-23 17:37:26,2019-08-22,AMWD,May Teresa M,Dir,A - Grant,$0.00,1200,1200,New,+$0,,,,,AMWD
64,,2019-08-23 17:36:12,2019-08-22,AMWD,Davis James G,Dir,A - Grant,$0.00,1200,21903,+6%,+$0,,,,,AMWD
65,,2019-08-23 17:34:53,2019-08-22,AMWD,Hendrix Daniel T,Dir,A - Grant,$0.00,1200,9175,+15%,+$0,,,,,AMWD
66,,2019-08-23 17:33:27,2019-08-22,AMWD,Hayes Martha M,Dir,A - Grant,$0.00,1200,42990,+3%,+$0,,,,,AMWD
67,,2019-08-23 17:31:39,2019-08-22,AMWD,Moon David W,Dir,A - Grant,$0.00,1200,3490,+52%,+$0,,,,,AMWD
68,,2019-08-23 17:29:56,2019-08-22,AMWD,Cogan Andrew B,Dir,A - Grant,$0.00,1200,6990,+21%,+$0,,,,,AMWD
69,,2019-06-11 17:16:28,2019-06-07,AMWD,Dunston Steven Cary,"Pres, C.E.O.",F - Tax,$77.65,-4061,61983,-6%,"-$315,337",,,,,AMWD
70,,2019-06-11 17:14:54,2019-06-07,AMWD,Culbreth Michael Scott,"SVP, CFO",F - Tax,$77.65,-1389,15788,-8%,"-$107,856",,,,,AMWD
71,,2019-06-11 17:13:15,2019-06-07,AMWD,Adams Robert J Jr,SVP Value Stream Operations,F - Tax,$77.65,-1186,14707,-7%,"-$92,093",,,,,AMWD
72,,2019-06-11 17:11:17,2019-06-07,AMWD,Campbell Roger Perry,"SVP, GM New Construction",F - Tax,$77.65,-1453,14281,-9%,"-$112,825",,,,,AMWD
73,,2019-06-05 16:38:05,2019-06-03,AMWD,Campbell Roger Perry,"SVP, GM New Construction",A - Grant,$74.04,2247,15734,+17%,"+$166,368",,,,,AMWD
74,,2019-06-05 16:36:27,2019-06-03,AMWD,Dunston Steven Cary,"Pres, C.E.O.",A - Grant,$74.04,9653,66007,+17%,"+$714,708",,,,,AMWD
75,,2019-06-05 16:34:45,2019-06-03,AMWD,Adams Robert J Jr,SVP Value Stream Operations,A - Grant,$74.04,2195,15857,+16%,"+$162,518",,,,,AMWD
76,,2019-06-05 16:32:59,2019-06-03,AMWD,Culbreth Michael Scott,"SVP, CFO",A - Grant,$74.04,3773,17152,+28%,"+$279,353",,,,,AMWD
77,,2019-05-28 17:24:11,2019-05-23,AMWD,Dunston Steven Cary,"Pres, C.E.O.",A - Grant,$0.00,5272,56354,+10%,+$0,,,,,AMWD
78,,2019-05-28 17:21:51,2019-05-23,AMWD,Adams Robert J Jr,SVP Value Stream Operations,A - Grant,$0.00,1631,13662,+14%,+$0,,,,,AMWD
79,,2019-05-28 17:20:08,2019-05-23,AMWD,Campbell Roger Perry,"SVP, GM New Construction",A - Grant,$0.00,1859,13487,+16%,+$0,,,,,AMWD
80,,2019-05-28 17:18:35,2019-05-23,AMWD,Culbreth Michael Scott,"SVP, CFO",A - Grant,$0.00,1958,13379,+17%,+$0,,,,,AMWD
81,,2018-12-21 13:45:01,2018-12-21,AMWD,Dunston Steven Cary,"Pres, C.E.O.",P - Purchase,$55.23,1500,51082,+3%,"+$82,839",,,,,AMWD
82,,2018-12-13 10:52:59,2018-12-11,AMWD,Dunston Steven Cary,"Pres, C.E.O.",P - Purchase,$60.53,2500,49582,+5%,"+$151,330",,,,,AMWD
83,,2018-12-12 11:26:01,2018-12-10,AMWD,Culbreth Michael Scott,"SVP, CFO",P - Purchase,$61.00,600,11421,+6%,"+$36,600",,,,,AMWD
84,,2018-08-27 15:01:15,2018-08-23,AMWD,Davis James G,Dir,A - Grant,$0.00,820,20703,+4%,+$0,,,,,AMWD
85,,2018-08-27 14:59:12,2018-08-23,AMWD,Hayes Martha M,Dir,A - Grant,$0.00,820,42290,+2%,+$0,,,,,AMWD
86,,2018-08-27 14:56:48,2018-08-23,AMWD,Tang Vance W,Dir,A - Grant,$0.00,820,13990,+6%,+$0,,,,,AMWD
87,,2018-08-27 14:53:51,2018-08-23,AMWD,Cogan Andrew B,Dir,A - Grant,$0.00,820,5790,+16%,+$0,,,,,AMWD
88,,2018-08-27 14:52:04,2018-08-23,AMWD,Hendrix Daniel T,Dir,A - Grant,$0.00,820,7975,+11%,+$0,,,,,AMWD
89,,2018-08-27 14:50:10,2018-08-23,AMWD,Moon David W,Dir,A - Grant,$0.00,820,2290,+56%,+$0,,,,,AMWD
90,,2018-08-27 14:48:27,2018-08-23,AMWD,Moerdyk Carol B,Dir,A - Grant,$0.00,820,16490,+5%,+$0,,,,,AMWD
91,DM,2018-06-20 16:38:08,2018-06-18,AMWD,Moerdyk Carol B,Dir,M - OptEx,$22.77,5000,15670,+47%,"+$113,850",,,,,AMWD
92,DM,2018-06-20 16:38:08,2018-06-18,AMWD,Moerdyk Carol B,Dir,S - Sale+OE,$99.61,-5000,15670,-24%,"-$498,031",,,,,AMWD
93,,2018-06-18 16:05:27,2018-06-14,AMWD,Davis James G,Dir,P - Purchase,$96.39,513,19883,+3%,"+$49,448",,,,,AMWD
94,,2018-06-07 17:18:41,2018-06-05,AMWD,Culbreth Michael Scott,"SVP, CFO",F - Tax,$101.65,-1170,10821,-10%,"-$118,931",,,,,AMWD
95,,2018-06-07 17:17:21,2018-06-05,AMWD,Dunston Steven Cary,"Pres, C.E.O.",F - Tax,$101.65,-4563,47082,-9%,"-$463,829",,,,,AMWD
96,,2018-06-07 17:15:58,2018-06-05,AMWD,Adams Robert J Jr,SVP Value Stream Operations,F - Tax,$101.65,-808,12031,-6%,"-$82,133",,,,,AMWD
97,,2018-06-07 17:14:34,2018-06-05,AMWD,Campbell Roger Perry,"SVP, GM New Construction",F - Tax,$101.65,-1460,11628,-11%,"-$148,409",,,,,AMWD
98,D,2018-06-06 15:25:27,2018-06-04,AMWD,Dunston Steven Cary,"Pres, C.E.O.",A - Grant,$104.10,6174,51645,+14%,"+$642,713",,,,,AMWD
99,D,2018-06-06 15:25:27,2018-06-05,AMWD,Dunston Steven Cary,"Pres, C.E.O.",M - OptEx,$57.11,4534,51645,+10%,"+$258,937",,,,,AMWD
100,D,2018-06-06 15:25:27,2018-06-05,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale+OE,$102.65,-4534,51645,-8%,"-$465,415",,,,,AMWD
101,D,2018-06-06 15:22:51,2018-06-04,AMWD,Campbell Roger Perry,"SVP, GM New Construction",A - Grant,$104.10,2006,13088,+18%,"+$208,825",,,,,AMWD
102,D,2018-06-06 15:22:51,2018-06-05,AMWD,Campbell Roger Perry,"SVP, GM New Construction",M - OptEx,$57.11,1467,13088,+13%,"+$83,780",,,,,AMWD
103,D,2018-06-06 15:22:51,2018-06-05,AMWD,Campbell Roger Perry,"SVP, GM New Construction",S - Sale+OE,$102.45,-1467,13088,-10%,"-$150,295",,,,,AMWD
104,,2018-06-06 15:20:01,2018-06-04,AMWD,Culbreth Michael Scott,"SVP, CFO",A - Grant,$104.10,2527,11991,+27%,"+$263,061",,,,,AMWD
105,,2018-06-06 15:17:43,2018-06-04,AMWD,Adams Robert J Jr,SVP Value Stream Operations,A - Grant,$104.10,1960,12839,+18%,"+$204,036",,,,,AMWD
106,,2018-06-06 15:15:17,2018-06-05,AMWD,Cogan Andrew B,Dir,S - Sale,$104.00,-900,4970,-15%,"-$93,600",,,,,AMWD
107,,2018-05-30 16:55:48,2018-05-29,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$101.80,-500,45471,-1%,"-$50,900",,,,,AMWD
108,,2018-05-29 14:15:41,2018-05-24,AMWD,Campbell Roger Perry,"SVP, GM New Construction",A - Grant,$0.00,309,11082,+3%,+$0,,,,,AMWD
109,,2018-05-29 14:12:55,2018-05-24,AMWD,Dunston Steven Cary,"Pres, C.E.O.",A - Grant,$0.00,862,45971,+2%,+$0,,,,,AMWD
110,,2018-05-29 14:11:24,2018-05-24,AMWD,Adams Robert J Jr,SVP Value Stream Operations,A - Grant,$0.00,262,10879,+2%,+$0,,,,,AMWD
111,,2018-05-29 14:09:21,2018-05-24,AMWD,Culbreth Michael Scott,"SVP, CFO",A - Grant,$0.00,309,9464,+3%,+$0,,,,,AMWD
112,,2018-05-01 09:28:19,2018-04-30,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$84.80,-500,45109,-1%,"-$42,400",,,,,AMWD
113,,2018-03-29 08:49:54,2018-03-28,AMWD,Tang Vance W,Dir,P - Purchase,$97.55,2000,13170,+18%,"+$195,100",,,,,AMWD
114,,2018-03-29 08:47:56,2018-03-28,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$97.40,-500,45609,-1%,"-$48,700",,,,,AMWD
115,,2018-03-02 10:39:13,2018-02-28,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$133.35,-500,46109,-1%,"-$66,675",,,,,AMWD
116,,2018-01-31 14:40:42,2018-01-29,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$139.25,-500,46609,-1%,"-$69,625",,,,,AMWD
117,AM,2018-01-30 17:14:05,2018-01-16,AMWD,Brandt William F,10%,S - Sale,$133.35,-12000,1740245,-1%,"-$1,600,182",,,,,AMWD
118,M,2018-01-19 09:01:42,2018-01-16,AMWD,Brandt William F,10%,S - Sale,$133.35,-12000,1740245,-1%,"-$1,600,182",,,,,AMWD
119,M,2018-01-12 16:55:31,2018-01-10,AMWD,Brandt William F,10%,S - Sale,$132.08,-12000,1752245,-1%,"-$1,584,949",,,,,AMWD
120,,2017-12-29 09:02:53,2017-12-28,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$129.65,-500,47109,-1%,"-$64,825",,,,,AMWD
121,,2017-12-28 12:10:17,2017-12-26,AMWD,Brandt William F,10%,S - Sale,$128.46,-12000,1764245,-1%,"-$1,541,519",,,,,AMWD
122,,2017-12-26 09:57:35,2017-12-21,AMWD,Brandt William F,10%,S - Sale,$129.02,-9000,1776245,-1%,"-$1,161,152",,,,,AMWD
123,M,2017-12-04 14:39:10,2017-11-30,AMWD,Brandt William F,10%,S - Sale,$117.75,-18000,1785245,-1%,"-$2,119,500",,,,,AMWD
124,M,2017-11-30 16:43:06,2017-11-28,AMWD,Brandt William F,10%,S - Sale,$97.11,-12000,1803245,-1%,"-$1,165,304",,,,,AMWD
125,,2017-11-29 11:18:05,2017-11-28,AMWD,Dunston Steven Cary,"Pres, C.E.O.",S - Sale,$95.20,-500,47609,-1%,"-$47,600",,,,,AMWD
126,M,2017-11-15 16:49:14,2017-11-13,AMWD,Brandt William F,10%,S - Sale,$91.59,-12000,1815245,-1%,"-$1,099,028",,,,,AMWD
127,,2017-11-13 17:18:37,2017-11-10,AMWD,Brandt William F,10%,S - Sale,$89.22,-2989,1827245,0%,"-$266,693",,,,,AMWD
