,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 19:36:44,2022-03-11,ARRY,Rose Travis,Chief Revenue Officer,A - Grant,$0.00,28248,50804,+125%,+$0,,,,,ARRY
1,,2022-03-15 19:36:21,2022-03-11,ARRY,Brinker Erica,Chief Commercial Officer,A - Grant,$0.00,28248,70456,+67%,+$0,,,,,ARRY
2,,2022-03-15 19:35:57,2022-03-11,ARRY,Stacherski Kenneth R.,Chief Operations Officer,A - Grant,$0.00,30132,105434,+40%,+$0,,,,,ARRY
3,,2022-03-15 19:35:33,2022-03-11,ARRY,Cheraso Jennifer K.,CHRO,A - Grant,$0.00,28249,68030,+71%,+$0,,,,,ARRY
4,,2022-03-15 19:35:07,2022-03-11,ARRY,Hottinger Tyson,GC,A - Grant,$0.00,33898,90489,+60%,+$0,,,,,ARRY
5,,2022-03-15 19:34:43,2022-03-11,ARRY,Patel Nipul M.,CFO,A - Grant,$0.00,43315,104069,+71%,+$0,,,,,ARRY
6,,2022-01-20 18:15:10,2022-01-18,ARRY,Marin-Martinod Thierry,CTO,A - Grant,$0.00,16764,16764,New,+$0,,,,,ARRY
7,,2021-08-25 17:57:16,2021-08-25,ARRY,Schmid Gerrard,Dir,P - Purchase,$19.01,10200,10200,New,"+$193,882",,,,,ARRY
8,,2021-06-17 17:56:28,2021-06-07,ARRY,Ashford Orlando D,Dir,A - Grant,$0.00,9003,13548,+198%,+$0,,,,,ARRY
9,,2021-06-17 17:50:16,2021-06-07,ARRY,Lee Jason J.,Dir,A - Grant,$0.00,9003,9003,New,+$0,,,,,ARRY
10,,2021-06-17 17:49:48,2021-06-07,ARRY,Iyengar Jayanthi,Dir,A - Grant,$0.00,9003,13022,+224%,+$0,,,,,ARRY
11,,2021-06-17 17:49:22,2021-06-07,ARRY,Cannova Frank R.,Dir,A - Grant,$0.00,9003,9003,New,+$0,,,,,ARRY
12,,2021-06-17 17:48:51,2021-06-07,ARRY,Forth John Bradford,Dir,A - Grant,$0.00,9003,90235,+11%,+$0,,,,,ARRY
13,,2021-06-17 17:48:16,2021-06-07,ARRY,Corio Ron P.,Dir,A - Grant,$0.00,9003,9003,New,+$0,,,,,ARRY
14,,2021-06-17 17:47:59,2021-06-07,ARRY,Alstead Troy,Dir,A - Grant,$0.00,9003,13548,+198%,+$0,,,,,ARRY
15,,2020-12-07 21:32:23,2020-12-07,ARRY,"Ati Investment Parent, LLC",10%,S - Sale,$33.95,-36656250,35713217,-51%,"-$1,244,479,688",,,,,ARRY
16,D,2020-10-19 16:15:37,2020-10-19,ARRY,Cheraso Jennifer K.,CHRO,P - Purchase,$22.00,25588,25588,New,"+$562,936",,,,,ARRY
17,D,2020-10-19 16:15:33,2020-10-19,ARRY,Fusaro James Macmillan,CEO,P - Purchase,$22.00,182772,182772,New,"+$4,020,984",,,,,ARRY
18,D,2020-10-19 16:15:31,2020-10-19,ARRY,Forth John Bradford,Dir,P - Purchase,$22.00,60924,60924,New,"+$1,340,328",,,,,ARRY
19,D,2020-10-19 16:15:25,2020-10-19,ARRY,Patel Nipul M.,CFO,P - Purchase,$22.00,37068,37068,New,"+$815,496",,,,,ARRY
20,D,2020-10-19 16:15:20,2020-10-19,ARRY,Bolland Stuart M.,Chief Operations Officer,P - Purchase,$22.00,53461,53461,New,"+$1,176,142",,,,,ARRY
21,D,2020-10-19 16:15:18,2020-10-19,ARRY,Creasy Lucas D.,CTO,P - Purchase,$22.00,19191,19191,New,"+$422,202",,,,,ARRY
22,,2020-10-19 16:15:14,2020-10-19,ARRY,"Ati Investment Parent, LLC",10%,S - Sale,$22.00,-47625000,72369467,-40%,"-$1,047,750,000",,,,,ARRY
23,D,2020-10-19 16:15:12,2020-10-19,ARRY,Krantz Jeffrey P.,Chief Commercial Officer,P - Purchase,$22.00,71281,71281,New,"+$1,568,182",,,,,ARRY
24,D,2020-10-19 16:15:09,2020-10-19,ARRY,Macvane Charlotte A.,See Remarks,P - Purchase,$22.00,77221,77221,New,"+$1,698,862",,,,,ARRY
