,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-14 16:21:25,2022-03-10,BCRX,Sheridan William P,Chief Medical Officer,M - OptEx,$3.22,148302,37954,-134%,"+$477,532",,,,,BCRX
1,D,2022-03-14 16:21:25,2022-03-10,BCRX,Sheridan William P,Chief Medical Officer,S - Sale+OE,$16.88,-161139,37954,-81%,"-$2,719,493",,,,,BCRX
2,,2022-03-09 16:24:11,2022-03-07,BCRX,Babu Yarlagadda S,Chief Discovery Officer,S - Sale,$17.16,-20000,230056,-8%,"-$343,200",,,,,BCRX
3,D,2022-03-03 17:04:41,2022-03-01,BCRX,Jones Michael L,"Exec. Dir, Finance - PAO",M - OptEx,$4.73,2300,11198,+26%,"+$10,879",,,,,BCRX
4,D,2022-03-03 17:04:41,2022-03-01,BCRX,Jones Michael L,"Exec. Dir, Finance - PAO",S - Sale+OE,$17.20,-2300,11198,-17%,"-$39,560",,,,,BCRX
5,,2022-03-02 16:43:55,2022-02-28,BCRX,Levin Alan G,Dir,A - Grant,$16.61,602,2059,+41%,"+$9,999",,,,,BCRX
6,,2022-03-02 16:40:54,2022-02-28,BCRX,Ingram Robert Alexander,Dir,A - Grant,$16.61,1128,80060,+1%,"+$18,736",,,,,BCRX
7,,2022-03-02 16:38:21,2022-02-28,BCRX,Heggie Theresa,Dir,A - Grant,$16.61,602,16225,+4%,"+$9,999",,,,,BCRX
8,,2022-03-02 16:34:42,2022-02-28,BCRX,Aselage Steve,Dir,A - Grant,$16.61,301,33159,+1%,"+$5,000",,,,,BCRX
9,D,2022-02-16 16:25:40,2022-02-15,BCRX,Abercrombie George B,Dir,M - OptEx,$3.32,5000,0,-100%,"+$16,600",,,,,BCRX
10,D,2022-02-16 16:25:40,2022-02-15,BCRX,Abercrombie George B,Dir,S - Sale+OE,$18.50,-5000,0,-100%,"-$92,500",,,,,BCRX
11,D,2022-01-13 16:45:25,2022-01-11,BCRX,Stonehouse Jon P,"Pres, CEO",M - OptEx,$4.73,184000,911602,+25%,"+$870,320",,,,,BCRX
12,D,2022-01-13 16:45:25,2022-01-11,BCRX,Stonehouse Jon P,"Pres, CEO",S - Sale+OE,$15.04,-184000,911602,-17%,"-$2,767,360",,,,,BCRX
13,A,2022-01-13 16:40:59,2021-12-14,BCRX,Doyle Anthony,CFO,A - Grant,$0.00,75000,168719,+80%,+$0,,,,,BCRX
14,A,2022-01-13 16:38:14,2021-12-14,BCRX,Gayer Charles K,Chief Commercial Officer,A - Grant,$0.00,80000,216556,+59%,+$0,,,,,BCRX
15,A,2022-01-13 16:36:00,2021-12-14,BCRX,Barnes Alane P,GC,A - Grant,$0.00,55000,201969,+37%,+$0,,,,,BCRX
16,D,2021-12-16 17:16:28,2021-12-14,BCRX,Jones Michael L,"Exec. Dir, Finance - PAO",A - Grant,$0.00,5850,11198,+109%,+$0,,,,,BCRX
17,D,2021-12-16 17:12:04,2021-12-14,BCRX,Gayer Charles K,Chief Commercial Officer,A - Grant,$0.00,125000,261556,+92%,+$0,,,,,BCRX
