,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-03 10:37:44,2022-03-02,BWFG,McNeill Matt,"EVP, Chief Banking Officer",F - Tax,$34.44,-2017,40181,-5%,"-$69,465",,,,,BWFG
1,,2022-03-01 11:22:35,2022-02-25,BWFG,Garnett James M Jr,Dir,P - Purchase,$34.93,117,21624,+1%,"+$4,087",,,,,BWFG
2,,2022-03-01 11:22:19,2022-02-25,BWFG,Seidman Lawrence B,Dir,P - Purchase,$34.93,143,718065,0%,"+$4,995",,,,,BWFG
3,,2022-02-28 11:56:19,2022-02-24,BWFG,Drexler Blake S,Dir,P - Purchase,$34.20,175,248922,0%,"+$5,985",,,,,BWFG
4,M,2022-02-28 11:55:53,2022-02-24,BWFG,Porto Carl M,Dir,P - Purchase,$34.58,209,33573,+1%,"+$7,228",,,,,BWFG
5,M,2022-02-28 11:55:34,2022-02-24,BWFG,Dale Eric J,Dir,P - Purchase,$34.54,359,58817,+1%,"+$12,401",,,,,BWFG
6,,2022-02-28 11:55:19,2022-02-24,BWFG,Garnett James M Jr,Dir,P - Purchase,$34.20,27,21507,0%,+$923,,,,,BWFG
7,M,2022-02-28 11:55:01,2022-02-24,BWFG,Jones Daniel S,Dir,P - Purchase,$34.46,280,272988,0%,"+$9,649",,,,,BWFG
8,,2022-02-18 09:05:06,2022-02-16,BWFG,Seidman Lawrence B,Dir,P - Purchase,$34.75,144,717922,0%,"+$5,004",,,,,BWFG
9,,2022-02-18 09:04:50,2022-02-16,BWFG,Garnett James M Jr,Dir,P - Purchase,$34.75,117,21480,+1%,"+$4,066",,,,,BWFG
10,,2022-02-17 16:17:21,2022-02-16,BWFG,Dale Eric J,Dir,P - Purchase,$34.75,179,58458,0%,"+$6,220",,,,,BWFG
11,,2022-02-17 16:16:55,2022-02-16,BWFG,Drexler Blake S,Dir,P - Purchase,$34.75,25,248747,0%,+$869,,,,,BWFG
12,,2022-02-17 16:16:24,2022-02-16,BWFG,Porto Carl M,Dir,P - Purchase,$34.75,120,33364,0%,"+$4,170",,,,,BWFG
