,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-11 20:29:23,2022-03-11,CDTX,Johnson Brady,"VP, Finance",S - Sale,$0.71,-945,50020,-2%,-$671,,,,,CDTX
1,D,2022-01-07 20:26:07,2022-01-05,CDTX,Daruwala Paul,COO,S - Sale+OE,$1.25,-5133,187298,-3%,"-$6,416",,,,,CDTX
2,D,2022-01-07 20:26:07,2021-12-29,CDTX,Daruwala Paul,COO,M - OptEx,$0.00,9900,187298,+6%,+$0,,,,,CDTX
3,D,2022-01-07 20:24:39,2021-12-29,CDTX,Stein Jeffrey,"Pres, CEO",M - OptEx,$0.00,20000,763489,+3%,+$0,,,,,CDTX
4,D,2022-01-07 20:23:34,2022-01-05,CDTX,Johnson Brady,"VP, Finance",S - Sale+OE,$1.25,-416,50965,-1%,-$520,,,,,CDTX
5,D,2022-01-07 20:23:34,2021-12-29,CDTX,Johnson Brady,"VP, Finance",M - OptEx,$0.00,262,50965,+1%,+$0,,,,,CDTX
6,D,2022-01-07 20:22:22,2021-12-29,CDTX,Sandison Taylor,Chief Medical Officer,M - OptEx,$0.00,15600,256231,+6%,+$0,,,,,CDTX
7,D,2022-01-07 20:20:27,2021-12-29,CDTX,Tari Leslie,Chief Scientific Officer,M - OptEx,$0.00,2101,168698,+1%,+$0,,,,,CDTX
8,D,2022-01-07 20:20:27,2022-01-05,CDTX,Tari Leslie,Chief Scientific Officer,S - Sale+OE,$1.25,-1252,168698,-1%,"-$1,565",,,,,CDTX
9,,2021-11-15 18:41:43,2021-11-12,CDTX,Stein Jeffrey,"Pres, CEO",P - Purchase,$1.59,50000,739489,+7%,"+$79,530",,,,,CDTX
10,,2021-11-15 18:38:04,2021-11-12,CDTX,Shah Preetam,"CFO, CBO",P - Purchase,$1.54,20000,20000,New,"+$30,800",,,,,CDTX
11,A,2021-10-05 21:26:44,2021-09-30,CDTX,Johnson Brady,"VP, Finance",A - Grant,$0.00,20750,47119,+79%,+$0,,,,,CDTX
12,,2021-10-04 21:38:25,2021-09-30,CDTX,Johnson Brady,"VP, Finance",A - Grant,$0.00,20750,47199,+78%,+$0,,,,,CDTX
13,,2021-10-04 21:31:08,2021-09-30,CDTX,Sandison Taylor,Chief Medical Officer,A - Grant,$0.00,150600,236631,+175%,+$0,,,,,CDTX
14,,2021-10-04 21:27:26,2021-09-30,CDTX,Daruwala Paul,COO,A - Grant,$0.00,132000,182531,+261%,+$0,,,,,CDTX
15,,2021-10-04 21:23:56,2021-09-30,CDTX,Tari Leslie,CHIEF SCIENTIFIC OFFICER,A - Grant,$0.00,148000,163849,+934%,+$0,,,,,CDTX
16,,2021-09-14 19:59:09,2021-09-13,CDTX,Franson Timothy R,Dir,P - Purchase,$2.12,7000,11000,+175%,"+$14,823",,,,,CDTX
17,M,2021-08-19 16:24:31,2021-08-18,CDTX,Stein Jeffrey,"Pres, CEO",P - Purchase,$1.74,50000,689489,+8%,"+$86,755",,,,,CDTX
18,,2021-04-05 18:24:31,2021-03-31,CDTX,Abdollahian Neil,Chief Business Officer,A - Grant,$0.00,3500,57471,+6%,+$0,,,,,CDTX
19,M,2021-04-05 18:24:31,2021-01-05,CDTX,Abdollahian Neil,Chief Business Officer,S - Sale,$2.26,-4337,57471,-7%,"-$9,816",,,,,CDTX
20,M,2021-04-05 18:17:40,2021-01-05,CDTX,Daruwala Paul,COO,S - Sale,$2.16,-3461,50531,-6%,"-$7,485",,,,,CDTX
21,,2021-04-05 18:17:40,2021-03-31,CDTX,Daruwala Paul,COO,A - Grant,$0.00,1400,50531,+3%,+$0,,,,,CDTX
22,M,2021-04-05 17:35:45,2021-01-05,CDTX,Oien Jessica,"GC, Secretary",S - Sale,$2.41,-2001,7764,-20%,"-$4,828",,,,,CDTX
23,,2021-04-05 17:35:45,2021-03-31,CDTX,Oien Jessica,"GC, Secretary",A - Grant,$0.00,2800,7764,+56%,+$0,,,,,CDTX
24,,2021-04-05 15:16:31,2021-03-31,CDTX,Sandison Taylor,Chief Medical Officer,A - Grant,$0.00,700,82031,+1%,+$0,,,,,CDTX
25,,2021-04-05 15:00:58,2021-03-31,CDTX,Stein Jeffrey,"Pres, CEO",A - Grant,$0.00,10000,635489,+2%,+$0,,,,,CDTX
26,,2020-11-12 06:00:42,2020-11-10,CDTX,Stein Jeffrey,"Pres, CEO",P - Purchase,$2.00,50000,621489,+9%,"+$100,015",,,,,CDTX
27,,2020-11-12 06:00:42,2020-11-10,CDTX,Levine James E.,CFO,P - Purchase,$2.01,50000,115834,+76%,"+$100,720",,,,,CDTX
28,A,2020-06-25 20:03:23,2020-01-03,CDTX,Abdollahian Neil,Chief Business Officer,S - Sale,$3.42,-940,50308,-2%,"-$3,215",,,,,CDTX
29,A,2020-06-25 20:01:40,2020-01-03,CDTX,Daruwala Paul,COO,S - Sale,$3.42,-940,52592,-2%,"-$3,215",,,,,CDTX
30,D,2020-03-23 19:16:02,2020-03-19,CDTX,Levine James E.,CFO,A - Grant,$0.00,25000,61891,+68%,+$0,,,,,CDTX
31,A,2020-03-23 19:12:29,2019-09-24,CDTX,Levine James E.,CFO,P - Purchase,$1.91,30000,30000,New,"+$57,240",,,,,CDTX
32,DM,2020-02-11 18:46:34,2010-02-07,CDTX,Sandison Taylor,Chief Medical Officer,X - OptEx,$2.51,10709,73331,-13%,"$26,880",,,,,CDTX
