,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-14 17:53:23,2022-03-11,CMCSA,Watson David N,CEO - Comcast Cable,F - Tax,$45.84,-103590,940145,-10%,"-$4,748,566",,,,,CMCSA
1,D,2022-03-14 17:53:23,2022-03-11,CMCSA,Watson David N,CEO - Comcast Cable,M - OptEx,$15.00,169000,940145,+22%,"+$2,534,155",,,,,CMCSA
2,D,2022-03-14 17:53:23,2022-03-11,CMCSA,Watson David N,CEO - Comcast Cable,S - Sale+OE,$45.69,-65410,940145,-7%,"-$2,988,452",,,,,CMCSA
3,DM,2022-03-03 16:28:01,2022-03-01,CMCSA,Shell Jeff,CEO - NBCUniversal,F - Tax,$12.17,-31238,403043,-7%,"-$380,316",,,,,CMCSA
4,DM,2022-03-03 16:28:01,2022-03-01,CMCSA,Shell Jeff,CEO - NBCUniversal,M - OptEx,$0.00,62999,403043,+19%,+$0,,,,,CMCSA
5,D,2022-03-03 16:27:41,2022-03-02,CMCSA,Roberts Brian L,"COB, Pres, CEO",F - Tax,$46.38,-22596,25068714,0%,"-$1,048,002",,,,,CMCSA
6,D,2022-03-03 16:27:41,2022-03-02,CMCSA,Roberts Brian L,"COB, Pres, CEO",M - OptEx,$0.00,46743,25068714,0%,+$0,,,,,CMCSA
7,D,2022-03-03 16:25:57,2022-03-02,CMCSA,Cavanagh Michael J,CFO,F - Tax,$46.38,-15183,257144,-6%,"-$704,188",,,,,CMCSA
8,D,2022-03-03 16:25:57,2022-03-02,CMCSA,Cavanagh Michael J,CFO,M - OptEx,$0.00,31087,257144,+14%,+$0,,,,,CMCSA
9,D,2022-03-03 16:25:44,2022-03-02,CMCSA,Watson David N,CEO - Comcast Cable,F - Tax,$46.38,-8509,940145,-1%,"-$394,647",,,,,CMCSA
10,D,2022-03-03 16:25:44,2022-03-02,CMCSA,Watson David N,CEO - Comcast Cable,M - OptEx,$0.00,18525,940145,+2%,+$0,,,,,CMCSA
11,D,2022-03-03 16:24:37,2022-03-02,CMCSA,Reid Thomas J.,"GC, Secretary",F - Tax,$46.38,-3198,8448,-27%,"-$148,323",,,,,CMCSA
12,D,2022-03-03 16:24:37,2022-03-02,CMCSA,Reid Thomas J.,"GC, Secretary",M - OptEx,$0.00,7935,8448,>999%,+$0,,,,,CMCSA
13,D,2022-03-03 16:24:20,2022-03-02,CMCSA,Strong Dana,CEO - Sky,F - Tax,$46.38,-1871,79543,-2%,"-$86,777",,,,,CMCSA
14,D,2022-03-03 16:24:20,2022-03-02,CMCSA,Strong Dana,CEO - Sky,M - OptEx,$0.00,5295,79543,+7%,+$0,,,,,CMCSA
15,D,2022-03-03 16:22:43,2022-03-02,CMCSA,Murdock Daniel C.,"EVP, Chief Accounting Officer",F - Tax,$46.38,-591,6164,-9%,"-$27,411",,,,,CMCSA
16,D,2022-03-03 16:22:43,2022-03-02,CMCSA,Murdock Daniel C.,"EVP, Chief Accounting Officer",M - OptEx,$0.00,1590,6164,+35%,+$0,,,,,CMCSA
17,D,2022-02-18 16:13:27,2022-02-17,CMCSA,Murdock Daniel C.,"EVP, Chief Accounting Officer",F - Tax,$46.77,-1772,5165,-26%,"-$82,876",,,,,CMCSA
18,D,2022-02-18 16:13:27,2022-02-17,CMCSA,Murdock Daniel C.,"EVP, Chief Accounting Officer",M - OptEx,$0.00,4960,5165,>999%,+$0,,,,,CMCSA
19,D,2022-02-16 16:53:29,2022-02-15,CMCSA,Miller Adam Louis,Chief Administrative Officer,F - Tax,$48.05,-6590,41283,-14%,"-$316,650",,,,,CMCSA
20,D,2022-02-16 16:53:29,2022-02-15,CMCSA,Miller Adam Louis,Chief Administrative Officer,M - OptEx,$0.00,11916,41283,+41%,+$0,,,,,CMCSA
21,D,2022-02-02 18:04:27,2022-02-01,CMCSA,Strong Dana,CEO - Sky,F - Tax,$49.94,-4819,76119,-6%,"-$240,661",,,,,CMCSA
22,D,2022-02-02 18:04:27,2022-02-01,CMCSA,Strong Dana,CEO - Sky,M - OptEx,$0.00,13591,76119,+22%,+$0,,,,,CMCSA
23,D,2022-01-05 16:30:58,2022-01-03,CMCSA,Roberts Brian L,"COB, Pres, CEO",F - Tax,$50.74,-6212,25044567,0%,"-$315,197",,,,,CMCSA
24,D,2022-01-05 16:30:58,2022-01-03,CMCSA,Roberts Brian L,"COB, Pres, CEO",M - OptEx,$0.00,21612,25044567,0%,+$0,,,,,CMCSA
25,,2022-01-04 16:27:52,2021-12-31,CMCSA,Nakahara Asuka,Dir,A - Grant,$0.00,621,21236,+3%,+$0,,,,,CMCSA
26,,2022-01-04 16:27:51,2021-12-31,CMCSA,Novak David C,Dir,A - Grant,$0.00,621,346499,0%,+$0,,,,,CMCSA
27,,2022-01-04 16:27:46,2021-12-31,CMCSA,Montiel Maritza Gomez,Dir,A - Grant,$0.00,310,11247,+3%,+$0,,,,,CMCSA
28,,2022-01-04 16:26:18,2021-12-31,CMCSA,Honickman Jeffrey A,Dir,A - Grant,$0.00,776,171886,0%,+$0,,,,,CMCSA
