,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-12-16 16:11:09,2021-12-14,COHR,Dimarco Bret,"EVP, GC",F - Tax,$263.44,-12974,39730,-25%,"-$3,417,871",,,,,COHR
1,,2021-12-16 16:10:21,2021-12-14,COHR,Palatnik Kevin S.,CFO,F - Tax,$263.44,-6576,43711,-13%,"-$1,732,381",,,,,COHR
2,,2021-12-16 16:09:32,2021-12-14,COHR,Sobey Mark Stewart,"EVP, COO",F - Tax,$263.44,-16959,35421,-32%,"-$4,467,679",,,,,COHR
3,,2021-12-16 16:08:32,2021-12-14,COHR,Mattes Andreas W,"Pres, CEO",F - Tax,$263.44,-19219,33924,-36%,"-$5,063,053",,,,,COHR
4,,2021-11-17 16:33:51,2021-11-15,COHR,Sobey Mark Stewart,"EVP, COO",F - Tax,$258.45,-849,52380,-2%,"-$219,424",,,,,COHR
5,,2021-11-17 16:33:14,2021-11-15,COHR,Palatnik Kevin S.,CFO,F - Tax,$258.45,-2494,50287,-5%,"-$644,574",,,,,COHR
6,,2021-11-17 16:32:38,2021-11-15,COHR,Dimarco Bret,"EVP, GC",F - Tax,$258.45,-584,52704,-1%,"-$150,935",,,,,COHR
7,D,2021-11-16 19:16:25,2021-11-13,COHR,Sobey Mark Stewart,"EVP, COO",F - Tax,$259.00,-2101,53229,-4%,"-$544,159",,,,,COHR
8,D,2021-11-16 19:16:25,2021-11-13,COHR,Sobey Mark Stewart,"EVP, COO",M - OptEx,$0.00,2864,53229,+6%,+$0,,,,,COHR
9,D,2021-11-16 19:15:08,2021-11-13,COHR,Palatnik Kevin S.,CFO,F - Tax,$259.00,-2570,52781,-5%,"-$665,630",,,,,COHR
10,D,2021-11-16 19:15:08,2021-11-13,COHR,Palatnik Kevin S.,CFO,M - OptEx,$0.00,3666,52781,+7%,+$0,,,,,COHR
11,D,2021-11-16 19:13:49,2021-11-13,COHR,Dimarco Bret,"EVP, GC",F - Tax,$259.00,-1681,53288,-3%,"-$435,379",,,,,COHR
12,D,2021-11-16 19:13:49,2021-11-13,COHR,Dimarco Bret,"EVP, GC",M - OptEx,$0.00,2291,53288,+4%,+$0,,,,,COHR
13,,2021-10-07 16:07:29,2021-10-05,COHR,Sobey Mark Stewart,"EVP, COO",F - Tax,$248.93,-1488,52466,-3%,"-$370,408",,,,,COHR
14,,2021-10-07 16:06:52,2021-10-05,COHR,Dimarco Bret,"EVP, GC",F - Tax,$248.93,-700,52678,-1%,"-$174,251",,,,,COHR
15,,2021-10-07 16:06:15,2021-10-05,COHR,Mattes Andreas W,"Pres, CEO",F - Tax,$248.93,-2431,53143,-4%,"-$605,149",,,,,COHR
16,,2021-10-05 16:14:08,2021-10-03,COHR,Sobey Mark Stewart,"EVP, COO",A - Grant,$0.00,13037,53954,+32%,+$0,,,,,COHR
17,,2021-10-05 16:13:22,2021-10-03,COHR,Palatnik Kevin S.,CFO,A - Grant,$0.00,5926,51685,+13%,+$0,,,,,COHR
18,,2021-10-05 16:12:31,2021-10-03,COHR,Mattes Andreas W,"Pres, CEO",A - Grant,$0.00,21887,55574,+65%,+$0,,,,,COHR
19,,2021-10-05 16:11:39,2021-10-03,COHR,Dimarco Bret,"EVP, GC",A - Grant,$0.00,9877,53378,+23%,+$0,,,,,COHR
20,,2021-05-10 17:13:15,2021-04-30,COHR,Palatnik Kevin S.,CFO,A - Grant,$103.34,206,45759,0%,"+$21,287",,,,,COHR
21,,2021-05-10 17:12:53,2021-04-30,COHR,Dimarco Bret,"EVP, GC",A - Grant,$103.34,205,43501,0%,"+$21,184",,,,,COHR
22,,2021-05-10 17:12:13,2021-04-30,COHR,Mattes Andreas W,"Pres, CEO",A - Grant,$103.34,206,33687,+1%,"+$21,287",,,,,COHR
23,,2021-05-10 17:11:46,2021-05-06,COHR,Rogerson Garry W,Dir,A - Grant,$0.00,856,17518,+5%,+$0,,,,,COHR
24,,2021-05-10 17:11:06,2021-05-06,COHR,Matthews Beverly Kay,Dir,A - Grant,$0.00,856,4504,+23%,+$0,,,,,COHR
25,,2021-05-10 17:10:40,2021-05-06,COHR,Vij Sandeep,Dir,A - Grant,$0.00,856,10518,+9%,+$0,,,,,COHR
26,,2021-05-10 17:09:52,2021-05-06,COHR,Skaggs Stephen A,Dir,A - Grant,$0.00,856,14518,+6%,+$0,,,,,COHR
27,,2021-05-10 17:09:25,2021-05-06,COHR,Fletcher Pamela,Dir,A - Grant,$0.00,856,4594,+23%,+$0,,,,,COHR
