,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2021-12-10 16:25:24,2021-12-08,CPRT,Tryforos Thomas N,Dir,M - OptEx,$12.48,69000,0,-100%,"+$861,120",,,,,CPRT
1,D,2021-12-10 16:25:24,2021-12-08,CPRT,Tryforos Thomas N,Dir,S - Sale+OE,$149.63,-69000,0,-100%,"-$10,324,463",,,,,CPRT
2,,2021-09-17 15:21:39,2021-09-15,CPRT,Adair A Jayson,CEO,S - Sale,$147.20,-170000,7913691,-2%,"-$25,024,000",,,,,CPRT
3,AD,2021-07-15 18:34:46,2021-07-12,CPRT,Cohan Steven D,Dir,M - OptEx,$27.93,80000,24,-100%,"+$2,234,000",,,,,CPRT
4,AD,2021-07-15 18:34:46,2021-07-12,CPRT,Cohan Steven D,Dir,S - Sale+OE,$139.46,-80000,24,-100%,"-$11,156,776",,,,,CPRT
5,D,2021-07-14 20:45:40,2021-07-12,CPRT,Cohan Steven D,Dir,M - OptEx,$27.93,80000,0,-100%,"+$2,234,000",,,,,CPRT
6,D,2021-07-14 20:45:40,2021-07-12,CPRT,Cohan Steven D,Dir,S - Sale+OE,$139.46,-80000,0,-100%,"-$11,156,776",,,,,CPRT
7,,2021-07-14 20:42:11,2021-07-12,CPRT,Adair A Jayson,CEO,S - Sale,$139.21,-130000,8121511,-2%,"-$18,096,975",,,,,CPRT
8,D,2021-07-08 07:59:43,2021-07-06,CPRT,Liaw Jeffrey,"Pres, CEO North America",M - OptEx,$25.45,21654,5840,-137%,"+$551,119",,,,,CPRT
9,D,2021-07-08 07:59:43,2021-07-06,CPRT,Liaw Jeffrey,"Pres, CEO North America",S - Sale+OE,$136.29,-15814,5840,-73%,"-$2,155,290",,,,,CPRT
10,D,2021-07-07 19:26:31,2021-07-02,CPRT,Liaw Jeffrey,"Pres, CEO North America",M - OptEx,$25.82,47346,0,-100%,"+$1,222,362",,,,,CPRT
11,D,2021-07-07 19:26:31,2021-07-02,CPRT,Liaw Jeffrey,"Pres, CEO North America",S - Sale+OE,$135.28,-47479,0,-100%,"-$6,422,986",,,,,CPRT
12,,2021-07-01 17:38:25,2021-06-29,CPRT,Adair A Jayson,CEO,S - Sale,$133.18,-300000,8251511,-4%,"-$39,954,000",,,,,CPRT
13,D,2021-07-01 17:34:55,2021-06-29,CPRT,Blunt Matt,Dir,M - OptEx,$43.96,20000,0,-100%,"+$879,200",,,,,CPRT
14,D,2021-07-01 17:34:55,2021-06-29,CPRT,Blunt Matt,Dir,S - Sale+OE,$133.01,-20000,0,-100%,"-$2,660,200",,,,,CPRT
15,,2021-03-26 17:43:10,2021-03-24,CPRT,Johnson Willis J,COB,S - Sale,$106.66,-374372,15628411,-2%,"-$39,930,443",,,,,CPRT
16,,2021-03-25 21:25:54,2021-03-23,CPRT,Johnson Willis J,COB,S - Sale,$108.10,-234012,16002783,-1%,"-$25,296,697",,,,,CPRT
17,D,2021-03-17 09:48:08,2021-03-15,CPRT,Meeks James E,Dir,M - OptEx,$19.63,77861,0,-100%,"+$1,528,022",,,,,CPRT
18,D,2021-03-17 09:48:08,2021-03-15,CPRT,Meeks James E,Dir,S - Sale+OE,$110.55,-77861,0,-100%,"-$8,607,681",,,,,CPRT
19,D,2021-03-16 13:11:39,2021-03-12,CPRT,Meeks James E,Dir,M - OptEx,$19.63,2139,0,-100%,"+$41,978",,,,,CPRT
