,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-16 17:04:31,2022-03-14,EAR,Richardson Nina,Dir,S - Sale,$3.52,-3886,0,-100%,"-$13,679",,,,,EAR
1,,2021-12-15 16:17:47,2021-12-14,EAR,Richardson Nina,Dir,S - Sale,$4.85,-3500,3886,-47%,"-$16,975",,,,,EAR
2,,2021-09-16 17:29:54,2021-09-14,EAR,Richardson Nina,Dir,S - Sale,$20.32,-3000,7386,-29%,"-$60,960",,,,,EAR
3,D,2021-09-02 17:04:50,2021-08-31,EAR,Brownie William,COO,M - OptEx,$2.05,24196,194458,+14%,"+$49,506",,,,,EAR
4,,2021-08-19 17:46:35,2021-08-17,EAR,Gormsen Christian,"Pres, CEO",F - Tax,$24.63,-1102,132337,-1%,"-$27,139",,,,,EAR
5,,2021-08-19 17:46:23,2021-08-17,EAR,Laponis Adam,CFO,F - Tax,$24.54,-359,62016,-1%,"-$8,809",,,,,EAR
6,,2021-08-19 17:45:38,2021-08-17,EAR,Brownie William,COO,F - Tax,$24.63,-252,170262,0%,"-$6,206",,,,,EAR
7,D,2021-07-01 17:32:44,2021-06-29,EAR,Laponis Adam,CFO,S - Sale+OE,$38.43,-10000,60568,-14%,"-$384,300",,,,,EAR
8,D,2021-07-01 17:32:44,2021-06-29,EAR,Laponis Adam,CFO,M - OptEx,$2.55,10000,60568,+20%,"+$25,500",,,,,EAR
9,,2021-05-26 16:37:34,2021-05-25,EAR,Makhzoumi Mohamad,10%,S - Sale,$32.41,-283,4520019,0%,"-$9,172",,,,,EAR
10,,2021-05-19 17:13:25,2021-05-17,EAR,Brownie William,COO,F - Tax,$33.94,-256,168527,0%,"-$8,687",,,,,EAR
11,,2021-05-19 17:11:04,2021-05-17,EAR,Gormsen Christian,"Pres, CEO",F - Tax,$33.99,-1114,131234,-1%,"-$37,865",,,,,EAR
12,,2021-05-19 17:10:26,2021-05-17,EAR,Laponis Adam,CFO,F - Tax,$33.98,-362,60568,-1%,"-$12,303",,,,,EAR
13,M,2021-05-04 11:00:40,2021-04-30,EAR,Pardo Geoff,Dir,S - Sale,$56.47,-126536,2996686,-4%,"-$7,145,893",,,,,EAR
14,M,2021-04-30 09:00:00,2021-04-28,EAR,Pardo Geoff,Dir,S - Sale,$55.77,-184228,3123222,-6%,"-$10,275,257",,,,,EAR
15,,2021-04-28 17:14:08,2021-04-27,EAR,Hughes Douglas J.,Dir,S - Sale,$55.00,-1500,35709,-4%,"-$82,500",,,,,EAR
16,,2021-04-28 17:10:30,2021-04-27,EAR,Richardson Nina,Dir,S - Sale,$55.00,-4000,10386,-28%,"-$220,000",,,,,EAR
17,M,2021-04-27 19:31:34,2021-04-23,EAR,Gilde Healthcare Holding B.V.,Former 10% Owner,S - Sale,$52.58,-512367,3307450,-13%,"-$26,942,737",,,,,EAR
18,M,2021-04-27 19:25:23,2021-04-23,EAR,Pardo Geoff,Dir,S - Sale,$52.58,-512367,3307450,-13%,"-$26,942,737",,,,,EAR
19,M,2021-04-22 19:12:37,2021-04-20,EAR,Pardo Geoff,Dir,S - Sale,$48.36,-98874,3819817,-3%,"-$4,781,715",,,,,EAR
