,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-02-03 16:30:41,2022-02-01,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$5.70,-7000,0,-100%,"-$39,900",,,,,ETNB
1,M,2022-01-31 16:30:44,2022-01-27,ETNB,Palekar Rohan,CEO,P - Purchase,$7.05,7500,45845,+20%,"+$52,850",,,,,ETNB
2,M,2022-01-27 17:22:20,2022-01-25,ETNB,Orbimed Advisors LLC,10%,S - Sale,$8.39,-70573,1829436,-4%,"-$592,384",,,,,ETNB
3,D,2021-12-20 16:30:27,2021-12-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$11.48,-7000,0,-100%,"-$80,360",,,,,ETNB
4,D,2021-11-18 18:37:44,2021-11-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$16.49,-7000,0,-100%,"-$115,430",,,,,ETNB
5,D,2021-10-20 16:30:23,2021-10-18,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$17.49,-7000,0,-100%,"-$122,430",,,,,ETNB
6,D,2021-09-20 16:32:41,2021-09-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$19.46,-7000,0,-100%,"-$136,220",,,,,ETNB
7,D,2021-08-18 16:10:20,2021-08-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$18.28,-7000,0,-100%,"-$127,960",,,,,ETNB
8,D,2021-07-19 16:05:38,2021-07-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$16.80,-7000,0,-100%,"-$117,600",,,,,ETNB
9,M,2021-07-08 16:05:18,2021-07-07,ETNB,Palekar Rohan,CEO,P - Purchase,$16.84,7000,37000,+23%,"+$117,850",,,,,ETNB
10,D,2021-06-21 16:30:43,2021-06-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$19.67,-7000,0,-100%,"-$137,690",,,,,ETNB
11,,2021-06-04 16:31:02,2021-06-02,ETNB,"Ra Capital Management, L.P.","Dir, 10%",P - Purchase,$18.77,22138,4965769,0%,"+$415,530",,,,,ETNB
12,M,2021-05-28 18:41:54,2021-05-26,ETNB,"Ra Capital Management, L.P.","Dir, 10%",P - Purchase,$18.60,207417,4943631,+4%,"+$3,857,063",,,,,ETNB
13,D,2021-05-19 16:30:15,2021-05-17,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$21.61,-7000,0,-100%,"-$151,270",,,,,ETNB
14,,2021-04-23 17:27:24,2021-04-21,ETNB,Grunberg Gregory,Dir,S - Sale,$27.60,-850,1750877,0%,"-$23,460",,,,,ETNB
15,D,2021-04-20 18:03:18,2021-04-19,ETNB,Martins Ryan,CFO,S - Sale+OE,$25.00,-10000,7500,-57%,"-$250,000",,,,,ETNB
16,D,2021-04-19 16:45:17,2021-04-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$24.22,-7000,0,-100%,"-$169,540",,,,,ETNB
17,D,2021-03-17 16:30:15,2021-03-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$24.20,-7000,0,-100%,"-$169,400",,,,,ETNB
18,D,2021-02-17 16:22:12,2021-02-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$23.39,-7000,0,-100%,"-$163,730",,,,,ETNB
19,D,2021-01-20 16:30:11,2021-01-19,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$21.16,-7000,0,-100%,"-$148,120",,,,,ETNB
20,D,2020-12-18 17:00:07,2020-12-16,ETNB,Waisbourd Ram,See Remarks,S - Sale+OE,$27.04,-7000,0,-100%,"-$189,280",,,,,ETNB
21,D,2020-11-18 16:00:11,2020-11-16,ETNB,Le-Nguyen Quoc,See Remarks,S - Sale+OE,$28.11,-4548,0,-100%,"-$127,844",,,,,ETNB
22,D,2020-11-18 16:00:09,2020-11-16,ETNB,Waisbourd Ram,"COO, Chief Business Officer",S - Sale+OE,$27.39,-7000,0,-100%,"-$191,730",,,,,ETNB
23,,2020-09-23 17:09:30,2020-09-21,ETNB,Orbimed Advisors LLC,"Dir, 10%",S - Sale,$28.00,-275000,1864721,-13%,"-$7,700,000",,,,,ETNB
24,,2020-09-23 17:04:50,2020-09-21,ETNB,Naschitz Anat,"Dir, 10%",S - Sale,$28.00,-275000,1864721,-13%,"-$7,700,000",,,,,ETNB
25,,2020-09-21 16:30:21,2020-09-17,ETNB,"Ra Capital Management, L.P.","Dir, 10%",P - Purchase,$28.00,1300000,4736214,+38%,"+$36,400,000",,,,,ETNB
26,,2020-07-14 20:11:20,2020-07-10,ETNB,"Longitude Capital Partners Iii, LLC",10%,P - Purchase,$27.50,109090,2600877,+4%,"+$2,999,975",,,,,ETNB
27,,2020-07-14 20:08:31,2020-07-10,ETNB,Grunberg Gregory,"Dir, 10%",P - Purchase,$27.50,109090,2600877,+4%,"+$2,999,975",,,,,ETNB
28,,2020-07-10 16:32:42,2020-07-08,ETNB,"Ra Capital Management, L.P.","Dir, 10%",P - Purchase,$27.50,275000,3436214,+9%,"+$7,562,500",,,,,ETNB
29,D,2019-11-13 19:10:44,2019-11-11,ETNB,Kariv Tomer,"Dir, 10%",P - Purchase,$16.00,250000,1134671,+28%,"+$4,000,000",,,,,ETNB
30,D,2019-11-13 19:07:06,2019-11-11,ETNB,Naschitz Anat,"Dir, 10%",P - Purchase,$16.00,837500,2002221,+72%,"+$13,400,000",,,,,ETNB
31,D,2019-11-13 19:06:01,2019-11-11,ETNB,"Ra Capital Management, L.P.","Dir, 10%",P - Purchase,$16.00,1500000,3161214,+90%,"+$24,000,000",,,,,ETNB
32,D,2019-11-13 19:04:14,2019-11-11,ETNB,Grunberg Gregory,"Dir, 10%",P - Purchase,$16.00,575000,2491787,+30%,"+$9,200,000",,,,,ETNB
33,D,2019-11-13 19:02:27,2019-11-11,ETNB,Hayden Michael R,Dir,P - Purchase,$16.00,18750,77728,+32%,"+$300,000",,,,,ETNB
