,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-02-08 21:09:50,2022-02-04,FMBI,Stadler James V,"EVP, Chief Marketing, Comm Ofc",F - Tax,$20.88,-2650,15602,-15%,"-$55,332",,,,,FMBI
1,,2022-02-08 21:08:17,2022-02-04,FMBI,Scudder Michael L,"COB, CEO",F - Tax,$20.88,-10934,347472,-3%,"-$228,302",,,,,FMBI
2,M,2022-02-08 21:08:17,2021-11-03,FMBI,Scudder Michael L,"COB, CEO",G - Gift,$0.00,-142368,347472,-29%,-$0,,,,,FMBI
3,,2022-02-08 21:06:22,2022-02-04,FMBI,Sander Mark G,"Pres, COO",F - Tax,$20.88,-7763,245694,-3%,"-$162,091",,,,,FMBI
4,,2022-02-08 21:05:11,2022-02-04,FMBI,Rose R Douglas,"EVP, CHRO",F - Tax,$20.88,-1688,21433,-7%,"-$35,245",,,,,FMBI
5,,2022-02-08 20:59:51,2022-02-04,FMBI,Putnam Angela L,"SVP, Bank CAO",F - Tax,$20.88,-2695,22093,-11%,"-$56,272",,,,,FMBI
6,,2022-02-08 20:58:49,2022-02-04,FMBI,Prame Thomas M,"EVP, Dr Consumer Bkng, Wealth",F - Tax,$20.88,-4030,86949,-4%,"-$84,146",,,,,FMBI
7,,2022-02-08 20:57:16,2022-02-04,FMBI,Newcom Jeff C,"EVP, Chief Risk Officer",F - Tax,$20.88,-2116,32049,-6%,"-$44,182",,,,,FMBI
8,,2022-02-08 20:56:12,2022-02-04,FMBI,Hotchkiss James P,"EVP, Treasurer",F - Tax,$20.88,-2496,73040,-3%,"-$52,116",,,,,FMBI
9,,2022-02-08 20:54:32,2022-02-04,FMBI,Chulos Nicholas J,"EVP, Gen. Counsel, Corp. Sec'y",F - Tax,$20.88,-3530,69857,-5%,"-$73,706",,,,,FMBI
10,,2022-02-08 20:53:19,2022-02-04,FMBI,Boylan Jo Ann,"EVP, Chief Info, Ops Officer",F - Tax,$20.88,-3054,33988,-8%,"-$63,768",,,,,FMBI
11,,2022-02-08 20:51:59,2022-02-04,FMBI,Barrett Patrick Sean,"EVP, CFO",F - Tax,$20.88,-5351,74127,-7%,"-$111,729",,,,,FMBI
12,,2022-01-21 17:42:13,2022-01-19,FMBI,Rudnick Ellen A,Dir,A - Grant,$22.03,624,42582,+1%,"+$13,747",,,,,FMBI
13,,2022-01-21 17:40:36,2022-01-19,FMBI,Modruson Frank Blaise,Dir,A - Grant,$22.03,624,24652,+3%,"+$13,747",,,,,FMBI
14,,2022-01-21 17:39:04,2022-01-19,FMBI,Henseler Peter J,Dir,A - Grant,$22.03,624,32201,+2%,"+$13,747",,,,,FMBI
15,,2022-01-21 17:37:35,2022-01-19,FMBI,Gill Phupinder,Dir,A - Grant,$22.03,624,34318,+2%,"+$13,747",,,,,FMBI
16,,2022-01-21 17:36:07,2022-01-19,FMBI,Boigegrain Barbara A,Dir,A - Grant,$22.03,624,47467,+1%,"+$13,747",,,,,FMBI
